time,MP,FC,F2,CIA,FS,F3,O2,FM
0, 50.0, 20.0, 200.0, 80.0, 500.0, 3400.0, 1.0, 100.0, Times[Plus[0.41756, Times[5.50768, Power[Plus[1, Power[E, Times[0.0387998, Plus[-0.991932, FM[3000]]]]], -1]]], FC[3000], Power[Plus[20, FC[3000]], -1]]
1, 49.8571, 19.9988, 208.455, 80.0012, 501.238, 3391.54, 0.143258, 98.9045, Times[Plus[0.41756, Times[5.50768, Power[Plus[1, Power[E, Times[0.0387998, Plus[-0.991932, FM[3000]]]]], -1]]], FC[3000], Power[Plus[20, FC[3000]], -1]]
2, 49.7138, 19.9954, 216.825, 80.0049, 502.457, 3383.17, 0.14296, 97.8282, Times[Plus[0.41756, Times[5.50768, Power[Plus[1, Power[E, Times[0.0387998, Plus[-0.991932, FM[3000]]]]], -1]]], FC[3000], Power[Plus[20, FC[3000]], -1]]
