ID,k23,kcia,kvac,kmit,kcyt,ko2,kmp
118,F2,O2,F2,FS,F2,FS,MP
119,F2,O2,F2,FS,F3,FS,FM
120,F2,O2,F2,FS,F3,FS,MP
121,F2,O2,F3,FS,F2,FS,MP
122,F2,O2,F3,FS,F3,FS,MP
123,F3,FM,FC,FS,FC,FS,FM
124,F3,FM,FC,FS,FC,FS,MP
125,F3,FM,FC,FS,F3,FS,FM
126,F3,FM,FC,FS,F3,FS,MP
127,F3,FM,CIA,FS,FC,FS,FM
128,F3,FM,CIA,FS,FC,FS,MP
129,F3,FM,CIA,FS,F3,FS,FM
130,F3,FM,CIA,FS,F3,FS,MP
131,F3,FM,F3,FS,F3,FS,MP
132,F3,MP,FC,FS,FC,FS,FM
133,F3,MP,FC,FS,FC,FS,MP
134,F3,MP,FC,FS,CIA,FS,FM
135,F3,MP,FC,FS,F3,FS,FM
136,F3,MP,FC,FS,F3,FS,MP
137,F3,MP,CIA,FS,FC,FS,MP
138,F3,MP,CIA,FS,F3,FS,MP
139,F3,MP,F3,FS,F3,FS,MP
140,F3,O2,FC,FS,FC,FS,FM
141,F3,O2,FC,FS,FC,FS,MP
142,F3,O2,FC,FS,CIA,FS,FM
143,F3,O2,FC,FS,CIA,FS,MP
144,F3,O2,FC,FS,F3,FS,FM
145,F3,O2,FC,FS,F3,FS,MP
146,F3,O2,F3,FS,F3,FS,MP
