Component, Rate, L, n, SP, C, R^2
FM,kcia,5.50768,0.0387998,0.991932,0.41756,1
MP,kcia,3.006,0.0690787,3.09565,0.42,1
O2,kcia,2.5835times10tothe9thpower,-8.22634,3.89754,0.418388,1
FC,kvac,-5.4529times10tothe9thpower,0.249346,105.64,5.4529times10tothe9thpower,1
CIA,kvac,-379323,0.170529,148.413,379323,1
F2,kvac,13.7936,-0.0049724,1.00008,-7.05568,1
F3,kvac,788464,-4.3918times10tothenegative9thpower,1.2158times10tothe-7thpower,-394232,0.998
FS,kmit,168.632,0.022031,0.991933,0.538779,1
FC,k23,-13176.5,0.0836107,148.413,13176.4,1
CIA,k23,-10.4577,0.0496063,6.29654,0.489982,1
F2,k23,-0.593503,0.0334909,1.00097,0.2274,1
F3,k23,-0.445841,0.0010776,0.67032,0.237795,1
FC,kcyt,-10.0418,-0.328913,1.00704,12.6523,1
CIA,kcyt,1.2974times10tothe15thpower,0.608266,12.0468,2.56293,0.9944
F2,kcyt,-40.6499,-0.152928,0.999994,43.2798,1
F3,kcyt,5.00448,0.00537466,0.991933,2.62995,1
FS,kO2,-300.351,0.00532742,0.991933,111.494,1
FM,kmp,-0.175901,0.118068,148.413,0.17699,1
MP,kmp,-237980,3.4791times10tothe-10thpower,1.804times10tothe-7thpower,118990,Not found!
O2,kmp,0.179467,18.3443,0.688093,0.00108083,1
