Variable, Value
FC, 5
CIA, 68
F2, 20
F3, 60
FM, 50
FS, 300
MP, 20
O2, 1.22222
kcia, 1.13322
kvac, 0.16665
kmit, 0.770756
k23, 0.0219978
kcyt, 4.73869
kO2, 60.7431
kres, 36.36363636363636364
kisu, 6.666
kmp, 0.0010908
