IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9972, 20.0001, 200.001, 79.9998, 500.004, 3400.01, 0.999989, 100.0
39.6061, 50.3855, 19.9366, 200.431, 79.9568, 498.802, 3391.34, 1.00353, 99.873
39.2121, 50.789, 19.8729, 200.865, 79.9145, 497.582, 3382.52, 1.00714, 99.7433
38.8182, 51.2089, 19.8089, 201.304, 79.8729, 496.344, 3373.52, 1.01081, 99.6111
38.4242, 51.6468, 19.7445, 201.746, 79.8321, 495.086, 3364.36, 1.01455, 99.4763
38.0303, 52.1043, 19.6799, 202.192, 79.7924, 493.807, 3355.01, 1.01836, 99.3387
37.6364, 52.5837, 19.6149, 202.64, 79.7539, 492.506, 3345.49, 1.02226, 99.198
37.2424, 53.0872, 19.5497, 203.091, 79.7167, 491.18, 3335.77, 1.02624, 99.054
36.8485, 53.6182, 19.4842, 203.543, 79.6812, 489.828, 3325.86, 1.03031, 98.9064
36.4545, 54.1803, 19.4183, 203.996, 79.6475, 488.446, 3315.75, 1.03448, 98.7547
36.0606, 54.7788, 19.3522, 204.45, 79.6162, 487.031, 3305.43, 1.03877, 98.5984
35.6667, 55.4201, 19.2858, 204.904, 79.5876, 485.577, 3294.89, 1.04318, 98.4367
35.2727, 56.1133, 19.219, 205.356, 79.5625, 484.076, 3284.11, 1.04775, 98.2688
34.8788, 56.8718, 19.1519, 205.807, 79.5417, 482.52, 3273.1, 1.05251, 98.0933
34.4848, 57.7156, 19.0844, 206.256, 79.5267, 480.889, 3261.83, 1.0575, 97.908
34.0909, 58.679, 19.0164, 206.702, 79.5199, 479.158, 3250.27, 1.06282, 97.7094
33.697, 59.8293, 18.9476, 207.146, 79.5257, 477.269, 3238.38, 1.06863, 97.4905
33.303, 61.3398, 18.8776, 207.59, 79.556, 475.079, 3226.05, 1.07539, 97.2336
32.9091, 64.0993, 18.8035, 208.049, 79.6712, 471.847, 3212.74, 1.0854, 96.8458
32.5152, 1258.09, 13.6438, 109.248, 226.805, 232.526, 1276.7, 0.860374, 27.5986
32.1212, 1257.41, 13.6218, 108.371, 226.632, 232.492, 1265.97, 0.860184, 27.5899
31.7273, 1256.72, 13.5995, 107.478, 226.455, 232.457, 1255.04, 0.859989, 27.581
31.3333, 1256.01, 13.5766, 106.57, 226.274, 232.422, 1243.91, 0.859789, 27.5718
30.9394, 1255.29, 13.5532, 105.645, 226.089, 232.386, 1232.58, 0.859585, 27.5625
30.5455, 1254.55, 13.5293, 104.704, 225.899, 232.349, 1221.04, 0.859375, 27.5529
30.1515, 1253.79, 13.5049, 103.747, 225.704, 232.311, 1209.28, 0.85916, 27.5431
29.7576, 1253.01, 13.4798, 102.772, 225.505, 232.272, 1197.31, 0.85894, 27.5331
29.3636, 1252.21, 13.4542, 101.779, 225.3, 232.232, 1185.1, 0.858714, 27.5227
28.9697, 1251.39, 13.428, 100.769, 225.091, 232.191, 1172.66, 0.858482, 27.5122
28.5758, 1250.55, 13.4011, 99.7396, 224.875, 232.148, 1159.98, 0.858244, 27.5013
28.1818, 1249.68, 13.3736, 98.6916, 224.654, 232.105, 1147.06, 0.857999, 27.4901
27.7879, 1248.8, 13.3454, 97.6243, 224.427, 232.061, 1133.88, 0.857747, 27.4787
27.3939, 1247.88, 13.3164, 96.5371, 224.193, 232.015, 1120.44, 0.857489, 27.4669
27, 1246.94, 13.2867, 95.4297, 223.953, 231.968, 1106.74, 0.857222, 27.4547
26.6061, 1245.98, 13.2562, 94.3015, 223.706, 231.919, 1092.76, 0.856948, 27.4422
26.2121, 1244.98, 13.2249, 93.152, 223.451, 231.869, 1078.5, 0.856666, 27.4294
25.8182, 1243.96, 13.1927, 91.9809, 223.189, 231.817, 1063.95, 0.856374, 27.4161
25.4242, 1242.9, 13.1596, 90.7875, 222.919, 231.764, 1049.1, 0.856074, 27.4024
25.0303, 1241.81, 13.1255, 89.5713, 222.64, 231.709, 1033.95, 0.855764, 27.3883
24.6364, 1240.69, 13.0905, 88.3319, 222.352, 231.652, 1018.49, 0.855444, 27.3738
24.2424, 1239.52, 13.0543, 87.0688, 222.055, 231.594, 1002.71, 0.855113, 27.3587
23.8485, 1238.32, 13.0171, 85.7814, 221.748, 231.533, 986.592, 0.85477, 27.3431
23.4545, 1237.08, 12.9787, 84.4693, 221.43, 231.47, 970.141, 0.854416, 27.327
23.0606, 1235.79, 12.939, 83.1319, 221.101, 231.405, 953.345, 0.854048, 27.3103
22.6667, 1234.46, 12.8981, 81.7689, 220.76, 231.337, 936.195, 0.853668, 27.2931
22.2727, 1233.08, 12.8557, 80.3796, 220.407, 231.267, 918.684, 0.853272, 27.2751
21.8788, 1231.64, 12.8119, 78.9639, 220.04, 231.194, 900.805, 0.852862, 27.2565
21.4848, 1230.15, 12.7666, 77.5213, 219.659, 231.119, 882.551, 0.852435, 27.2371
21.0909, 1228.6, 12.7196, 76.0515, 219.263, 231.04, 863.916, 0.851991, 27.217
20.697, 1226.99, 12.671, 74.5544, 218.851, 230.957, 844.895, 0.851528, 27.1961
20.303, 1225.31, 12.6204, 73.03, 218.422, 230.872, 825.487, 0.851045, 27.1742
19.9091, 1223.56, 12.568, 71.4784, 217.974, 230.782, 805.689, 0.850542, 27.1514
19.5152, 1221.73, 12.5135, 69.8999, 217.507, 230.689, 785.506, 0.850016, 27.1276
19.1212, 1219.82, 12.4568, 68.2953, 217.02, 230.591, 764.942, 0.849466, 27.1028
18.7273, 1217.83, 12.3979, 66.6655, 216.511, 230.489, 744.01, 0.848891, 27.0768
18.3333, 1215.74, 12.3366, 65.0122, 215.978, 230.382, 722.728, 0.848289, 27.0496
17.9394, 1213.56, 12.2728, 63.3375, 215.422, 230.27, 701.122, 0.847659, 27.0212
17.5455, 1211.28, 12.2064, 61.6445, 214.84, 230.152, 679.228, 0.846999, 26.9914
17.1515, 1208.9, 12.1374, 59.9369, 214.232, 230.029, 657.098, 0.846308, 26.9603
16.7576, 1206.41, 12.0658, 58.2199, 213.597, 229.901, 634.796, 0.845585, 26.9278
