IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0, 200.002, 79.9994, 500.001, 3400.01, 0.999998, 100.0
39.6061, 49.985, 19.9399, 199.182, 79.8965, 499.186, 3393.02, 1.0024, 99.9138
39.2121, 49.9693, 19.8795, 198.351, 79.7929, 498.365, 3385.91, 1.00482, 99.8267
38.8182, 49.9533, 19.8188, 197.507, 79.6884, 497.539, 3378.65, 1.00726, 99.7388
38.4242, 49.9372, 19.7578, 196.65, 79.5832, 496.708, 3371.26, 1.00973, 99.6501
38.0303, 49.9208, 19.6965, 195.781, 79.4773, 495.871, 3363.72, 1.01221, 99.5606
37.6364, 49.9042, 19.6349, 194.898, 79.3706, 495.029, 3356.04, 1.01472, 99.4703
37.2424, 49.8873, 19.5731, 194.002, 79.2633, 494.182, 3348.2, 1.01725, 99.3792
36.8485, 49.8702, 19.511, 193.092, 79.1552, 493.33, 3340.2, 1.01979, 99.2874
36.4545, 49.8527, 19.4486, 192.167, 79.0466, 492.473, 3332.04, 1.02236, 99.1947
36.0606, 49.835, 19.386, 191.228, 78.9373, 491.611, 3323.71, 1.02494, 99.1012
35.6667, 49.8169, 19.3231, 190.275, 78.8275, 490.745, 3315.21, 1.02755, 99.0069
35.2727, 49.7984, 19.2601, 189.306, 78.7171, 489.874, 3306.53, 1.03017, 98.9117
34.8788, 49.7796, 19.1967, 188.321, 78.6062, 488.999, 3297.66, 1.03281, 98.8158
34.4848, 49.7604, 19.1332, 187.321, 78.4948, 488.119, 3288.61, 1.03547, 98.719
34.0909, 49.7407, 19.0695, 186.304, 78.3829, 487.236, 3279.36, 1.03815, 98.6214
33.697, 49.7206, 19.0055, 185.271, 78.2706, 486.348, 3269.91, 1.04084, 98.523
33.303, 49.7001, 18.9414, 184.221, 78.158, 485.457, 3260.25, 1.04355, 98.4238
32.9091, 49.679, 18.877, 183.153, 78.045, 484.561, 3250.38, 1.04628, 98.3237
32.5152, 49.6575, 18.8125, 182.068, 77.9316, 483.663, 3240.29, 1.04902, 98.2228
32.1212, 49.6354, 18.7478, 180.965, 77.818, 482.76, 3229.97, 1.05178, 98.121
31.7273, 49.6127, 18.683, 179.843, 77.7041, 481.854, 3219.42, 1.05455, 98.0184
31.3333, 49.5894, 18.618, 178.702, 77.5901, 480.945, 3208.62, 1.05733, 97.915
30.9394, 49.5656, 18.5528, 177.542, 77.4758, 480.033, 3197.57, 1.06013, 97.8107
30.5455, 49.5411, 18.4874, 176.363, 77.3614, 479.118, 3186.27, 1.06294, 97.7055
30.1515, 49.5159, 18.4219, 175.163, 77.2468, 478.2, 3174.7, 1.06577, 97.5994
29.7576, 49.49, 18.3563, 173.942, 77.1322, 477.279, 3162.85, 1.06861, 97.4924
29.3636, 49.4634, 18.2905, 172.701, 77.0175, 476.355, 3150.72, 1.07146, 97.3846
28.9697, 49.436, 18.2246, 171.438, 76.9028, 475.429, 3138.3, 1.07432, 97.2758
28.5758, 49.4079, 18.1586, 170.153, 76.7882, 474.5, 3125.57, 1.07719, 97.1661
28.1818, 49.379, 18.0924, 168.846, 76.6735, 473.569, 3112.53, 1.08007, 97.0555
27.7879, 49.3492, 18.0261, 167.517, 76.5589, 472.635, 3099.17, 1.08297, 96.944
27.3939, 49.3185, 17.9596, 166.164, 76.4444, 471.698, 3085.47, 1.08587, 96.8314
27, 49.2869, 17.893, 164.787, 76.33, 470.759, 3071.43, 1.08879, 96.7179
26.6061, 49.2544, 17.8263, 163.386, 76.2158, 469.818, 3057.04, 1.09171, 96.6034
26.2121, 49.2209, 17.7594, 161.961, 76.1017, 468.875, 3042.27, 1.09464, 96.4878
25.8182, 49.1864, 17.6924, 160.51, 75.9879, 467.929, 3027.12, 1.09758, 96.3712
25.4242, 49.1509, 17.6253, 159.034, 75.8742, 466.981, 3011.58, 1.10054, 96.2535
25.0303, 49.1143, 17.558, 157.531, 75.7607, 466.03, 2995.63, 1.1035, 96.1346
24.6364, 49.0766, 17.4905, 156.002, 75.6475, 465.077, 2979.25, 1.10646, 96.0147
24.2424, 49.0377, 17.4228, 154.446, 75.5346, 464.121, 2962.44, 1.10944, 95.8935
23.8485, 48.9977, 17.355, 152.862, 75.4219, 463.163, 2945.17, 1.11243, 95.7711
23.4545, 48.9564, 17.287, 151.25, 75.3095, 462.202, 2927.44, 1.11542, 95.6475
23.0606, 48.9138, 17.2188, 149.61, 75.1974, 461.238, 2909.21, 1.11843, 95.5225
22.6667, 48.8699, 17.1503, 147.94, 75.0856, 460.271, 2890.49, 1.12144, 95.3962
22.2727, 48.8246, 17.0816, 146.24, 74.9742, 459.3, 2871.23, 1.12447, 95.2684
21.8788, 48.7779, 17.0127, 144.509, 74.863, 458.327, 2851.44, 1.1275, 95.1392
21.4848, 48.7297, 16.9435, 142.748, 74.7522, 457.349, 2831.08, 1.13054, 95.0084
21.0909, 48.68, 16.874, 140.956, 74.6417, 456.368, 2810.14, 1.1336, 94.8761
20.697, 48.6287, 16.8042, 139.131, 74.5315, 455.383, 2788.58, 1.13666, 94.742
20.303, 48.5757, 16.734, 137.273, 74.4216, 454.393, 2766.4, 1.13974, 94.6062
19.9091, 48.521, 16.6635, 135.382, 74.3121, 453.398, 2743.56, 1.14283, 94.4686
19.5152, 48.4646, 16.5925, 133.458, 74.2029, 452.398, 2720.03, 1.14593, 94.329
19.1212, 48.4062, 16.5211, 131.499, 74.094, 451.393, 2695.79, 1.14905, 94.1873
18.7273, 48.3459, 16.4493, 129.505, 73.9854, 450.382, 2670.81, 1.15218, 94.0435
18.3333, 48.2835, 16.3769, 127.475, 73.8771, 449.364, 2645.06, 1.15533, 93.8975
17.9394, 48.219, 16.304, 125.409, 73.7691, 448.339, 2618.51, 1.15849, 93.749
17.5455, 48.1523, 16.2306, 123.306, 73.6613, 447.307, 2591.12, 1.16167, 93.598
17.1515, 48.0832, 16.1564, 121.166, 73.5538, 446.266, 2562.85, 1.16488, 93.4443
16.7576, 48.0116, 16.0816, 118.988, 73.4465, 445.217, 2533.66, 1.1681, 93.2877
16.3636, 47.9374, 16.006, 116.772, 73.3395, 444.158, 2503.53, 1.17134, 93.1281
15.9697, 47.8604, 15.9296, 114.516, 73.2327, 443.088, 2472.39, 1.17461, 92.9652
15.5758, 47.7806, 15.8523, 112.222, 73.126, 442.008, 2440.21, 1.1779, 92.7989
15.1818, 47.6977, 15.774, 109.887, 73.0195, 440.915, 2406.94, 1.18122, 92.6289
14.7879, 47.6115, 15.6947, 107.512, 72.9132, 439.809, 2372.52, 1.18458, 92.4549
14.3939, 47.5218, 15.6142, 105.097, 72.807, 438.688, 2336.9, 1.18796, 92.2767
14, 47.4284, 15.5325, 102.641, 72.7008, 437.552, 2300.03, 1.19138, 92.0939
13.6061, 47.3311, 15.4495, 100.144, 72.5947, 436.399, 2261.83, 1.19484, 91.9062
13.2121, 47.2295, 15.365, 97.6074, 72.4887, 435.227, 2222.24, 1.19834, 91.7132
12.8182, 47.1234, 15.279, 95.0303, 72.3827, 434.035, 2181.2, 1.20188, 91.5144
12.4242, 47.0123, 15.1911, 92.4136, 72.2766, 432.821, 2138.61, 1.20547, 91.3094
12.0303, 46.896, 15.1014, 89.7585, 72.1705, 431.582, 2094.42, 1.20911, 91.0976
11.6364, 46.7738, 15.0096, 87.0663, 72.0643, 430.317, 2048.51, 1.21282, 90.8784
11.2424, 46.6455, 14.9154, 84.3391, 71.958, 429.023, 2000.81, 1.21658, 90.651
10.8485, 46.5102, 14.8188, 81.5796, 71.8516, 427.696, 1951.21, 1.22041, 90.4147
10.4545, 46.3675, 14.7193, 78.7917, 71.745, 426.334, 1899.6, 1.22432, 90.1686
10.0606, 46.2164, 14.6167, 75.9803, 71.6382, 424.932, 1845.87, 1.22831, 89.9115
9.66667, 46.0562, 14.5107, 73.1521, 71.5313, 423.486, 1789.9, 1.23238, 89.6423
9.27273, 45.8858, 14.4007, 70.3158, 71.4241, 421.991, 1731.54, 1.23656, 89.3594
8.87879, 45.7039, 14.2864, 67.4831, 71.3167, 420.44, 1670.64, 1.24085, 89.0613
8.48485, 45.509, 14.1673, 64.6694, 71.2092, 418.828, 1607.07, 1.24525, 88.7458
8.09091, 45.2996, 14.0425, 61.895, 71.1015, 417.145, 1540.64, 1.24979, 88.4106
7.69697, 45.0733, 13.9113, 59.187, 70.9938, 415.381, 1471.16, 1.25448, 88.0527
7.30303, 44.8276, 13.7728, 56.5812, 70.8862, 413.524, 1398.45, 1.25934, 87.6685
6.90909, 44.5593, 13.6258, 54.1255, 70.7789, 411.559, 1322.29, 1.26439, 87.2535
6.51515, 44.2644, 13.4687, 51.8836, 70.6723, 409.468, 1242.46, 1.26965, 86.8021
6.12121, 43.9375, 13.2998, 49.9399, 70.5668, 407.228, 1158.71, 1.27515, 86.307
5.72727, 43.5721, 13.1165, 48.4054, 70.4632, 404.808, 1070.83, 1.28092, 85.7589
5.33333, 43.1592, 12.9159, 47.4224, 70.3628, 402.171, 978.593, 1.287, 85.1452
4.93939, 42.6867, 12.6938, 47.1634, 70.2672, 399.265, 881.868, 1.29344, 84.4491
4.54545, 42.1382, 12.4446, 47.8117, 70.1796, 396.022, 780.698, 1.30026, 83.6472
4.15152, 41.4907, 12.1607, 49.4883, 70.1045, 392.35, 675.538, 1.3075, 82.7067
3.75758, 40.7123, 11.8322, 52.0617, 70.0496, 388.127, 567.745, 1.31514, 81.5819
3.36364, 39.7603, 11.4462, 54.7825, 70.0272, 383.198, 460.44, 1.32304, 80.2104
2.9697, 38.5845, 10.9889, 56.0023, 70.0555, 377.402, 359.389, 1.33082, 78.5162
2.57576, 37.1383, 10.4504, 53.9459, 70.1556, 370.621, 272.071, 1.33762, 76.4248
2.18182, 35.3783, 9.82261, 48.5209, 70.344, 362.762, 203.258, 1.34213, 73.8582
1.78788, 33.1612, 9.06509, 41.1954, 70.6274, 353.306, 151.178, 1.34229, 70.5821
1.39394, 29.7649, 7.95791, 32.6845, 70.9818, 339.422, 108.532, 1.33115, 65.4592
1, 19.9999, 4.99997, 20.0, 67.9999, 300.0, 59.9996, 1.22222, 49.9998
