IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9964, 20.0002, 199.997, 79.9999, 500.006, 3400.0, 0.999981, 100.001
39.6061, 50.2068, 19.9656, 199.75, 79.9763, 499.352, 3391.2, 1.00191, 99.9314
39.2121, 50.4251, 19.9303, 199.505, 79.9525, 498.681, 3382.26, 1.00389, 99.8602
38.8182, 50.6521, 19.8943, 199.261, 79.9286, 497.993, 3373.17, 1.00592, 99.787
38.4242, 50.8885, 19.8575, 199.02, 79.9044, 497.286, 3363.93, 1.00801, 99.7117
38.0303, 51.1351, 19.8199, 198.783, 79.88, 496.559, 3354.53, 1.01017, 99.6342
37.6364, 51.3928, 19.7815, 198.551, 79.8554, 495.811, 3344.97, 1.01239, 99.5541
37.2424, 51.6628, 19.7422, 198.324, 79.8307, 495.04, 3335.24, 1.01468, 99.4714
36.8485, 51.9465, 19.7019, 198.105, 79.8058, 494.244, 3325.35, 1.01706, 99.3858
36.4545, 52.2454, 19.6605, 197.895, 79.7808, 493.42, 3315.28, 1.01952, 99.2969
36.0606, 52.5614, 19.6179, 197.696, 79.7556, 492.565, 3305.04, 1.02208, 99.2045
35.6667, 52.8969, 19.574, 197.512, 79.7304, 491.676, 3294.6, 1.02475, 99.108
35.2727, 53.2548, 19.5286, 197.345, 79.7051, 490.748, 3283.98, 1.02754, 99.007
34.8788, 53.639, 19.4817, 197.201, 79.6798, 489.776, 3273.16, 1.03047, 98.9007
34.4848, 54.0545, 19.4328, 197.085, 79.6547, 488.751, 3262.14, 1.03356, 98.7882
34.0909, 54.5082, 19.3816, 197.006, 79.6298, 487.663, 3250.91, 1.03685, 98.6684
33.697, 55.0103, 19.3277, 196.978, 79.6053, 486.498, 3239.45, 1.04038, 98.5393
33.303, 55.576, 19.2703, 197.019, 79.5814, 485.233, 3227.77, 1.04423, 98.3984
32.9091, 56.2316, 19.2082, 197.163, 79.5588, 483.828, 3215.83, 1.04851, 98.2409
32.5152, 57.0289, 19.1387, 197.477, 79.5382, 482.207, 3203.62, 1.05346, 98.0579
32.1212, 58.1006, 19.0556, 198.132, 79.5224, 480.175, 3191.07, 1.05969, 97.8261
31.7273, 60.0596, 18.9282, 199.959, 79.5235, 476.82, 3177.91, 1.07002, 97.4339
31.3333, 910.284, 9.71895, 1270.06, 185.706, 225.114, 1687.09, 0.818902, 25.7055
30.9394, 1115.16, 9.70252, 1304.15, 190.441, 225.016, 1580.49, 0.818357, 25.7197
30.5455, 1114.46, 9.68619, 1305.71, 190.264, 224.977, 1575.65, 0.818142, 25.7103
30.1515, 1113.74, 9.66955, 1307.3, 190.084, 224.938, 1570.73, 0.817923, 25.7008
29.7576, 1113.01, 9.65259, 1308.89, 189.9, 224.897, 1565.73, 0.817699, 25.691
29.3636, 1112.27, 9.63531, 1310.51, 189.713, 224.856, 1560.64, 0.817471, 25.681
28.9697, 1111.51, 9.6177, 1312.15, 189.521, 224.814, 1555.46, 0.817237, 25.6708
28.5758, 1110.73, 9.59974, 1313.8, 189.325, 224.771, 1550.19, 0.816998, 25.6603
28.1818, 1109.94, 9.58142, 1315.47, 189.125, 224.726, 1544.82, 0.816755, 25.6497
27.7879, 1109.13, 9.56272, 1317.16, 188.921, 224.681, 1539.36, 0.816505, 25.6388
27.3939, 1108.3, 9.54364, 1318.87, 188.712, 224.635, 1533.79, 0.81625, 25.6276
27, 1107.45, 9.52415, 1320.59, 188.498, 224.588, 1528.12, 0.815989, 25.6162
26.6061, 1106.58, 9.50425, 1322.34, 188.28, 224.539, 1522.34, 0.815721, 25.6046
26.2121, 1105.69, 9.48391, 1324.11, 188.056, 224.49, 1516.44, 0.815447, 25.5926
25.8182, 1104.78, 9.46312, 1325.89, 187.827, 224.439, 1510.43, 0.815167, 25.5804
25.4242, 1103.85, 9.44186, 1327.7, 187.592, 224.387, 1504.3, 0.814879, 25.5678
25.0303, 1102.9, 9.42011, 1329.52, 187.351, 224.333, 1498.03, 0.814584, 25.5549
24.6364, 1101.91, 9.39785, 1331.37, 187.104, 224.278, 1491.64, 0.814281, 25.5417
24.2424, 1100.91, 9.37506, 1333.24, 186.851, 224.222, 1485.11, 0.813969, 25.5282
23.8485, 1099.88, 9.3517, 1335.12, 186.591, 224.164, 1478.44, 0.81365, 25.5142
23.4545, 1098.81, 9.32777, 1337.03, 186.324, 224.105, 1471.62, 0.813321, 25.4999
23.0606, 1097.72, 9.30322, 1338.96, 186.05, 224.043, 1464.65, 0.812983, 25.4852
22.6667, 1096.6, 9.27803, 1340.91, 185.767, 223.98, 1457.52, 0.812635, 25.4701
22.2727, 1095.45, 9.25217, 1342.88, 185.477, 223.915, 1450.21, 0.812277, 25.4545
21.8788, 1094.26, 9.22561, 1344.87, 185.178, 223.848, 1442.74, 0.811908, 25.4384
21.4848, 1093.03, 9.1983, 1346.88, 184.87, 223.779, 1435.07, 0.811527, 25.4219
21.0909, 1091.77, 9.17022, 1348.91, 184.552, 223.708, 1427.22, 0.811134, 25.4048
20.697, 1090.46, 9.14131, 1350.96, 184.224, 223.634, 1419.16, 0.810728, 25.3871
20.303, 1089.11, 9.11153, 1353.04, 183.886, 223.558, 1410.89, 0.810308, 25.3689
19.9091, 1087.72, 9.08083, 1355.13, 183.536, 223.479, 1402.39, 0.809874, 25.3501
19.5152, 1086.28, 9.04916, 1357.23, 183.174, 223.397, 1393.66, 0.809424, 25.3305
19.1212, 1084.78, 9.01646, 1359.36, 182.799, 223.312, 1384.68, 0.808958, 25.3103
18.7273, 102.794, 11.84, 803.765, 82.0463, 360.173, 2169.21, 1.34268, 72.9756
18.3333, 99.8494, 11.9784, 741.543, 81.462, 362.891, 2184.75, 1.342, 73.8968
17.9394, 97.7137, 12.0747, 695.147, 81.0496, 364.849, 2189.73, 1.34123, 74.5495
17.5455, 95.9254, 12.1521, 655.944, 80.712, 366.472, 2189.26, 1.3404, 75.0839
17.1515, 94.3372, 12.2179, 621.18, 80.4182, 367.896, 2185.0, 1.33954, 75.5474
16.7576, 92.8795, 12.2756, 589.562, 80.1536, 369.184, 2177.69, 1.33866, 75.9624
16.3636, 91.513, 12.327, 560.366, 79.91, 370.37, 2167.73, 1.33775, 76.3411
15.9697, 90.2167, 12.3699, 533.539, 79.6857, 371.464, 2155.05, 1.33685, 76.6759
15.5758, 89.4157, 12.281, 518.571, 79.6155, 372.33, 2130.0, 1.33609, 76.2981
15.1818, 91.7798, 12.5892, 407.901, 79.1529, 379.16, 2164.93, 1.32857, 76.978
14.7879, 88.6988, 13.9414, 294.317, 78.1004, 382.402, 2236.77, 1.32414, 83.3664
14.3939, 81.7999, 13.0472, 478.357, 78.4258, 371.01, 2108.9, 1.33724, 81.2692
14, 80.2448, 11.4543, 768.387, 80.0007, 361.314, 1895.06, 1.34249, 74.9537
13.6061, 84.4031, 10.7451, 774.822, 81.6667, 362.456, 1828.8, 1.34218, 69.7959
13.2121, 92.3017, 11.1411, 472.996, 80.1106, 382.425, 1923.86, 1.32412, 69.1236
12.8182, 94.5611, 14.2584, 191.657, 77.3787, 402.874, 2072.51, 1.28534, 83.3508
