IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0, 200.002, 80.0, 500.001, 3400.01, 0.999998, 100.0
39.6061, 49.9845, 19.938, 199.155, 79.9344, 499.159, 3392.79, 1.00248, 99.911
39.2121, 49.9683, 19.8756, 198.297, 79.8684, 498.312, 3385.45, 1.00498, 99.8211
38.8182, 49.9518, 19.813, 197.426, 79.802, 497.46, 3377.96, 1.0075, 99.7304
38.4242, 49.9351, 19.7501, 196.542, 79.7352, 496.603, 3370.32, 1.01004, 99.6389
38.0303, 49.9182, 19.687, 195.645, 79.668, 495.741, 3362.54, 1.0126, 99.5467
37.6364, 49.9011, 19.6236, 194.735, 79.6004, 494.874, 3354.61, 1.01518, 99.4537
37.2424, 49.8837, 19.56, 193.811, 79.5325, 494.002, 3346.52, 1.01778, 99.3599
36.8485, 49.866, 19.4961, 192.873, 79.4642, 493.126, 3338.27, 1.0204, 99.2653
36.4545, 49.848, 19.432, 191.92, 79.3955, 492.245, 3329.85, 1.02304, 99.17
36.0606, 49.8297, 19.3678, 190.953, 79.3265, 491.36, 3321.26, 1.0257, 99.0739
35.6667, 49.8111, 19.3033, 189.971, 79.2572, 490.471, 3312.49, 1.02837, 98.977
35.2727, 49.7921, 19.2387, 188.974, 79.1876, 489.578, 3303.55, 1.03106, 98.8794
34.8788, 49.7727, 19.1738, 187.962, 79.1177, 488.682, 3294.41, 1.03377, 98.7809
34.4848, 49.7529, 19.1088, 186.933, 79.0476, 487.781, 3285.09, 1.0365, 98.6817
34.0909, 49.7326, 19.0436, 185.888, 78.9771, 486.877, 3275.56, 1.03924, 98.5817
33.697, 49.7119, 18.9783, 184.827, 78.9064, 485.97, 3265.83, 1.04199, 98.481
33.303, 49.6908, 18.9128, 183.749, 78.8355, 485.059, 3255.89, 1.04476, 98.3794
32.9091, 49.6691, 18.8472, 182.653, 78.7644, 484.146, 3245.74, 1.04755, 98.2771
32.5152, 49.6469, 18.7815, 181.54, 78.693, 483.229, 3235.36, 1.05034, 98.174
32.1212, 49.6242, 18.7156, 180.409, 78.6214, 482.31, 3224.75, 1.05315, 98.0701
31.7273, 49.6008, 18.6496, 179.26, 78.5497, 481.388, 3213.9, 1.05598, 97.9654
31.3333, 49.5769, 18.5835, 178.091, 78.4778, 480.464, 3202.81, 1.05881, 97.8599
30.9394, 49.5523, 18.5173, 176.904, 78.4057, 479.537, 3191.46, 1.06166, 97.7536
30.5455, 49.5271, 18.451, 175.697, 78.3335, 478.607, 3179.86, 1.06452, 97.6465
30.1515, 49.5012, 18.3846, 174.471, 78.2611, 477.676, 3167.99, 1.06738, 97.5386
29.7576, 49.4746, 18.3181, 173.224, 78.1887, 476.743, 3155.84, 1.07026, 97.4299
29.3636, 49.4473, 18.2515, 171.956, 78.1161, 475.807, 3143.4, 1.07315, 97.3203
28.9697, 49.4192, 18.1849, 170.667, 78.0434, 474.87, 3130.67, 1.07605, 97.2099
28.5758, 49.3903, 18.1181, 169.357, 77.9706, 473.931, 3117.63, 1.07895, 97.0986
28.1818, 49.3606, 18.0513, 168.024, 77.8977, 472.989, 3104.28, 1.08187, 96.9864
27.7879, 49.33, 17.9843, 166.67, 77.8248, 472.047, 3090.61, 1.08479, 96.8734
27.3939, 49.2985, 17.9173, 165.292, 77.7517, 471.102, 3076.6, 1.08772, 96.7594
27, 49.2662, 17.8502, 163.891, 77.6786, 470.156, 3062.24, 1.09066, 96.6445
26.6061, 49.2329, 17.7831, 162.467, 77.6054, 469.208, 3047.52, 1.09361, 96.5287
26.2121, 49.1986, 17.7158, 161.018, 77.5322, 468.259, 3032.44, 1.09656, 96.4119
25.8182, 49.1633, 17.6484, 159.544, 77.4589, 467.307, 3016.97, 1.09952, 96.2941
25.4242, 49.1269, 17.5809, 158.046, 77.3856, 466.354, 3001.1, 1.10249, 96.1752
25.0303, 49.0895, 17.5133, 156.522, 77.3122, 465.399, 2984.83, 1.10546, 96.0553
24.6364, 49.0509, 17.4456, 154.971, 77.2387, 464.442, 2968.13, 1.10844, 95.9343
24.2424, 49.0112, 17.3777, 153.395, 77.1652, 463.483, 2950.99, 1.11143, 95.8121
23.8485, 48.9703, 17.3097, 151.791, 77.0917, 462.522, 2933.4, 1.11443, 95.6888
23.4545, 48.9281, 17.2415, 150.159, 77.018, 461.559, 2915.33, 1.11743, 95.5642
23.0606, 48.8847, 17.1731, 148.499, 76.9443, 460.593, 2896.78, 1.12044, 95.4384
22.6667, 48.8399, 17.1046, 146.811, 76.8705, 459.625, 2877.72, 1.12346, 95.3113
22.2727, 48.7937, 17.0359, 145.093, 76.7966, 458.654, 2858.14, 1.12648, 95.1827
21.8788, 48.7461, 16.9669, 143.346, 76.7226, 457.68, 2838.01, 1.12952, 95.0527
21.4848, 48.6971, 16.8976, 141.568, 76.6485, 456.702, 2817.32, 1.13256, 94.9212
21.0909, 48.6465, 16.8281, 139.76, 76.5743, 455.721, 2796.04, 1.13561, 94.7882
20.697, 48.5943, 16.7583, 137.92, 76.5, 454.736, 2774.15, 1.13868, 94.6534
20.303, 48.5404, 16.6882, 136.048, 76.4255, 453.747, 2751.62, 1.14175, 94.5169
19.9091, 48.4848, 16.6177, 134.143, 76.3508, 452.753, 2728.44, 1.14483, 94.3786
19.5152, 48.4274, 16.5468, 132.206, 76.2759, 451.754, 2704.57, 1.14793, 94.2384
19.1212, 48.3681, 16.4755, 130.234, 76.2008, 450.75, 2679.99, 1.15104, 94.0961
18.7273, 48.3068, 16.4037, 128.228, 76.1255, 449.74, 2654.66, 1.15417, 93.9517
18.3333, 48.2435, 16.3314, 126.188, 76.0499, 448.724, 2628.56, 1.1573, 93.8049
17.9394, 48.178, 16.2586, 124.112, 75.9741, 447.701, 2601.65, 1.16046, 93.6558
17.5455, 48.1102, 16.1852, 121.999, 75.8979, 446.67, 2573.9, 1.16363, 93.5041
17.1515, 48.0401, 16.1111, 119.851, 75.8213, 445.631, 2545.27, 1.16683, 93.3497
16.7576, 47.9674, 16.0364, 117.664, 75.7444, 444.583, 2515.72, 1.17004, 93.1924
16.3636, 47.8922, 15.9608, 115.441, 75.667, 443.526, 2485.21, 1.17327, 93.032
15.9697, 47.8141, 15.8844, 113.179, 75.5892, 442.457, 2453.7, 1.17653, 92.8684
15.5758, 47.7331, 15.8072, 110.878, 75.5109, 441.378, 2421.13, 1.17982, 92.7012
15.1818, 47.649, 15.7289, 108.538, 75.432, 440.286, 2387.47, 1.18313, 92.5302
14.7879, 47.5615, 15.6496, 106.159, 75.3524, 439.181, 2352.65, 1.18647, 92.3553
14.3939, 47.4705, 15.5691, 103.741, 75.2722, 438.06, 2316.62, 1.18985, 92.176
14, 47.3758, 15.4874, 101.282, 75.1913, 436.924, 2279.33, 1.19326, 91.992
