IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9967, 20.0001, 200.002, 79.9975, 500.006, 3400.02, 0.999984, 100.001
39.6061, 50.6089, 19.9011, 198.647, 80.6418, 498.123, 3388.46, 1.00554, 99.8009
39.2121, 51.275, 19.799, 197.228, 81.362, 496.152, 3376.27, 1.01138, 99.5906
38.8182, 52.0077, 19.6933, 195.732, 82.1745, 494.074, 3363.33, 1.01757, 99.3675
38.4242, 52.8255, 19.5832, 194.145, 83.1027, 491.864, 3349.5, 1.02418, 99.1284
38.0303, 53.7586, 19.4674, 192.442, 84.1832, 489.478, 3334.52, 1.03136, 98.868
37.6364, 54.8616, 19.3434, 190.577, 85.4799, 486.839, 3317.97, 1.03935, 98.5771
37.2424, 56.2567, 19.2058, 188.455, 87.1314, 483.775, 3298.95, 1.04867, 98.2349
36.8485, 58.3754, 19.0357, 185.75, 89.6116, 479.675, 3274.41, 1.06123, 97.7683
36.4545, 86.7006, 17.4752, 155.966, 128.291, 439.621, 3015.03, 1.1851, 90.7034
36.0606, 1331.32, 16.2545, 123.833, 61.7602, 236.091, 2600.27, 0.880601, 28.5341
35.6667, 1330.66, 16.2288, 123.092, 61.6979, 236.06, 2590.64, 0.880424, 28.5258
35.2727, 1330.0, 16.2029, 122.341, 61.6349, 236.028, 2580.83, 0.880244, 28.5174
34.8788, 1329.32, 16.1767, 121.58, 61.5712, 235.996, 2570.84, 0.880062, 28.5089
34.4848, 1328.64, 16.1503, 120.808, 61.5068, 235.964, 2560.66, 0.879877, 28.5002
34.0909, 1327.95, 16.1235, 120.026, 61.4415, 235.931, 2550.29, 0.87969, 28.4915
33.697, 1327.25, 16.0965, 119.232, 61.3755, 235.898, 2539.72, 0.879501, 28.4826
33.303, 1326.55, 16.0691, 118.427, 61.3087, 235.864, 2528.95, 0.879309, 28.4737
32.9091, 1325.83, 16.0415, 117.611, 61.2411, 235.83, 2517.97, 0.879114, 28.4646
32.5152, 1325.1, 16.0135, 116.784, 61.1726, 235.795, 2506.78, 0.878917, 28.4554
32.1212, 1324.37, 15.9852, 115.944, 61.1032, 235.76, 2495.36, 0.878717, 28.4461
31.7273, 1323.62, 15.9566, 115.093, 61.033, 235.724, 2483.72, 0.878515, 28.4366
31.3333, 1322.87, 15.9277, 114.229, 60.9618, 235.688, 2471.84, 0.878309, 28.427
30.9394, 1322.1, 15.8984, 113.353, 60.8897, 235.651, 2459.73, 0.878101, 28.4173
30.5455, 1321.32, 15.8687, 112.463, 60.8166, 235.614, 2447.36, 0.877889, 28.4074
30.1515, 1320.53, 15.8387, 111.561, 60.7426, 235.577, 2434.74, 0.877674, 28.3974
29.7576, 1319.73, 15.8083, 110.646, 60.6675, 235.538, 2421.86, 0.877456, 28.3872
29.3636, 1318.92, 15.7775, 109.717, 60.5913, 235.499, 2408.71, 0.877235, 28.3769
28.9697, 1318.1, 15.7463, 108.774, 60.5141, 235.46, 2395.28, 0.87701, 28.3664
28.5758, 1317.26, 15.7147, 107.817, 60.4357, 235.42, 2381.56, 0.876782, 28.3558
28.1818, 1316.41, 15.6826, 106.846, 60.3562, 235.379, 2367.54, 0.87655, 28.345
27.7879, 1315.54, 15.6502, 105.86, 60.2754, 235.337, 2353.22, 0.876314, 28.334
