IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0001, 200.001, 79.9994, 500.001, 3400.01, 0.999996, 100.0
39.6061, 49.985, 19.9399, 200.409, 79.8965, 499.186, 3391.8, 1.0024, 99.9138
39.2121, 49.9693, 19.8795, 200.82, 79.7928, 498.365, 3383.44, 1.00482, 99.8267
38.8182, 49.9533, 19.8187, 201.236, 79.6884, 497.539, 3374.92, 1.00726, 99.7387
38.4242, 49.9372, 19.7577, 201.656, 79.5831, 496.707, 3366.25, 1.00973, 99.65
38.0303, 49.9208, 19.6964, 202.078, 79.4771, 495.87, 3357.42, 1.01222, 99.5605
37.6364, 49.9042, 19.6348, 202.503, 79.3704, 495.028, 3348.42, 1.01472, 99.4702
37.2424, 49.8873, 19.5729, 202.93, 79.263, 494.18, 3339.25, 1.01725, 99.3791
36.8485, 49.8701, 19.5108, 203.359, 79.155, 493.328, 3329.91, 1.0198, 99.2871
36.4545, 49.8527, 19.4484, 203.79, 79.0463, 492.471, 3320.39, 1.02237, 99.1944
36.0606, 49.8349, 19.3858, 204.22, 78.9369, 491.608, 3310.69, 1.02495, 99.1009
35.6667, 49.8168, 19.3229, 204.651, 78.8271, 490.742, 3300.79, 1.02756, 99.0065
35.2727, 49.7983, 19.2598, 205.08, 78.7166, 489.87, 3290.71, 1.03018, 98.9113
34.8788, 49.7795, 19.1964, 205.509, 78.6056, 488.995, 3280.43, 1.03283, 98.8153
34.4848, 49.7603, 19.1329, 205.934, 78.4942, 488.115, 3269.94, 1.03549, 98.7185
34.0909, 49.7406, 19.0691, 206.357, 78.3823, 487.231, 3259.25, 1.03816, 98.6209
33.697, 49.7205, 19.0051, 206.776, 78.2699, 486.343, 3248.34, 1.04086, 98.5224
33.303, 49.6999, 18.9409, 207.189, 78.1572, 485.451, 3237.21, 1.04357, 98.4231
32.9091, 49.6789, 18.8766, 207.596, 78.0441, 484.555, 3225.86, 1.0463, 98.323
32.5152, 49.6573, 18.812, 207.997, 77.9307, 483.655, 3214.27, 1.04904, 98.222
32.1212, 49.6352, 18.7473, 208.389, 77.817, 482.752, 3202.45, 1.0518, 98.1202
31.7273, 49.6125, 18.6824, 208.771, 77.7031, 481.846, 3190.38, 1.05457, 98.0175
