IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9981, 19.9999, 199.999, 80.0019, 500.001, 3400.0, 0.999997, 100.0
39.6061, 50.3152, 19.948, 199.456, 79.5437, 499.017, 3395.37, 1.00289, 99.8959
39.2121, 50.6453, 19.8953, 198.904, 79.0779, 498.013, 3390.66, 1.00586, 99.7892
38.8182, 50.9893, 19.8421, 198.345, 78.6042, 496.988, 3385.87, 1.0089, 99.6799
38.4242, 51.3484, 19.7881, 197.778, 78.1223, 495.939, 3381.01, 1.01201, 99.5678
38.0303, 51.7239, 19.7334, 197.204, 77.6319, 494.868, 3376.06, 1.0152, 99.4529
37.6364, 52.1172, 19.6781, 196.621, 77.1325, 493.771, 3371.04, 1.01847, 99.3349
37.2424, 52.5301, 19.622, 196.031, 76.6238, 492.649, 3365.93, 1.02183, 99.2136
36.8485, 52.9644, 19.5653, 195.433, 76.1051, 491.499, 3360.73, 1.02528, 99.0888
36.4545, 53.4226, 19.5079, 194.827, 75.5759, 490.321, 3355.45, 1.02882, 98.9603
36.0606, 53.9074, 19.4498, 194.213, 75.0355, 489.111, 3350.09, 1.03247, 98.8277
35.6667, 54.4222, 19.3911, 193.592, 74.4828, 487.867, 3344.65, 1.03623, 98.6909
35.2727, 54.9712, 19.3318, 192.964, 73.9168, 486.588, 3339.12, 1.04011, 98.5492
34.8788, 55.5597, 19.2719, 192.329, 73.3361, 485.268, 3333.52, 1.04412, 98.4023
34.4848, 56.1945, 19.2116, 191.688, 72.7387, 483.906, 3327.85, 1.04827, 98.2496
34.0909, 56.8847, 19.1508, 191.042, 72.122, 482.494, 3322.11, 1.05259, 98.0904
33.697, 57.6432, 19.0899, 190.394, 71.4824, 481.025, 3316.34, 1.05708, 97.9234
33.303, 58.4888, 19.029, 189.745, 70.8145, 479.489, 3310.54, 1.0618, 97.7475
32.9091, 59.4513, 18.9687, 189.102, 70.1092, 477.869, 3304.77, 1.06678, 97.5602
32.5152, 60.5843, 18.9099, 188.473, 69.3504, 476.135, 3299.11, 1.07213, 97.3579
32.1212, 62.0036, 18.8545, 187.88, 68.5023, 474.225, 3293.76, 1.07803, 97.1326
31.7273, 64.1013, 18.8096, 187.399, 67.442, 471.927, 3289.41, 1.08515, 96.8578
31.3333, 1256.23, 13.5835, 125.887, 50.9683, 232.433, 2626.75, 0.859849, 27.5746
30.9394, 1254.41, 13.525, 125.074, 50.8373, 232.342, 2616.31, 0.859337, 27.5512
30.5455, 1252.58, 13.466, 124.248, 50.7048, 232.25, 2605.65, 0.858818, 27.5275
30.1515, 1250.71, 13.4065, 123.407, 50.5706, 232.157, 2594.74, 0.858291, 27.5034
29.7576, 1248.83, 13.3464, 122.552, 50.4347, 232.062, 2583.59, 0.857757, 27.4791
29.3636, 1246.92, 13.2859, 121.682, 50.2972, 231.966, 2572.19, 0.857214, 27.4544
28.9697, 1244.98, 13.2248, 120.798, 50.1581, 231.869, 2560.52, 0.856665, 27.4293
28.5758, 1243.02, 13.1633, 119.897, 50.0174, 231.77, 2548.58, 0.856108, 27.404
28.1818, 1241.03, 13.1013, 118.981, 49.8751, 231.67, 2536.36, 0.855543, 27.3783
27.7879, 1239.03, 13.0389, 118.048, 49.7312, 231.568, 2523.85, 0.854971, 27.3523
27.3939, 1236.99, 12.976, 117.097, 49.5858, 231.466, 2511.02, 0.854391, 27.3259
27, 1234.94, 12.9128, 116.13, 49.4389, 231.362, 2497.88, 0.853804, 27.2993
26.6061, 1232.86, 12.8492, 115.144, 49.2906, 231.256, 2484.42, 0.853211, 27.2723
26.2121, 1230.76, 12.7852, 114.139, 49.141, 231.15, 2470.6, 0.85261, 27.2451
25.8182, 1228.65, 12.721, 113.115, 48.9901, 231.042, 2456.43, 0.852003, 27.2176
25.4242, 1226.51, 12.6565, 112.071, 48.838, 230.933, 2441.88, 0.85139, 27.1898
25.0303, 1224.35, 12.5918, 111.006, 48.6848, 230.823, 2426.94, 0.850771, 27.1618
24.6364, 1222.18, 12.527, 109.92, 48.5307, 230.712, 2411.59, 0.850147, 27.1336
24.2424, 1220.0, 12.4621, 108.812, 48.3759, 230.6, 2395.82, 0.849518, 27.1051
23.8485, 1217.8, 12.3972, 107.68, 48.2204, 230.488, 2379.59, 0.848885, 27.0765
23.4545, 1215.6, 12.3324, 106.525, 48.0645, 230.375, 2362.9, 0.848248, 27.0478
23.0606, 1213.39, 12.2679, 105.345, 47.9085, 230.261, 2345.71, 0.84761, 27.019
22.6667, 1211.18, 12.2036, 104.14, 47.7526, 230.147, 2328.01, 0.846971, 26.9902
22.2727, 1208.98, 12.1397, 102.907, 47.5971, 230.033, 2309.76, 0.846331, 26.9614
21.8788, 1206.78, 12.0765, 101.647, 47.4425, 229.92, 2290.93, 0.845694, 26.9327
21.4848, 1204.6, 12.014, 100.358, 47.2892, 229.807, 2271.49, 0.84506, 26.9042
21.0909, 1202.44, 11.9525, 99.039, 47.1376, 229.695, 2251.41, 0.844433, 26.876
20.697, 1200.31, 11.8922, 97.6883, 46.9885, 229.585, 2230.65, 0.843813, 26.8481
20.303, 1198.23, 11.8333, 96.3046, 46.8424, 229.476, 2209.17, 0.843205, 26.8208
19.9091, 1196.2, 11.7763, 94.8866, 46.7002, 229.371, 2186.91, 0.842612, 26.7942
19.5152, 1194.23, 11.7213, 93.4325, 46.5629, 229.268, 2163.83, 0.842037, 26.7685
19.1212, 1192.35, 11.669, 91.9409, 46.4315, 229.17, 2139.87, 0.841487, 26.7438
18.7273, 1190.57, 11.6197, 90.4097, 46.3075, 229.077, 2114.97, 0.840966, 26.7205
18.3333, 1188.92, 11.5741, 88.8373, 46.1924, 228.99, 2089.05, 0.840481, 26.6988
17.9394, 1187.42, 11.5329, 87.2214, 46.088, 228.912, 2062.03, 0.840042, 26.6791
17.5455, 1186.11, 11.4969, 85.5602, 45.9967, 228.843, 2033.82, 0.839656, 26.6618
17.1515, 1185.02, 11.4672, 83.8513, 45.9212, 228.786, 2004.31, 0.839337, 26.6476
16.7576, 1184.21, 11.445, 82.0927, 45.8647, 228.743, 1973.38, 0.839098, 26.6369
16.3636, 1183.73, 11.432, 80.2821, 45.8314, 228.718, 1940.88, 0.838956, 26.6306
15.9697, 1183.66, 11.4299, 78.4173, 45.8262, 228.714, 1906.64, 0.838934, 26.6296
15.5758, 1184.08, 11.4414, 76.4962, 45.8555, 228.736, 1870.46, 0.839058, 26.6351
15.1818, 1185.11, 11.4695, 74.5171, 45.9271, 228.79, 1832.09, 0.839361, 26.6487
14.7879, 1186.89, 11.5184, 72.4782, 46.0512, 228.884, 1791.22, 0.839886, 26.6721
14.3939, 1189.62, 11.5934, 70.3782, 46.2411, 229.027, 1747.47, 0.840687, 26.708
14, 1193.54, 11.7021, 68.2156, 46.5146, 229.232, 1700.37, 0.841835, 26.7594
13.6061, 1198.99, 11.8547, 65.9888, 46.8955, 229.516, 1649.26, 0.843426, 26.8308
13.2121, 99.2486, 12.6442, 111.889, 49.3343, 370.5, 2439.55, 1.33764, 76.0064
12.8182, 70.6399, 12.4523, 108.643, 51.5789, 381.437, 2393.4, 1.32555, 79.7026
12.4242, 67.3445, 12.2843, 105.648, 51.9561, 380.882, 2350.14, 1.32632, 79.5417
12.0303, 65.0039, 12.1251, 102.62, 52.2252, 379.961, 2305.48, 1.32756, 79.273
11.6364, 63.1405, 11.9755, 99.5379, 52.4477, 378.917, 2259.03, 1.32892, 78.9658
11.2424, 61.5999, 11.837, 96.3929, 52.6423, 377.853, 2210.54, 1.33024, 78.6497
10.8485, 60.3192, 11.7123, 93.1826, 52.8146, 376.836, 2159.84, 1.33145, 78.3446
10.4545, 59.2761, 11.6046, 89.9068, 52.9638, 375.921, 2106.72, 1.33249, 78.0681
10.0606, 58.4722, 11.5179, 86.5682, 53.0853, 375.166, 2050.99, 1.33332, 77.838
9.66667, 57.9281, 11.4576, 83.1726, 53.1711, 374.63, 1992.45, 1.33388, 77.6741
9.27273, 57.6841, 11.4301, 79.7302, 53.2106, 374.384, 1930.83, 1.33414, 77.5984
8.87879, 57.8061, 11.4439, 76.2562, 53.1908, 374.508, 1865.87, 1.33401, 77.6364
8.48485, 58.3995, 11.51, 72.7721, 53.0966, 375.095, 1797.2, 1.33339, 77.8165
8.09091, 59.6419, 11.6429, 69.3055, 52.9105, 376.251, 1724.39, 1.33212, 78.1679
7.69697, 61.8752, 11.8627, 65.8888, 52.6067, 378.057, 1646.9, 1.33, 78.7103
7.30303, 65.983, 12.1957, 62.5616, 52.1117, 380.399, 1564.26, 1.32698, 79.4012
6.90909, 1482.31, 23.6059, 32.9112, 68.2165, 242.953, 352.956, 0.919848, 30.4149
6.51515, 1464.02, 22.5309, 32.2159, 66.7557, 242.153, 326.873, 0.915258, 30.1901
6.12121, 1442.86, 21.361, 31.5266, 65.0796, 241.217, 302.221, 0.909894, 29.9291
5.72727, 1418.74, 20.1155, 30.8352, 63.1877, 240.137, 278.73, 0.903708, 29.6303
5.33333, 34.2428, 25.7134, 34.7385, 123.733, 584.702, 427.026, 0.784398, 109.061
4.93939, 35.3806, 24.9175, 33.9215, 118.47, 574.813, 392.961, 0.805965, 107.92
4.54545, 36.9574, 23.9869, 33.1802, 111.965, 562.622, 363.37, 0.833844, 106.561
4.15152, 39.1105, 22.9567, 32.4821, 104.318, 548.238, 336.716, 0.868617, 105.012
3.75758, 42.1159, 21.8446, 31.8054, 95.5592, 531.498, 312.044, 0.911684, 103.264
3.36364, 46.5734, 20.6568, 31.132, 85.6862, 511.89, 288.659, 0.965607, 101.243
2.9697, 54.3357, 19.4008, 30.4494, 74.5741, 488.073, 266.168, 1.03561, 98.7136
2.57576, 1086.02, 9.04343, 24.1835, 39.2373, 223.382, 114.866, 0.809343, 25.327
2.18182, 1018.25, 7.66071, 22.9918, 34.8995, 219.425, 96.1316, 0.787744, 24.3994
1.78788, 940.398, 6.29542, 21.6061, 30.1688, 214.577, 77.6125, 0.761771, 23.3073
1.39394, 38.2432, 8.58654, 23.8086, 59.8113, 344.909, 108.674, 1.33722, 67.5221
1, 19.9994, 4.99996, 19.9999, 68.0008, 300.0, 59.9998, 1.22222, 49.9998
