IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0001, 200.001, 79.9989, 500.002, 3400.01, 0.999993, 100.0
39.6061, 49.968, 19.8746, 198.811, 80.5076, 498.298, 3389.86, 1.00502, 99.8196
39.2121, 49.9338, 19.7452, 197.583, 81.066, 496.537, 3379.33, 1.01024, 99.6318
38.8182, 49.8978, 19.6115, 196.312, 81.6817, 494.709, 3368.36, 1.01567, 99.436
38.4242, 49.8595, 19.4729, 194.993, 82.3637, 492.807, 3356.9, 1.02136, 99.2308
38.0303, 49.8184, 19.3284, 193.618, 83.1234, 490.818, 3344.87, 1.02733, 99.0148
37.6364, 49.7737, 19.1773, 192.177, 83.9749, 488.73, 3332.18, 1.03363, 98.7863
37.2424, 49.7247, 19.0184, 190.66, 84.9363, 486.527, 3318.71, 1.0403, 98.5428
36.8485, 49.6701, 18.8501, 189.051, 86.0316, 484.186, 3304.32, 1.04742, 98.2816
36.4545, 49.6083, 18.6705, 187.332, 87.293, 481.68, 3288.8, 1.05508, 97.9986
36.0606, 49.537, 18.4768, 185.476, 88.7662, 478.97, 3271.89, 1.0634, 97.6883
35.6667, 49.4529, 18.265, 183.442, 90.5192, 475.996, 3253.18, 1.07257, 97.3425
35.2727, 49.3502, 18.0284, 181.166, 92.6616, 472.668, 3232.01, 1.08286, 96.948
34.8788, 49.2189, 17.7554, 178.535, 95.3902, 468.818, 3207.2, 1.09482, 96.4808
34.4848, 49.0363, 17.4205, 175.298, 99.134, 464.088, 3176.22, 1.10955, 95.8892
34.0909, 48.7263, 16.9386, 170.626, 105.327, 457.28, 3130.53, 1.13076, 94.9991
33.697, 41.2113, 12.0413, 121.164, 196.275, 390.812, 2565.36, 1.31037, 82.3024
33.303, 40.8675, 11.8967, 119.572, 197.952, 388.954, 2544.25, 1.31371, 81.8059
32.9091, 40.5549, 11.7673, 118.13, 199.304, 387.296, 2524.95, 1.31655, 81.355
32.5152, 40.2655, 11.6491, 116.798, 200.411, 385.784, 2506.97, 1.31904, 80.9379
32.1212, 39.9941, 11.5395, 115.549, 201.324, 384.387, 2489.96, 1.32124, 80.547
31.7273, 39.7372, 11.437, 114.365, 202.078, 383.081, 2473.72, 1.32322, 80.177
31.3333, 39.4921, 11.3401, 113.233, 202.699, 381.85, 2458.07, 1.325, 79.8242
30.9394, 39.2571, 11.2481, 112.143, 203.206, 380.682, 2442.89, 1.32663, 79.4857
30.5455, 39.0306, 11.1602, 111.087, 203.612, 379.567, 2428.08, 1.32811, 79.1594
30.1515, 38.8116, 11.0758, 110.06, 203.93, 378.499, 2413.57, 1.32948, 78.8437
29.7576, 38.599, 10.9945, 109.055, 204.169, 377.472, 2399.29, 1.33073, 78.5373
29.3636, 38.3923, 10.916, 108.069, 204.335, 376.48, 2385.18, 1.33189, 78.239
28.9697, 38.1908, 10.84, 107.098, 204.436, 375.521, 2371.19, 1.33296, 77.9481
28.5758, 37.9941, 10.7662, 106.139, 204.477, 374.592, 2357.28, 1.33395, 77.6638
28.1818, 37.8017, 10.6945, 105.188, 204.463, 373.689, 2343.42, 1.33486, 77.3857
27.7879, 37.6134, 10.6248, 104.244, 204.397, 372.812, 2329.55, 1.33571, 77.1133
27.3939, 37.429, 10.5568, 103.304, 204.284, 371.957, 2315.65, 1.33649, 76.8463
27, 37.2484, 10.4906, 102.366, 204.126, 371.125, 2301.68, 1.33721, 76.5844
26.6061, 37.0714, 10.426, 101.426, 203.928, 370.315, 2287.61, 1.33787, 76.3276
26.2121, 36.898, 10.363, 100.484, 203.692, 369.525, 2273.4, 1.33848, 76.0758
25.8182, 36.7282, 10.3016, 99.5373, 203.421, 368.755, 2259.02, 1.33904, 75.8291
25.4242, 36.5621, 10.2419, 98.5832, 203.119, 368.006, 2244.43, 1.33954, 75.5875
25.0303, 36.4, 10.1838, 97.6196, 202.788, 367.279, 2229.59, 1.34, 75.3515
24.6364, 36.2421, 10.1274, 96.6443, 202.433, 366.573, 2214.46, 1.34042, 75.1213
24.2424, 36.0887, 10.0728, 95.6544, 202.057, 365.89, 2198.99, 1.34079, 74.8975
23.8485, 35.9403, 10.0202, 94.6474, 201.664, 365.232, 2183.13, 1.34113, 74.6808
23.4545, 35.7976, 9.96978, 93.62, 201.26, 364.602, 2166.82, 1.34142, 74.4722
23.0606, 35.6613, 9.92179, 92.5687, 200.85, 364.002, 2149.99, 1.34168, 74.2728
22.6667, 35.5325, 9.87657, 91.4894, 200.441, 363.436, 2132.56, 1.3419, 74.0842
22.2727, 35.4125, 9.83457, 90.3774, 200.041, 362.912, 2114.44, 1.34208, 73.9084
21.8788, 35.3031, 9.79637, 89.2272, 199.662, 362.434, 2095.51, 1.34224, 73.748
21.4848, 35.2066, 9.76275, 88.0319, 199.315, 362.014, 2075.63, 1.34236, 73.6064
21.0909, 35.1261, 9.73476, 86.7834, 199.017, 361.665, 2054.64, 1.34245, 73.4882
20.697, 35.0659, 9.71384, 85.4712, 198.789, 361.404, 2032.3, 1.34252, 73.3997
20.303, 35.0317, 9.70199, 84.0825, 198.658, 361.256, 2008.33, 1.34256, 73.3495
19.9091, 35.032, 9.70208, 82.6003, 198.659, 361.257, 1982.37, 1.34255, 73.3499
19.5152, 35.0789, 9.71835, 81.0034, 198.839, 361.46, 1953.91, 1.34251, 73.4188
19.1212, 35.1905, 9.75716, 79.2651, 199.256, 361.945, 1922.31, 1.34238, 73.5828
18.7273, 35.3938, 9.82804, 77.3559, 199.978, 362.83, 1886.77, 1.34211, 73.881
18.3333, 35.7256, 9.94443, 75.257, 201.046, 364.285, 1846.57, 1.34156, 74.3669
17.9394, 36.223, 10.1206, 73.0016, 202.388, 366.487, 1801.85, 1.34047, 75.0934
17.5455, 36.8856, 10.3585, 70.7339, 203.673, 369.468, 1755.01, 1.33852, 76.0578
17.1515, 38.7107, 14.6841, 48.3918, 202.989, 371.457, 1701.19, 1.33691, 86.0261
16.7576, 51.8859, 9.7678, 89.4923, 207.081, 400.258, 1598.02, 1.29128, 78.4967
16.3636, 52.3494, 15.5386, 62.3723, 220.396, 396.799, 1412.15, 1.29862, 106.546
15.9697, 40.5967, 11.8236, 57.7323, 189.794, 374.763, 1721.12, 1.33377, 74.2186
15.5758, 42.0721, 10.5838, 65.1584, 185.939, 378.87, 1715.49, 1.32902, 70.1671
15.1818, 54.3794, 14.1343, 69.3204, 213.757, 403.279, 1350.59, 1.28444, 104.637
14.7879, 55.2032, 9.62143, 88.0763, 203.789, 408.558, 1417.98, 1.2719, 88.3955
14.3939, 52.0371, 17.9129, 49.8976, 208.78, 401.495, 1300.39, 1.28848, 107.013
14, 43.0326, 15.8266, 41.9321, 183.288, 385.177, 1538.49, 1.32001, 80.3598
13.6061, 52.4592, 9.56531, 81.4718, 184.617, 409.676, 1467.2, 1.26914, 73.7511
13.2121, 48.2687, 18.4155, 44.4916, 195.902, 399.781, 1281.35, 1.29228, 104.205
12.8182, 45.1973, 12.8741, 50.0038, 171.108, 394.636, 1511.78, 1.30307, 72.2166
12.4242, 47.0617, 10.6966, 62.6661, 167.15, 401.541, 1494.21, 1.28844, 68.8465
12.0303, 47.3811, 18.3313, 43.6707, 181.736, 404.359, 1249.47, 1.28195, 101.346
11.6364, 47.1705, 18.3244, 43.6253, 176.155, 406.568, 1241.14, 1.27671, 100.264
11.2424, 45.6923, 17.7427, 41.2315, 162.512, 406.016, 1318.58, 1.27806, 86.9378
10.8485, 53.3996, 14.6335, 60.836, 168.007, 424.933, 1184.01, 1.22829, 100.057
10.4545, 49.7102, 17.7513, 47.3719, 161.75, 420.927, 1170.05, 1.23948, 101.988
10.0606, 52.3999, 11.4661, 70.562, 152.434, 431.266, 1207.78, 1.21004, 92.2435
9.66667, 46.539, 17.6534, 42.0978, 139.764, 422.501, 1247.12, 1.23514, 84.8268
9.27273, 48.5209, 14.4847, 53.5475, 133.445, 435.536, 1226.85, 1.19742, 88.9326
8.87879, 49.3194, 16.3545, 49.4897, 133.121, 437.127, 1139.27, 1.19265, 97.4765
8.48485, 48.9163, 15.9426, 48.0469, 124.251, 442.046, 1143.92, 1.17779, 92.7646
8.09091, 47.9112, 18.0944, 44.3838, 116.491, 445.663, 1115.71, 1.16673, 92.5291
7.69697, 48.3179, 18.0534, 46.04, 109.781, 452.386, 1080.86, 1.14597, 94.9416
7.30303, 48.8181, 17.0719, 47.7082, 103.516, 459.163, 1048.37, 1.1249, 95.2502
