IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9983, 19.9999, 199.998, 80.0017, 500.001, 3399.99, 0.999998, 100.0
39.6061, 50.3136, 19.9482, 199.908, 79.546, 499.022, 3394.89, 1.00288, 99.8964
39.2121, 50.641, 19.896, 199.974, 79.0838, 498.026, 3389.53, 1.00582, 99.7906
38.8182, 50.9813, 19.8433, 200.261, 78.615, 497.011, 3383.85, 1.00883, 99.6824
38.4242, 51.3351, 19.7901, 200.859, 78.14, 495.978, 3377.75, 1.01189, 99.572
38.0303, 51.7028, 19.7365, 201.895, 77.6591, 494.927, 3371.1, 1.01502, 99.4593
37.6364, 52.0847, 19.6826, 203.549, 77.1733, 493.861, 3363.69, 1.0182, 99.3445
37.2424, 52.4808, 19.6286, 206.072, 76.6837, 492.782, 3355.27, 1.02143, 99.2279
36.8485, 52.8904, 19.5748, 209.816, 76.1923, 491.693, 3345.46, 1.0247, 99.1098
36.4545, 53.3118, 19.5216, 215.26, 75.7022, 490.602, 3333.72, 1.02798, 98.9911
36.0606, 53.7419, 19.4694, 223.037, 75.2178, 489.519, 3319.4, 1.03124, 98.8726
35.6667, 54.1752, 19.4189, 233.926, 74.7453, 488.459, 3301.62, 1.03444, 98.7561
35.2727, 54.6037, 19.3711, 248.781, 74.293, 487.439, 3279.44, 1.03753, 98.6435
34.8788, 55.017, 19.327, 268.337, 73.8707, 486.483, 3252.03, 1.04043, 98.5376
34.4848, 55.4031, 19.2875, 292.894, 73.488, 485.614, 3218.98, 1.04307, 98.4409
34.0909, 55.7523, 19.2532, 322.038, 73.1517, 484.848, 3180.63, 1.0454, 98.3554
33.697, 56.0589, 19.2241, 354.636, 72.8638, 484.192, 3138.08, 1.0474, 98.2818
33.303, 56.3228, 19.1999, 389.165, 72.6214, 483.638, 3092.9, 1.04909, 98.2195
32.9091, 56.5481, 19.1798, 424.164, 72.4185, 483.173, 3046.59, 1.05051, 98.1672
32.5152, 56.7405, 19.1631, 458.503, 72.2481, 482.783, 3000.37, 1.0517, 98.1231
32.1212, 56.9059, 19.149, 491.447, 72.1036, 482.451, 2955.01, 1.05272, 98.0856
31.7273, 57.0496, 19.1371, 522.586, 71.9797, 482.167, 2910.98, 1.05358, 98.0534
31.3333, 57.1757, 19.1267, 551.735, 71.872, 481.92, 2868.51, 1.05434, 98.0253
