IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9973, 20.0, 200.001, 79.9998, 500.004, 3400.01, 0.999989, 100.0
39.6061, 50.4789, 19.9217, 199.18, 79.9468, 498.517, 3393.02, 1.00437, 99.8427
39.2121, 50.9878, 19.8423, 198.347, 79.8945, 496.992, 3385.9, 1.00888, 99.6804
38.8182, 51.5271, 19.7618, 197.503, 79.843, 495.426, 3378.64, 1.01354, 99.5129
38.4242, 52.101, 19.6803, 196.645, 79.7927, 493.816, 3371.24, 1.01834, 99.3397
38.0303, 52.7146, 19.5977, 195.774, 79.7439, 492.157, 3363.7, 1.0233, 99.1602
37.6364, 53.3744, 19.5138, 194.889, 79.697, 490.443, 3356.0, 1.02846, 98.9737
37.2424, 54.0892, 19.4288, 193.99, 79.6527, 488.667, 3348.14, 1.03381, 98.779
36.8485, 54.871, 19.3424, 193.076, 79.6118, 486.818, 3340.11, 1.03941, 98.5747
36.4545, 55.7374, 19.2546, 192.145, 79.5754, 484.881, 3331.89, 1.0453, 98.359
36.0606, 56.7159, 19.1652, 191.195, 79.5454, 482.832, 3323.47, 1.05155, 98.1287
35.6667, 57.8541, 19.074, 190.225, 79.5251, 480.632, 3314.83, 1.05829, 97.8786
35.2727, 59.2507, 18.9805, 189.227, 79.5209, 478.195, 3305.9, 1.06578, 97.5981
34.8788, 61.1968, 18.8833, 188.188, 79.5521, 475.272, 3296.55, 1.07479, 97.2564
34.4848, 67.1838, 18.7645, 186.917, 79.8578, 468.878, 3285.07, 1.09462, 96.4634
34.0909, 1221.55, 12.5081, 60.3456, 217.461, 230.68, 1504.24, 0.849964, 27.1253
33.697, 1228.47, 12.7156, 59.1513, 219.229, 231.033, 1469.93, 0.851952, 27.2153
33.303, 1237.84, 13.0023, 57.7464, 221.626, 231.509, 1427.62, 0.854634, 27.3369
32.9091, 1252.6, 13.4668, 55.8894, 225.4, 232.251, 1368.1, 0.858825, 27.5278
32.5152, 1304.12, 15.2468, 51.0783, 238.564, 234.806, 1193.97, 0.873296, 28.1984
32.1212, 1487.28, 23.9092, 40.9685, 285.597, 243.169, 722.055, 0.921088, 30.4759
31.7273, 1492.67, 24.2429, 40.6347, 286.978, 243.402, 705.352, 0.922428, 30.5418
31.3333, 1497.2, 24.5281, 40.3389, 288.136, 243.598, 690.584, 0.923551, 30.5972
30.9394, 1501.12, 24.778, 40.0699, 289.138, 243.767, 677.183, 0.924521, 30.645
30.5455, 1504.55, 24.9996, 39.8216, 290.014, 243.914, 664.84, 0.925368, 30.6869
30.1515, 1507.58, 25.1974, 39.5896, 290.789, 244.045, 653.342, 0.926115, 30.7239
29.7576, 1510.27, 25.375, 39.371, 291.477, 244.16, 642.534, 0.926778, 30.7568
29.3636, 1512.68, 25.5348, 39.1633, 292.092, 244.263, 632.3, 0.92737, 30.7861
28.9697, 1514.83, 25.6789, 38.9648, 292.641, 244.355, 622.551, 0.927898, 30.8123
28.5758, 1516.75, 25.8086, 38.7741, 293.133, 244.437, 613.218, 0.92837, 30.8357
28.1818, 1518.47, 25.9252, 38.5902, 293.572, 244.511, 604.243, 0.928792, 30.8567
27.7879, 1520.0, 26.0298, 38.4119, 293.963, 244.576, 595.58, 0.929167, 30.8753
27.3939, 1521.36, 26.1229, 38.2387, 294.31, 244.634, 587.189, 0.9295, 30.8919
27, 1522.56, 26.2054, 38.0697, 294.616, 244.685, 579.039, 0.929793, 30.9065
26.6061, 1523.6, 26.2776, 37.9045, 294.883, 244.73, 571.102, 0.930048, 30.9192
26.2121, 1524.5, 26.3401, 37.7425, 295.113, 244.768, 563.353, 0.930268, 30.9301
25.8182, 1525.27, 26.3931, 37.5834, 295.307, 244.8, 555.771, 0.930455, 30.9394
