IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9972, 20.0001, 200.002, 79.9998, 500.004, 3400.01, 0.999989, 100.0
39.6061, 50.3855, 19.9366, 199.174, 79.9568, 498.802, 3392.6, 1.00353, 99.873
39.2121, 50.789, 19.8729, 198.333, 79.9145, 497.582, 3385.05, 1.00714, 99.7433
38.8182, 51.2089, 19.8089, 197.479, 79.8729, 496.344, 3377.35, 1.01081, 99.6111
38.4242, 51.6468, 19.7445, 196.61, 79.8321, 495.086, 3369.49, 1.01455, 99.4763
38.0303, 52.1043, 19.6799, 195.727, 79.7924, 493.807, 3361.48, 1.01836, 99.3387
37.6364, 52.5836, 19.6149, 194.828, 79.7539, 492.506, 3353.3, 1.02226, 99.198
37.2424, 53.0872, 19.5497, 193.913, 79.7167, 491.18, 3344.95, 1.02624, 99.054
36.8485, 53.6181, 19.4842, 192.982, 79.6812, 489.828, 3336.42, 1.03031, 98.9064
36.4545, 54.1803, 19.4183, 192.032, 79.6475, 488.446, 3327.71, 1.03448, 98.7547
36.0606, 54.7787, 19.3522, 191.064, 79.6162, 487.031, 3318.81, 1.03877, 98.5984
35.6667, 55.42, 19.2858, 190.076, 79.5876, 485.577, 3309.71, 1.04318, 98.4367
35.2727, 56.1133, 19.219, 189.065, 79.5625, 484.076, 3300.41, 1.04775, 98.2688
34.8788, 56.8717, 19.1519, 188.031, 79.5417, 482.52, 3290.88, 1.05251, 98.0933
34.4848, 57.7155, 19.0844, 186.969, 79.5267, 480.889, 3281.12, 1.0575, 97.908
34.0909, 58.679, 19.0164, 185.876, 79.5199, 479.158, 3271.1, 1.06282, 97.7094
33.697, 59.8293, 18.9476, 184.741, 79.5257, 477.269, 3260.78, 1.06863, 97.4905
33.303, 61.3398, 18.8776, 183.545, 79.556, 475.079, 3250.09, 1.07539, 97.2336
32.9091, 64.0992, 18.8035, 182.18, 79.6712, 471.847, 3238.61, 1.0854, 96.8458
32.5152, 1258.42, 13.6544, 48.9784, 226.889, 232.542, 1342.64, 0.860467, 27.6028
32.1212, 1257.76, 13.6332, 48.4887, 226.721, 232.509, 1331.83, 0.860282, 27.5944
31.7273, 1257.09, 13.6114, 47.9929, 226.55, 232.476, 1320.85, 0.860093, 27.5857
31.3333, 1256.41, 13.5893, 47.4908, 226.375, 232.442, 1309.68, 0.8599, 27.5769
30.9394, 1255.71, 13.5667, 46.9823, 226.196, 232.407, 1298.33, 0.859703, 27.5679
30.5455, 1254.99, 13.5437, 46.4675, 226.013, 232.371, 1286.78, 0.859501, 27.5587
30.1515, 1254.26, 13.5202, 45.9462, 225.826, 232.335, 1275.04, 0.859295, 27.5493
29.7576, 1253.52, 13.4962, 45.4184, 225.635, 232.297, 1263.11, 0.859084, 27.5396
29.3636, 1252.75, 13.4717, 44.8841, 225.44, 232.259, 1250.97, 0.858868, 27.5298
28.9697, 1251.97, 13.4466, 44.3433, 225.24, 232.22, 1238.63, 0.858647, 27.5197
28.5758, 1251.17, 13.4211, 43.7958, 225.035, 232.18, 1226.09, 0.858421, 27.5094
28.1818, 1250.35, 13.395, 43.2418, 224.826, 232.139, 1213.34, 0.858189, 27.4988
27.7879, 1249.52, 13.3683, 42.6812, 224.611, 232.097, 1200.37, 0.857952, 27.488
27.3939, 1248.66, 13.341, 42.114, 224.392, 232.054, 1187.2, 0.857708, 27.4769
27, 1247.78, 13.3132, 41.5403, 224.167, 232.01, 1173.8, 0.857459, 27.4655
26.6061, 1246.88, 13.2847, 40.96, 223.937, 231.964, 1160.19, 0.857204, 27.4539
26.2121, 1245.96, 13.2556, 40.3733, 223.701, 231.918, 1146.37, 0.856942, 27.442
25.8182, 1245.01, 13.2258, 39.7803, 223.459, 231.87, 1132.32, 0.856674, 27.4297
25.4242, 1244.04, 13.1954, 39.1809, 223.211, 231.822, 1118.06, 0.856399, 27.4172
25.0303, 1243.05, 13.1643, 38.5754, 222.957, 231.772, 1103.57, 0.856116, 27.4044
24.6364, 1242.03, 13.1324, 37.9639, 222.697, 231.72, 1088.87, 0.855827, 27.3912
24.2424, 1240.99, 13.0999, 37.3466, 222.43, 231.668, 1073.95, 0.85553, 27.3777
23.8485, 1239.92, 13.0666, 36.7237, 222.156, 231.614, 1058.81, 0.855225, 27.3638
23.4545, 1238.82, 13.0325, 36.0953, 221.875, 231.558, 1043.47, 0.854912, 27.3496
23.0606, 1237.7, 12.9977, 35.4618, 221.588, 231.501, 1027.91, 0.854591, 27.335
22.6667, 1236.54, 12.962, 34.8235, 221.292, 231.443, 1012.15, 0.854262, 27.32
22.2727, 1235.36, 12.9256, 34.1807, 220.99, 231.383, 996.196, 0.853924, 27.3047
21.8788, 1234.14, 12.8883, 33.5337, 220.679, 231.321, 980.048, 0.853576, 27.2889
21.4848, 1232.9, 12.8502, 32.8829, 220.36, 231.258, 963.715, 0.85322, 27.2728
21.0909, 1231.62, 12.8112, 32.2289, 220.034, 231.193, 947.207, 0.852855, 27.2562
20.697, 1230.31, 12.7713, 31.572, 219.699, 231.126, 930.532, 0.852479, 27.2392
20.303, 1228.96, 12.7306, 30.9127, 219.355, 231.058, 913.702, 0.852094, 27.2217
19.9091, 1227.58, 12.6889, 30.2516, 219.003, 230.988, 896.728, 0.851699, 27.2038
19.5152, 1226.17, 12.6464, 29.5891, 218.642, 230.916, 879.623, 0.851293, 27.1854
19.1212, 1224.72, 12.6029, 28.9259, 218.272, 230.842, 862.398, 0.850877, 27.1666
18.7273, 1223.24, 12.5584, 28.2625, 217.893, 230.766, 845.068, 0.85045, 27.1473
18.3333, 1221.71, 12.5131, 27.5995, 217.504, 230.688, 827.647, 0.850012, 27.1275
17.9394, 1220.15, 12.4667, 26.9373, 217.106, 230.608, 810.148, 0.849563, 27.1072
17.5455, 1218.56, 12.4194, 26.2767, 216.697, 230.526, 792.586, 0.849102, 27.0863
17.1515, 1216.92, 12.3711, 25.618, 216.279, 230.442, 774.974, 0.848629, 27.065
16.7576, 1215.23, 12.3218, 24.9618, 215.85, 230.356, 757.326, 0.848143, 27.0431
16.3636, 1213.51, 12.2714, 24.3085, 215.41, 230.267, 739.654, 0.847645, 27.0206
15.9697, 1211.74, 12.2199, 23.6586, 214.959, 230.176, 721.969, 0.847133, 26.9975
15.5758, 1209.93, 12.1673, 23.0123, 214.496, 230.083, 704.281, 0.846608, 26.9739
15.1818, 1208.07, 12.1136, 22.3699, 214.021, 229.987, 686.6, 0.846068, 26.9495
14.7879, 1206.16, 12.0586, 21.7317, 213.533, 229.888, 668.931, 0.845513, 26.9246
14.3939, 1204.19, 12.0024, 21.0977, 213.032, 229.786, 651.279, 0.844942, 26.8989
14, 1202.17, 11.9447, 20.4681, 212.516, 229.681, 633.647, 0.844353, 26.8724
13.6061, 1200.08, 11.8856, 19.8428, 211.985, 229.573, 616.035, 0.843746, 26.8451
13.2121, 1197.93, 11.825, 19.2216, 211.437, 229.461, 598.441, 0.843118, 26.8169
12.8182, 1195.71, 11.7626, 18.6043, 210.87, 229.345, 580.859, 0.842469, 26.7878
12.4242, 1193.41, 11.6983, 17.9908, 210.283, 229.225, 563.284, 0.841796, 26.7576
12.0303, 1191.02, 11.632, 17.3805, 209.675, 229.1, 545.704, 0.841096, 26.7263
11.6364, 1188.53, 11.5633, 16.773, 209.042, 228.97, 528.107, 0.840367, 26.6936
11.2424, 1185.94, 11.4921, 16.1678, 208.381, 228.834, 510.477, 0.839605, 26.6595
10.8485, 1183.22, 11.4181, 15.5643, 207.69, 228.691, 492.796, 0.838806, 26.6238
10.4545, 1180.37, 11.3407, 14.9616, 206.964, 228.541, 475.041, 0.837965, 26.5863
10.0606, 1177.36, 11.2597, 14.3589, 206.199, 228.382, 457.189, 0.837077, 26.5467
9.66667, 1174.17, 11.1744, 13.7554, 205.388, 228.213, 439.209, 0.836134, 26.5046
9.27273, 1170.77, 11.0842, 13.1499, 204.524, 228.033, 421.069, 0.835127, 26.4598
8.87879, 1167.13, 10.9883, 12.5414, 203.598, 227.839, 402.735, 0.834045, 26.4117
8.48485, 1163.2, 10.8858, 11.9287, 202.6, 227.63, 384.164, 0.832875, 26.3597
8.09091, 1158.92, 10.7753, 11.3102, 201.515, 227.401, 365.314, 0.831601, 26.3031
7.69697, 1154.23, 10.6552, 10.6847, 200.325, 227.149, 346.134, 0.830198, 26.241
7.30303, 1149.03, 10.5237, 10.0505, 199.008, 226.869, 326.573, 0.828639, 26.172
6.90909, 1143.2, 10.3779, 9.40608, 197.531, 226.554, 306.574, 0.826885, 26.0945
6.51515, 1136.57, 10.2145, 8.7499, 195.852, 226.194, 286.083, 0.824881, 26.0062
6.12121, 1128.91, 10.0284, 8.08065, 193.913, 225.774, 265.051, 0.822555, 25.9038
5.72727, 1119.86, 9.813, 7.39764, 191.629, 225.277, 243.447, 0.819798, 25.7829
5.33333, 1108.96, 9.55875, 6.70149, 188.878, 224.672, 221.281, 0.816452, 25.6365
4.93939, 74.3374, 12.5648, 29.0912, 77.1709, 381.078, 846.803, 1.32604, 79.5982
4.54545, 68.5448, 12.3531, 26.4986, 76.3342, 381.184, 767.367, 1.3259, 79.6293
4.15152, 64.9106, 12.1181, 23.7959, 75.8184, 379.915, 686.708, 1.32762, 79.2596
3.75758, 61.8681, 11.862, 21.1639, 75.3928, 378.051, 607.565, 1.33, 78.7087
3.36364, 59.0462, 11.5801, 18.6396, 75.0055, 375.71, 530.631, 1.33273, 78.0038
2.9697, 56.2322, 11.2611, 16.2156, 74.6295, 372.84, 455.639, 1.33566, 77.1207
2.57576, 53.2102, 10.8817, 13.8556, 74.2401, 369.228, 381.499, 1.33868, 75.9796
2.18182, 49.6413, 10.3917, 11.5022, 73.8033, 364.338, 306.35, 1.34152, 74.3837
1.78788, 44.7685, 9.66081, 9.09417, 73.2483, 356.706, 227.649, 1.34291, 71.7813
1.39394, 36.1533, 8.22088, 6.80001, 72.3145, 340.749, 143.944, 1.33281, 65.9618
1, 19.9997, 5.00001, 20.0005, 68.0, 300.001, 59.9997, 1.22222, 50.0
