IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0001, 200.001, 79.9992, 500.001, 3400.01, 0.999996, 100.0
39.6061, 49.9792, 19.9174, 198.872, 80.3304, 498.881, 3390.39, 1.0033, 99.8814
39.2121, 49.9574, 19.8342, 197.72, 80.6781, 497.749, 3380.51, 1.00664, 99.7612
38.8182, 49.9352, 19.7505, 196.545, 81.0427, 496.608, 3370.37, 1.01002, 99.6395
38.4242, 49.9127, 19.6662, 195.345, 81.425, 495.457, 3359.97, 1.01344, 99.5163
38.0303, 49.8896, 19.5815, 194.12, 81.8256, 494.298, 3349.28, 1.0169, 99.3917
37.6364, 49.8661, 19.4963, 192.871, 82.2451, 493.129, 3338.3, 1.02039, 99.2657
37.2424, 49.842, 19.4108, 191.596, 82.6839, 491.953, 3327.03, 1.02392, 99.1383
36.8485, 49.8174, 19.3249, 190.294, 83.1428, 490.769, 3315.45, 1.02748, 99.0095
36.4545, 49.7921, 19.2386, 188.966, 83.6223, 489.578, 3303.55, 1.03107, 98.8793
36.0606, 49.7661, 19.1521, 187.611, 84.1228, 488.381, 3291.33, 1.03468, 98.7479
35.6667, 49.7394, 19.0654, 186.228, 84.6449, 487.179, 3278.77, 1.03832, 98.6151
35.2727, 49.712, 18.9784, 184.818, 85.1891, 485.971, 3265.86, 1.04199, 98.4811
34.8788, 49.6837, 18.8913, 183.379, 85.7557, 484.76, 3252.6, 1.04567, 98.3459
34.4848, 49.6546, 18.8041, 181.912, 86.3452, 483.545, 3238.97, 1.04938, 98.2096
34.0909, 49.6246, 18.7169, 180.416, 86.9579, 482.328, 3224.97, 1.0531, 98.0721
33.697, 49.5936, 18.6296, 178.892, 87.5942, 481.108, 3210.58, 1.05683, 97.9335
33.303, 49.5617, 18.5424, 177.338, 88.2542, 479.888, 3195.81, 1.06058, 97.7939
32.9091, 49.5288, 18.4552, 175.755, 88.9382, 478.667, 3180.62, 1.06433, 97.6534
32.5152, 49.4947, 18.3682, 174.144, 89.6463, 477.446, 3165.03, 1.06809, 97.5118
32.1212, 49.4596, 18.2813, 172.503, 90.3788, 476.226, 3149.02, 1.07186, 97.3694
31.7273, 49.4234, 18.1946, 170.833, 91.1356, 475.007, 3132.58, 1.07562, 97.2261
31.3333, 49.3859, 18.1082, 169.134, 91.9169, 473.791, 3115.7, 1.07939, 97.082
30.9394, 49.3473, 18.022, 167.406, 92.7226, 472.577, 3098.37, 1.08315, 96.9371
30.5455, 49.3075, 17.9361, 165.649, 93.5528, 471.367, 3080.59, 1.0869, 96.7915
30.1515, 49.2663, 17.8506, 163.864, 94.4073, 470.16, 3062.34, 1.09065, 96.6451
29.7576, 49.2239, 17.7653, 162.051, 95.2863, 468.958, 3043.62, 1.09438, 96.498
29.3636, 49.1802, 17.6804, 160.209, 96.1895, 467.76, 3024.41, 1.09811, 96.3502
28.9697, 49.1351, 17.5959, 158.339, 97.1169, 466.567, 3004.72, 1.10182, 96.2018
28.5758, 49.0886, 17.5118, 156.442, 98.0684, 465.378, 2984.52, 1.10553, 96.0527
28.1818, 49.0408, 17.4281, 154.518, 99.0439, 464.195, 2963.8, 1.10921, 95.9029
27.7879, 48.9915, 17.3447, 152.566, 100.043, 463.017, 2942.57, 1.11288, 95.7524
27.3939, 48.9407, 17.2617, 150.588, 101.067, 461.845, 2920.8, 1.11654, 95.6013
27, 48.8885, 17.1791, 148.583, 102.114, 460.678, 2898.49, 1.12018, 95.4495
26.6061, 48.8348, 17.0969, 146.551, 103.185, 459.516, 2875.61, 1.1238, 95.2969
26.2121, 48.7795, 17.015, 144.494, 104.28, 458.359, 2852.17, 1.1274, 95.1435
25.8182, 48.7226, 16.9334, 142.41, 105.399, 457.207, 2828.15, 1.13099, 94.9893
25.4242, 48.6641, 16.8521, 140.301, 106.541, 456.06, 2803.53, 1.13456, 94.8342
25.0303, 48.604, 16.7711, 138.166, 107.708, 454.917, 2778.3, 1.13811, 94.6782
24.6364, 48.5421, 16.6904, 136.006, 108.899, 453.778, 2752.44, 1.14165, 94.5212
24.2424, 48.4785, 16.6098, 133.82, 110.115, 452.643, 2725.94, 1.14518, 94.3632
23.8485, 48.4131, 16.5295, 131.609, 111.355, 451.51, 2698.77, 1.14869, 94.2039
23.4545, 48.3458, 16.4492, 129.373, 112.621, 450.381, 2670.92, 1.15218, 94.0434
23.0606, 48.2766, 16.3691, 127.111, 113.912, 449.253, 2642.37, 1.15567, 93.8815
22.6667, 48.2055, 16.289, 124.825, 115.229, 448.127, 2613.1, 1.15915, 93.7181
22.2727, 48.1322, 16.2089, 122.513, 116.572, 447.002, 2583.08, 1.16261, 93.5531
21.8788, 48.0568, 16.1287, 120.176, 117.943, 445.877, 2552.29, 1.16607, 93.3864
21.4848, 47.9792, 16.0483, 117.814, 119.342, 444.751, 2520.7, 1.16952, 93.2177
21.0909, 47.8992, 15.9678, 115.427, 120.769, 443.624, 2488.29, 1.17297, 93.047
20.697, 47.8168, 15.8871, 113.014, 122.226, 442.494, 2455.03, 1.17642, 92.874
20.303, 47.7318, 15.806, 110.576, 123.713, 441.361, 2420.88, 1.17987, 92.6985
19.9091, 47.6441, 15.7244, 108.113, 125.233, 440.224, 2385.81, 1.18332, 92.5204
19.5152, 47.5535, 15.6424, 105.624, 126.785, 439.081, 2349.79, 1.18678, 92.3394
19.1212, 47.4599, 15.5598, 103.11, 128.371, 437.931, 2312.77, 1.19024, 92.1552
18.7273, 47.363, 15.4766, 100.572, 129.993, 436.774, 2274.72, 1.19371, 91.9675
18.3333, 47.2628, 15.3925, 98.0091, 131.652, 435.607, 2235.6, 1.1972, 91.7761
17.9394, 47.1589, 15.3075, 95.4228, 133.351, 434.43, 2195.35, 1.20071, 91.5806
17.5455, 47.0511, 15.2215, 92.8143, 135.09, 433.241, 2153.94, 1.20423, 91.3806
17.1515, 46.9391, 15.1344, 90.1853, 136.872, 432.037, 2111.29, 1.20778, 91.1757
16.7576, 46.8226, 15.046, 87.5385, 138.7, 430.818, 2067.37, 1.21135, 90.9655
16.3636, 46.7012, 14.956, 84.8776, 140.575, 429.581, 2022.1, 1.21496, 90.7494
15.9697, 46.5746, 14.8645, 82.2074, 142.501, 428.323, 1975.42, 1.2186, 90.5268
15.5758, 46.4423, 14.7711, 79.5346, 144.48, 427.043, 1927.25, 1.22229, 90.2972
15.1818, 46.3037, 14.6757, 76.8678, 146.516, 425.737, 1877.54, 1.22602, 90.0597
14.7879, 46.1584, 14.5779, 74.2179, 148.612, 424.403, 1826.18, 1.2298, 89.8135
14.3939, 46.0055, 14.4777, 71.5979, 150.772, 423.037, 1773.1, 1.23364, 89.5578
14, 45.8444, 14.3745, 69.0224, 152.999, 421.635, 1718.21, 1.23755, 89.2914
13.6061, 45.6743, 14.2681, 66.5071, 155.297, 420.193, 1661.42, 1.24153, 89.0132
13.2121, 45.4941, 14.1582, 64.0668, 157.671, 418.706, 1602.65, 1.24558, 88.7218
12.8182, 45.3027, 14.0443, 61.7145, 160.124, 417.169, 1541.83, 1.24973, 88.4156
12.4242, 45.0989, 13.926, 59.4596, 162.659, 415.578, 1478.93, 1.25396, 88.093
12.0303, 44.8813, 13.8028, 57.3072, 165.278, 413.925, 1413.92, 1.2583, 87.7521
11.6364, 44.6485, 13.6742, 55.2585, 167.982, 412.205, 1346.87, 1.26274, 87.391
11.2424, 44.399, 13.5398, 53.3113, 170.766, 410.414, 1277.92, 1.26728, 87.0075
10.8485, 44.1313, 13.3993, 51.4616, 173.623, 408.547, 1207.33, 1.27193, 86.5999
10.4545, 43.8445, 13.2526, 49.7053, 176.535, 406.604, 1135.54, 1.27665, 86.1669
10.0606, 43.5381, 13.0998, 48.0393, 179.476, 404.588, 1063.22, 1.28144, 85.7082
9.66667, 43.2129, 12.9417, 46.4628, 182.41, 402.509, 991.222, 1.28624, 85.2247
9.27273, 42.8706, 12.7794, 44.9766, 185.289, 400.383, 920.605, 1.291, 84.7193
8.87879, 42.5139, 12.6143, 43.582, 188.062, 398.229, 852.434, 1.29566, 84.1959
8.48485, 42.1462, 12.4481, 42.2783, 190.683, 396.068, 787.606, 1.30017, 83.6588
8.09091, 41.7699, 12.2819, 41.0613, 193.117, 393.915, 726.687, 1.30448, 83.1116
7.69697, 41.3864, 12.116, 39.9225, 195.343, 391.773, 669.85, 1.30859, 82.5557
7.30303, 40.995, 11.95, 38.85, 197.353, 389.639, 616.93, 1.3125, 81.9899
6.90909, 40.5931, 11.783, 37.83, 199.147, 387.497, 567.534, 1.31621, 81.4101
6.51515, 40.1766, 11.613, 36.8473, 200.723, 385.324, 521.153, 1.31977, 80.8098
6.12121, 39.7389, 11.4377, 35.8864, 202.074, 383.09, 477.244, 1.3232, 80.1794
