IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0064, 20.0026, 199.995, 79.9988, 499.992, 3399.99, 1.00002, 100.01
39.6061, 50.2284, 20.1328, 198.77, 79.9091, 503.45, 3387.08, 0.989899, 100.105
39.2121, 50.4172, 20.2518, 197.575, 79.827, 507.232, 3373.79, 0.978937, 100.125
38.8182, 50.5972, 20.3683, 196.388, 79.748, 511.252, 3360.14, 0.967419, 100.11
38.4242, 50.8086, 20.4977, 195.169, 79.6656, 515.416, 3346.07, 0.955642, 100.12
38.0303, 51.0966, 20.658, 193.876, 79.5733, 519.628, 3331.52, 0.943891, 100.22
37.6364, 51.4973, 20.8627, 192.478, 79.4671, 523.761, 3316.48, 0.932522, 100.463
37.2424, 52.0315, 21.1189, 190.958, 79.3461, 527.691, 3300.99, 0.921863, 100.88
36.8485, 52.7005, 21.425, 189.316, 79.2129, 531.295, 3285.15, 0.912219, 101.469
36.4545, 53.4855, 21.7707, 187.573, 79.0727, 534.46, 3269.14, 0.903856, 102.203
36.0606, 54.3633, 22.1438, 185.752, 78.9302, 537.118, 3253.11, 0.896911, 103.045
35.6667, 55.3006, 22.5286, 183.887, 78.7906, 539.222, 3237.25, 0.891459, 103.951
35.2727, 56.2722, 22.9134, 182.0, 78.6565, 540.773, 3221.65, 0.887472, 104.887
34.8788, 57.2512, 23.2866, 180.115, 78.5303, 541.783, 3206.4, 0.884885, 105.82
34.4848, 58.2178, 23.6404, 178.248, 78.4129, 542.286, 3191.54, 0.883602, 106.73
34.0909, 59.1541, 23.9686, 176.413, 78.3047, 542.321, 3177.1, 0.883514, 107.602
33.697, 60.047, 24.2676, 174.615, 78.2055, 541.928, 3163.07, 0.884513, 108.428
33.303, 60.8867, 24.5354, 172.859, 78.1148, 541.149, 3149.44, 0.886505, 109.202
32.9091, 61.6644, 24.7709, 171.146, 78.0321, 540.019, 3136.18, 0.889403, 109.923
