IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0001, 200.002, 79.9992, 500.001, 3400.01, 0.999996, 100.0
39.6061, 49.9792, 19.9174, 198.874, 80.3304, 498.881, 3390.39, 1.0033, 99.8814
39.2121, 49.9574, 19.8342, 197.722, 80.6781, 497.749, 3380.51, 1.00664, 99.7612
38.8182, 49.9352, 19.7505, 196.547, 81.0427, 496.608, 3370.37, 1.01002, 99.6395
38.4242, 49.9127, 19.6662, 195.348, 81.425, 495.457, 3359.96, 1.01344, 99.5163
38.0303, 49.8896, 19.5815, 194.125, 81.8256, 494.298, 3349.27, 1.0169, 99.3917
37.6364, 49.8661, 19.4963, 192.876, 82.2451, 493.129, 3338.3, 1.02039, 99.2657
37.2424, 49.842, 19.4108, 191.602, 82.6839, 491.953, 3327.02, 1.02392, 99.1383
36.8485, 49.8174, 19.3249, 190.301, 83.1428, 490.769, 3315.44, 1.02748, 99.0095
36.4545, 49.7921, 19.2386, 188.974, 83.6223, 489.578, 3303.54, 1.03107, 98.8793
36.0606, 49.7661, 19.1521, 187.62, 84.1228, 488.381, 3291.32, 1.03468, 98.7479
35.6667, 49.7394, 19.0654, 186.238, 84.6449, 487.179, 3278.76, 1.03832, 98.6151
35.2727, 49.712, 18.9784, 184.829, 85.1891, 485.971, 3265.85, 1.04199, 98.4811
34.8788, 49.6837, 18.8913, 183.391, 85.7557, 484.76, 3252.59, 1.04567, 98.3459
34.4848, 49.6546, 18.8041, 181.925, 86.3452, 483.545, 3238.96, 1.04938, 98.2096
34.0909, 49.6246, 18.7169, 180.431, 86.9579, 482.328, 3224.95, 1.0531, 98.0721
33.697, 49.5936, 18.6296, 178.908, 87.5942, 481.108, 3210.57, 1.05683, 97.9335
33.303, 49.5617, 18.5424, 177.356, 88.2542, 479.888, 3195.79, 1.06058, 97.7939
32.9091, 49.5288, 18.4552, 175.775, 88.9382, 478.667, 3180.61, 1.06433, 97.6534
32.5152, 49.4947, 18.3682, 174.164, 89.6463, 477.446, 3165.01, 1.06809, 97.5118
32.1212, 49.4596, 18.2813, 172.525, 90.3788, 476.226, 3149.0, 1.07186, 97.3694
31.7273, 49.4234, 18.1946, 170.857, 91.1356, 475.007, 3132.55, 1.07562, 97.2261
31.3333, 49.3859, 18.1082, 169.16, 91.9169, 473.791, 3115.67, 1.07939, 97.082
30.9394, 49.3473, 18.022, 167.435, 92.7226, 472.577, 3098.34, 1.08315, 96.9371
30.5455, 49.3075, 17.9361, 165.68, 93.5528, 471.367, 3080.56, 1.0869, 96.7915
30.1515, 49.2663, 17.8506, 163.898, 94.4073, 470.16, 3062.31, 1.09065, 96.6451
29.7576, 49.2239, 17.7653, 162.087, 95.2863, 468.958, 3043.58, 1.09438, 96.498
29.3636, 49.1802, 17.6804, 160.248, 96.1895, 467.76, 3024.37, 1.09811, 96.3502
28.9697, 49.1351, 17.5959, 158.382, 97.1169, 466.567, 3004.67, 1.10182, 96.2018
28.5758, 49.0886, 17.5118, 156.488, 98.0684, 465.378, 2984.47, 1.10553, 96.0527
28.1818, 49.0408, 17.4281, 154.568, 99.0439, 464.195, 2963.75, 1.10921, 95.9029
27.7879, 48.9915, 17.3447, 152.62, 100.043, 463.017, 2942.51, 1.11288, 95.7524
27.3939, 48.9407, 17.2617, 150.646, 101.067, 461.845, 2920.74, 1.11654, 95.6013
27, 48.8885, 17.1791, 148.645, 102.114, 460.678, 2898.42, 1.12018, 95.4495
26.6061, 48.8348, 17.0969, 146.619, 103.185, 459.516, 2875.55, 1.1238, 95.2969
26.2121, 48.7795, 17.015, 144.567, 104.28, 458.359, 2852.1, 1.1274, 95.1435
25.8182, 48.7226, 16.9334, 142.49, 105.399, 457.207, 2828.07, 1.13099, 94.9893
25.4242, 48.6641, 16.8521, 140.387, 106.541, 456.06, 2803.45, 1.13456, 94.8342
25.0303, 48.604, 16.7711, 138.259, 107.708, 454.917, 2778.21, 1.13811, 94.6782
24.6364, 48.5421, 16.6904, 136.107, 108.899, 453.778, 2752.34, 1.14165, 94.5212
24.2424, 48.4785, 16.6098, 133.93, 110.115, 452.643, 2725.83, 1.14518, 94.3632
23.8485, 48.4131, 16.5295, 131.729, 111.355, 451.51, 2698.65, 1.14869, 94.2039
23.4545, 48.3458, 16.4492, 129.503, 112.621, 450.381, 2670.79, 1.15218, 94.0434
23.0606, 48.2766, 16.3691, 127.253, 113.912, 449.253, 2642.23, 1.15567, 93.8815
22.6667, 48.2055, 16.289, 124.98, 115.229, 448.127, 2612.95, 1.15915, 93.7181
22.2727, 48.1322, 16.2089, 122.682, 116.572, 447.002, 2582.91, 1.16261, 93.5531
21.8788, 48.0568, 16.1287, 120.361, 117.943, 445.877, 2552.11, 1.16607, 93.3864
21.4848, 47.9792, 16.0483, 118.016, 119.342, 444.751, 2520.5, 1.16952, 93.2177
21.0909, 47.8992, 15.9678, 115.648, 120.769, 443.624, 2488.07, 1.17297, 93.047
20.697, 47.8168, 15.8871, 113.256, 122.226, 442.494, 2454.79, 1.17642, 92.874
20.303, 47.7318, 15.806, 110.842, 123.713, 441.361, 2420.61, 1.17987, 92.6985
19.9091, 47.6441, 15.7244, 108.404, 125.233, 440.224, 2385.52, 1.18332, 92.5204
19.5152, 47.5535, 15.6424, 105.944, 126.785, 439.081, 2349.47, 1.18678, 92.3394
19.1212, 47.4599, 15.5598, 103.461, 128.371, 437.931, 2312.42, 1.19024, 92.1552
18.7273, 47.363, 15.4766, 100.957, 129.993, 436.774, 2274.34, 1.19371, 91.9675
18.3333, 47.2628, 15.3925, 98.431, 131.652, 435.607, 2235.18, 1.1972, 91.7761
17.9394, 47.1589, 15.3075, 95.8843, 133.351, 434.43, 2194.89, 1.20071, 91.5806
17.5455, 47.0511, 15.2215, 93.3177, 135.09, 433.241, 2153.43, 1.20423, 91.3806
17.1515, 46.9391, 15.1344, 90.7323, 136.872, 432.037, 2110.75, 1.20778, 91.1757
16.7576, 46.8226, 15.046, 88.1295, 138.7, 430.818, 2066.78, 1.21135, 90.9655
16.3636, 46.7012, 14.956, 85.511, 140.575, 429.581, 2021.46, 1.21496, 90.7494
15.9697, 46.5746, 14.8645, 82.8792, 142.501, 428.323, 1974.75, 1.2186, 90.5268
