IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0007, 20.0002, 200.001, 79.9989, 500.002, 3400.01, 0.999993, 100.0
39.6061, 49.9685, 19.8767, 198.831, 80.4988, 498.327, 3390.03, 1.00493, 99.8226
39.2121, 49.9348, 19.7489, 197.618, 81.0495, 496.587, 3379.63, 1.01008, 99.6373
38.8182, 49.8992, 19.6165, 196.359, 81.6582, 494.777, 3368.77, 1.01547, 99.4432
38.4242, 49.8612, 19.4787, 195.049, 82.334, 492.887, 3357.39, 1.02112, 99.2395
38.0303, 49.8203, 19.335, 193.68, 83.0878, 490.908, 3345.42, 1.02706, 99.0247
37.6364, 49.7759, 19.1844, 192.245, 83.9335, 488.828, 3332.78, 1.03333, 98.7971
37.2424, 49.7271, 19.0259, 190.732, 84.889, 486.632, 3319.35, 1.03998, 98.5545
36.8485, 49.6727, 18.8581, 189.128, 85.9777, 484.297, 3305.0, 1.04708, 98.2941
36.4545, 49.6113, 18.679, 187.413, 87.2313, 481.798, 3289.54, 1.05472, 98.0121
36.0606, 49.5405, 18.4859, 185.562, 88.6947, 479.096, 3272.69, 1.06301, 97.7029
35.6667, 49.4569, 18.2748, 183.536, 90.4348, 476.134, 3254.05, 1.07214, 97.3587
35.2727, 49.3552, 18.0393, 181.271, 92.5588, 472.821, 3232.98, 1.08239, 96.9663
34.8788, 49.2253, 17.768, 178.656, 95.2585, 468.995, 3208.35, 1.09427, 96.5026
34.4848, 49.0455, 17.4362, 175.451, 98.9474, 464.311, 3177.69, 1.10885, 95.9176
34.0909, 48.7445, 16.9645, 170.878, 104.969, 457.646, 3133.02, 1.12962, 95.0482
33.697, 41.226, 12.0476, 121.233, 196.198, 390.893, 2566.27, 1.31023, 82.3237
33.303, 40.8805, 11.9021, 119.632, 197.892, 389.024, 2545.05, 1.31358, 81.8246
32.9091, 40.5667, 11.7721, 118.184, 199.256, 387.357, 2525.68, 1.31645, 81.3719
32.5152, 40.2763, 11.6534, 116.847, 200.372, 385.84, 2507.63, 1.31895, 80.9534
32.1212, 40.0041, 11.5435, 115.594, 201.293, 384.438, 2490.58, 1.32116, 80.5613
31.7273, 39.7464, 11.4407, 114.408, 202.053, 383.128, 2474.3, 1.32315, 80.1903
31.3333, 39.5008, 11.3436, 113.273, 202.679, 381.893, 2458.62, 1.32494, 79.8367
30.9394, 39.2653, 11.2513, 112.181, 203.19, 380.722, 2443.42, 1.32657, 79.4975
30.5455, 39.0384, 11.1632, 111.123, 203.6, 379.605, 2428.59, 1.32806, 79.1706
30.1515, 38.8189, 11.0786, 110.094, 203.921, 378.535, 2414.06, 1.32943, 78.8543
29.7576, 38.6061, 10.9972, 109.088, 204.162, 377.505, 2399.76, 1.33069, 78.5474
