IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 50.0006, 20.0, 200.001, 80.0, 500.001, 3400.01, 0.999998, 100.0
39.6061, 49.9845, 19.938, 199.154, 79.9344, 499.159, 3392.8, 1.00248, 99.911
39.2121, 49.9683, 19.8756, 198.295, 79.8684, 498.312, 3385.45, 1.00498, 99.8211
38.8182, 49.9518, 19.813, 197.424, 79.802, 497.46, 3377.96, 1.0075, 99.7304
38.4242, 49.9351, 19.7501, 196.539, 79.7352, 496.603, 3370.33, 1.01004, 99.6389
38.0303, 49.9182, 19.687, 195.642, 79.668, 495.741, 3362.55, 1.0126, 99.5467
37.6364, 49.9011, 19.6236, 194.731, 79.6004, 494.874, 3354.61, 1.01518, 99.4537
37.2424, 49.8837, 19.56, 193.806, 79.5325, 494.002, 3346.52, 1.01778, 99.3599
36.8485, 49.866, 19.4961, 192.867, 79.4642, 493.126, 3338.27, 1.0204, 99.2653
36.4545, 49.848, 19.432, 191.914, 79.3955, 492.245, 3329.86, 1.02304, 99.17
36.0606, 49.8297, 19.3678, 190.947, 79.3265, 491.36, 3321.27, 1.0257, 99.0739
35.6667, 49.8111, 19.3033, 189.964, 79.2572, 490.471, 3312.5, 1.02837, 98.977
35.2727, 49.7921, 19.2387, 188.966, 79.1876, 489.578, 3303.55, 1.03106, 98.8794
34.8788, 49.7727, 19.1738, 187.953, 79.1177, 488.682, 3294.42, 1.03377, 98.7809
34.4848, 49.7529, 19.1088, 186.924, 79.0476, 487.781, 3285.1, 1.0365, 98.6817
34.0909, 49.7326, 19.0436, 185.878, 78.9771, 486.877, 3275.57, 1.03924, 98.5817
33.697, 49.7119, 18.9783, 184.816, 78.9064, 485.97, 3265.84, 1.04199, 98.481
33.303, 49.6908, 18.9128, 183.737, 78.8355, 485.059, 3255.91, 1.04476, 98.3794
32.9091, 49.6691, 18.8472, 182.641, 78.7644, 484.146, 3245.75, 1.04755, 98.2771
32.5152, 49.6469, 18.7815, 181.526, 78.693, 483.229, 3235.37, 1.05034, 98.174
32.1212, 49.6242, 18.7156, 180.394, 78.6214, 482.31, 3224.76, 1.05315, 98.0701
31.7273, 49.6008, 18.6496, 179.244, 78.5497, 481.388, 3213.92, 1.05598, 97.9654
31.3333, 49.5769, 18.5835, 178.075, 78.4778, 480.463, 3202.83, 1.05881, 97.8599
30.9394, 49.5523, 18.5173, 176.886, 78.4057, 479.537, 3191.48, 1.06166, 97.7536
30.5455, 49.5271, 18.451, 175.678, 78.3335, 478.607, 3179.88, 1.06452, 97.6465
30.1515, 49.5012, 18.3846, 174.45, 78.2611, 477.676, 3168.01, 1.06738, 97.5386
29.7576, 49.4746, 18.3181, 173.202, 78.1887, 476.743, 3155.86, 1.07026, 97.4299
