IRON,MP,FC,F2,CIA,FS,F3,O2,FM
40, 49.9964, 20.0002, 200.003, 79.9972, 500.007, 3400.02, 0.999981, 100.001
39.6061, 50.6089, 19.9011, 198.647, 80.6418, 498.123, 3388.46, 1.00554, 99.8009
39.2121, 51.2755, 19.7989, 197.227, 81.3625, 496.15, 3376.26, 1.01138, 99.5904
38.8182, 52.0087, 19.6932, 195.73, 82.1756, 494.071, 3363.32, 1.01757, 99.3672
38.4242, 52.8273, 19.583, 194.142, 83.1048, 491.859, 3349.47, 1.0242, 99.1279
38.0303, 53.7615, 19.467, 192.436, 84.1866, 489.471, 3334.47, 1.03139, 98.8673
37.6364, 54.8664, 19.3429, 190.569, 85.4855, 486.828, 3317.9, 1.03938, 98.5759
37.2424, 56.2651, 19.2051, 188.443, 87.1413, 483.757, 3298.85, 1.04873, 98.2329
36.8485, 58.3958, 19.0343, 185.727, 89.6352, 479.638, 3274.2, 1.06134, 97.7641
36.4545, 92.1745, 17.1691, 148.85, 137.367, 432.717, 2954.68, 1.20573, 88.9408
36.0606, 1331.2, 16.2499, 123.699, 61.7489, 236.085, 2598.54, 0.880569, 28.5326
35.6667, 1330.54, 16.2241, 122.956, 61.6865, 236.054, 2588.86, 0.880391, 28.5243
35.2727, 1329.87, 16.1981, 122.202, 61.6233, 236.022, 2579.01, 0.88021, 28.5158
34.8788, 1329.2, 16.1719, 121.438, 61.5593, 235.99, 2568.97, 0.880028, 28.5073
34.4848, 1328.51, 16.1453, 120.663, 61.4947, 235.958, 2558.74, 0.879842, 28.4986
34.0909, 1327.82, 16.1185, 119.878, 61.4292, 235.925, 2548.32, 0.879655, 28.4898
33.697, 1327.12, 16.0913, 119.081, 61.363, 235.891, 2537.7, 0.879465, 28.481
33.303, 1326.41, 16.0639, 118.273, 61.2959, 235.857, 2526.88, 0.879272, 28.472
32.9091, 1325.69, 16.0362, 117.454, 61.228, 235.823, 2515.84, 0.879077, 28.4628
32.5152, 1324.96, 16.0081, 116.623, 61.1593, 235.788, 2504.59, 0.878879, 28.4536
32.1212, 1324.22, 15.9797, 115.78, 61.0897, 235.753, 2493.12, 0.878678, 28.4442
