kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0, 200.002, 79.9994, 500.001, 3400.01, 0.999998, 100.0
6.6054, 51.852, 19.9801, 199.694, 80.4946, 499.523, 3414.65, 1.0014, 100.973
6.5448, 53.8516, 19.955, 199.388, 81.0785, 498.842, 3428.84, 1.00341, 101.952
6.4842, 56.0115, 19.9238, 199.081, 81.766, 497.933, 3442.48, 1.0061, 102.935
6.4236, 58.3438, 19.8852, 198.759, 82.5766, 496.769, 3455.47, 1.00954, 103.917
6.363, 60.8599, 19.8378, 198.397, 83.5358, 495.32, 3467.66, 1.01385, 104.895
6.3024, 63.5699, 19.7794, 197.963, 84.677, 493.549, 3478.87, 1.01913, 105.864
6.2418, 66.4808, 19.7074, 197.417, 86.0455, 491.414, 3488.83, 1.02553, 106.816
6.1812, 69.5945, 19.618, 196.707, 87.7027, 488.863, 3497.21, 1.03321, 107.744
6.1206, 72.9037, 19.5064, 195.772, 89.7349, 485.835, 3503.5, 1.04239, 108.636
6.06, 76.3866, 19.3653, 194.531, 92.2655, 482.25, 3506.96, 1.05332, 109.475
5.9994, 79.9962, 19.1844, 192.873, 95.477, 478.007, 3506.51, 1.06634, 110.24
5.9388, 83.6432, 18.9484, 190.633, 99.6508, 472.965, 3500.46, 1.08192, 110.896
5.8782, 87.1626, 18.6331, 187.552, 105.241, 466.916, 3486.07, 1.10071, 111.393
5.8176, 90.2509, 18.1991, 183.203, 113.022, 459.537, 3458.62, 1.1237, 111.639
5.757, 92.3482, 17.5821, 176.874, 124.354, 450.321, 3409.82, 1.15233, 111.477
5.6964, 92.6072, 16.7109, 167.728, 141.086, 438.805, 3328.23, 1.18757, 110.682
5.6358, 91.2151, 15.7227, 157.122, 161.487, 426.683, 3224.3, 1.22328, 109.421
5.5752, 90.3975, 14.9711, 148.942, 178.48, 417.461, 3141.72, 1.2489, 108.526
5.5146, 90.7655, 14.4653, 143.428, 190.975, 410.955, 3087.43, 1.26588, 108.159
5.454, 91.9387, 14.1014, 139.489, 200.694, 405.978, 3050.83, 1.27811, 108.128
