kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0, 200.002, 79.9994, 500.001, 3400.01, 0.999998, 100.0
6.6054, 51.8589, 19.9992, 199.759, 80.4188, 499.781, 3414.74, 1.00064, 101.001
6.5448, 53.8701, 19.9942, 199.496, 80.92, 499.369, 3429.08, 1.00186, 102.01
6.4842, 56.0478, 19.9846, 199.216, 81.5145, 498.745, 3442.93, 1.0037, 103.025
6.4236, 58.4061, 19.9695, 198.915, 82.217, 497.887, 3456.2, 1.00623, 104.044
6.363, 60.9593, 19.9482, 198.58, 83.0461, 496.774, 3468.78, 1.00953, 105.063
6.3024, 63.7217, 19.9196, 198.188, 84.0255, 495.377, 3480.53, 1.01367, 106.08
6.2418, 66.7065, 19.8824, 197.71, 85.1858, 493.67, 3491.25, 1.01876, 107.09
6.1812, 69.9247, 19.8349, 197.109, 86.5665, 491.622, 3500.72, 1.0249, 108.088
6.1206, 73.3843, 19.775, 196.342, 88.2184, 489.201, 3508.61, 1.03219, 109.067
6.06, 77.0873, 19.7001, 195.361, 90.2076, 486.372, 3514.52, 1.04075, 110.021
5.9994, 81.0276, 19.6072, 194.106, 92.6191, 483.104, 3517.89, 1.0507, 110.941
5.9388, 85.1877, 19.4927, 192.509, 95.5607, 479.369, 3518.02, 1.06215, 111.816
5.8782, 89.5352, 19.3527, 190.487, 99.1657, 475.147, 3514.01, 1.07516, 112.637
5.8176, 94.021, 19.1836, 187.95, 103.59, 470.44, 3504.82, 1.08975, 113.392
5.757, 98.5813, 18.9831, 184.806, 108.995, 465.278, 3489.29, 1.1058, 114.073
5.6964, 103.146, 18.7517, 180.991, 115.521, 459.737, 3466.39, 1.12307, 114.675
5.6358, 107.658, 18.4941, 176.495, 123.232, 453.94, 3435.49, 1.1411, 115.203
5.5752, 112.088, 18.2194, 171.39, 132.08, 448.045, 3396.71, 1.15935, 115.67
5.5146, 116.447, 17.9389, 165.823, 141.896, 442.21, 3350.99, 1.17723, 116.096
5.454, 120.775, 17.6633, 159.983, 152.43, 436.558, 3299.86, 1.1943, 116.501
5.3934, 125.125, 17.4006, 154.057, 163.417, 431.164, 3245.07, 1.21027, 116.903
5.3328, 129.548, 17.1552, 148.196, 174.619, 426.054, 3188.24, 1.22504, 117.313
5.2722, 134.086, 16.9289, 142.513, 185.845, 421.226, 3130.73, 1.2386, 117.738
5.2116, 138.772, 16.7218, 137.083, 196.946, 416.661, 3073.65, 1.251, 118.181
5.151, 143.631, 16.533, 131.953, 207.811, 412.332, 3017.84, 1.26232, 118.643
5.0904, 148.683, 16.3613, 127.148, 218.354, 408.215, 2963.97, 1.27264, 119.124
5.0298, 153.945, 16.2054, 122.681, 228.511, 404.282, 2912.58, 1.28204, 119.622
4.9692, 159.432, 16.0641, 118.556, 238.231, 400.513, 2864.08, 1.2906, 120.136
4.9086, 165.157, 15.9363, 114.769, 247.475, 396.888, 2818.79, 1.29836, 120.665
4.848, 171.133, 15.8209, 111.314, 256.213, 393.389, 2776.98, 1.30538, 121.208
4.7874, 177.375, 15.7171, 108.182, 264.42, 390.003, 2738.86, 1.3117, 121.764
4.7268, 183.895, 15.6241, 105.362, 272.078, 386.716, 2704.59, 1.31737, 122.332
4.6662, 190.707, 15.5413, 102.843, 279.172, 383.517, 2674.3, 1.32241, 122.91
4.6056, 197.827, 15.4681, 100.614, 285.691, 380.398, 2648.09, 1.32685, 123.499
4.545, 205.269, 15.4042, 98.6647, 291.626, 377.349, 2626.03, 1.3307, 124.097
