kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9964, 20.0002, 200.006, 79.9972, 500.006, 3400.02, 0.999981, 100.001
6.6054, 53.5431, 19.9524, 198.698, 81.2628, 497.714, 3409.71, 1.00674, 100.778
6.5448, 1432.54, 19.7031, 1828.36, 70.0063, 239.393, 1761.05, 0.899421, 29.8184
6.4842, 1441.95, 19.6104, 1807.4, 70.0273, 239.119, 1783.62, 0.897843, 29.9444
6.4236, 1451.5, 19.5181, 1785.57, 70.0489, 238.842, 1806.8, 0.896249, 30.0729
6.363, 1461.2, 19.4259, 1762.82, 70.0712, 238.563, 1830.63, 0.894637, 30.204
6.3024, 1471.07, 19.3341, 1739.12, 70.0941, 238.28, 1855.14, 0.893007, 30.3377
6.2418, 1481.09, 19.2425, 1714.42, 70.1177, 237.994, 1880.36, 0.89136, 30.4741
6.1812, 1491.27, 19.1512, 1688.66, 70.1421, 237.704, 1906.32, 0.889694, 30.6134
6.1206, 1501.63, 19.0603, 1661.82, 70.1673, 237.412, 1933.05, 0.88801, 30.7555
6.06, 1512.17, 18.9696, 1633.83, 70.1934, 237.116, 1960.59, 0.886307, 30.9007
5.9994, 1522.88, 18.8793, 1604.65, 70.2204, 236.816, 1988.96, 0.884585, 31.0489
5.9388, 1533.78, 18.7893, 1574.24, 70.2483, 236.513, 2018.2, 0.882844, 31.2004
5.8782, 1544.87, 18.6998, 1542.54, 70.2773, 236.206, 2048.34, 0.881083, 31.3552
5.8176, 1556.16, 18.6106, 1509.51, 70.3074, 235.896, 2079.41, 0.879303, 31.5133
5.757, 1567.66, 18.5218, 1475.12, 70.3387, 235.582, 2111.44, 0.877502, 31.6751
5.6964, 1579.37, 18.4334, 1439.32, 70.3712, 235.265, 2144.44, 0.875681, 31.8405
5.6358, 1591.3, 18.3456, 1402.08, 70.405, 234.943, 2178.44, 0.87384, 32.0097
5.5752, 1603.45, 18.2582, 1363.39, 70.4403, 234.618, 2213.44, 0.871977, 32.1828
5.5146, 1615.83, 18.1713, 1323.22, 70.477, 234.289, 2249.46, 0.870093, 32.3601
5.454, 1628.46, 18.085, 1281.57, 70.5154, 233.956, 2286.46, 0.868187, 32.5415
5.3934, 1641.34, 17.9992, 1238.47, 70.5554, 233.618, 2324.44, 0.86626, 32.7274
5.3328, 1654.48, 17.9141, 1193.94, 70.5973, 233.277, 2363.34, 0.86431, 32.9178
5.2722, 1667.89, 17.8296, 1148.04, 70.6411, 232.931, 2403.11, 0.862338, 33.113
5.2116, 1681.57, 17.7457, 1100.87, 70.687, 232.582, 2443.65, 0.860343, 33.3131
5.151, 1695.55, 17.6626, 1052.55, 70.735, 232.228, 2484.84, 0.858325, 33.5183
5.0904, 1709.82, 17.5803, 1003.22, 70.7854, 231.869, 2526.53, 0.856284, 33.7289
5.0298, 1724.41, 17.4988, 953.088, 70.8383, 231.506, 2568.52, 0.854218, 33.945
4.9692, 1739.33, 17.4182, 902.399, 70.8939, 231.138, 2610.57, 0.852129, 34.1669
4.9086, 1754.58, 17.3384, 851.439, 70.9523, 230.766, 2652.41, 0.850015, 34.3948
4.848, 1770.18, 17.2597, 800.534, 71.0137, 230.389, 2693.74, 0.847877, 34.629
4.7874, 1786.15, 17.1819, 750.047, 71.0783, 230.008, 2734.2, 0.845713, 34.8697
4.7268, 1802.5, 17.1053, 700.367, 71.1463, 229.621, 2773.45, 0.843524, 35.1173
4.6662, 1819.25, 17.0298, 651.887, 71.2179, 229.229, 2811.1, 0.841309, 35.372
4.6056, 1836.41, 16.9555, 604.993, 71.2935, 228.833, 2846.82, 0.839067, 35.6342
4.545, 1854.0, 16.8825, 560.039, 71.3731, 228.431, 2880.29, 0.836799, 35.9042
4.4844, 1872.05, 16.8108, 517.331, 71.457, 228.024, 2911.25, 0.834504, 36.1824
4.4238, 1890.58, 16.7405, 477.109, 71.5455, 227.612, 2939.52, 0.832182, 36.4692
4.3632, 1909.59, 16.6718, 439.539, 71.6389, 227.194, 2964.98, 0.829831, 36.7649
4.3026, 1929.12, 16.6046, 404.715, 71.7374, 226.77, 2987.6, 0.827452, 37.07
4.242, 1949.2, 16.539, 372.656, 71.8412, 226.341, 3007.43, 0.825044, 37.3849
4.1814, 1969.84, 16.4751, 343.32, 71.9507, 225.906, 3024.57, 0.822606, 37.7101
4.1208, 1991.07, 16.4129, 316.619, 72.066, 225.465, 3039.19, 0.820137, 38.0462
4.0602, 2012.92, 16.3525, 292.423, 72.1874, 225.018, 3051.47, 0.817637, 38.3937
3.9996, 2035.42, 16.294, 270.583, 72.3151, 224.564, 3061.63, 0.815104, 38.753
3.939, 2058.59, 16.2373, 250.934, 72.4492, 224.103, 3069.9, 0.812538, 39.1249
3.8784, 2082.48, 16.1824, 233.306, 72.5899, 223.635, 3076.5, 0.809936, 39.5099
3.8178, 2107.1, 16.1294, 217.53, 72.7372, 223.16, 3081.64, 0.807298, 39.9088
3.7572, 2132.5, 16.0781, 203.44, 72.8912, 222.678, 3085.52, 0.804621, 40.3221
