kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9972, 20.0001, 200.001, 79.9998, 500.004, 3400.01, 0.999989, 100.0
6.6054, 52.8766, 20.0331, 199.863, 79.7667, 499.388, 3419.01, 1.0018, 100.959
6.5448, 57.3814, 20.0608, 199.761, 79.6233, 497.33, 3437.41, 1.00788, 101.786
6.4842, 1299.43, 14.0045, 124.267, 230.287, 232.553, 1476.72, 0.860493, 28.156
6.4236, 1309.98, 14.0079, 124.468, 230.519, 232.379, 1484.96, 0.859501, 28.3013
6.363, 1320.71, 14.0112, 124.671, 230.741, 232.203, 1493.29, 0.858493, 28.4493
6.3024, 1331.61, 14.0146, 124.875, 230.952, 232.023, 1501.7, 0.857468, 28.6
6.2418, 1342.7, 14.018, 125.08, 231.153, 231.841, 1510.2, 0.856425, 28.7537
6.1812, 1353.97, 14.0215, 125.287, 231.342, 231.655, 1518.78, 0.855365, 28.9104
6.1206, 1365.44, 14.025, 125.495, 231.519, 231.466, 1527.45, 0.854286, 29.0701
6.06, 1377.1, 14.0284, 125.705, 231.684, 231.273, 1536.21, 0.85319, 29.233
5.9994, 1388.96, 14.032, 125.916, 231.836, 231.078, 1545.06, 0.852074, 29.3991
5.9388, 1401.03, 14.0355, 126.128, 231.975, 230.878, 1554.0, 0.850939, 29.5686
5.8782, 1413.32, 14.0391, 126.342, 232.099, 230.676, 1563.03, 0.849784, 29.7416
5.8176, 1425.82, 14.0427, 126.557, 232.21, 230.469, 1572.15, 0.848609, 29.9182
5.757, 1438.55, 14.0463, 126.773, 232.305, 230.259, 1581.37, 0.847414, 30.0984
5.6964, 1451.51, 14.0499, 126.99, 232.384, 230.045, 1590.68, 0.846197, 30.2825
5.6358, 1464.72, 14.0536, 127.209, 232.447, 229.827, 1600.08, 0.844959, 30.4705
5.5752, 1478.16, 14.0573, 127.429, 232.493, 229.605, 1609.58, 0.843699, 30.6627
5.5146, 1491.87, 14.061, 127.651, 232.521, 229.379, 1619.18, 0.842416, 30.859
5.454, 1505.83, 14.0647, 127.873, 232.53, 229.148, 1628.88, 0.841109, 31.0597
5.3934, 1520.07, 14.0684, 128.097, 232.52, 228.914, 1638.67, 0.83978, 31.265
5.3328, 1534.58, 14.0722, 128.322, 232.49, 228.674, 1648.57, 0.838425, 31.4749
5.2722, 1549.38, 14.076, 128.547, 232.439, 228.431, 1658.56, 0.837046, 31.6897
5.2116, 1564.47, 14.0798, 128.774, 232.366, 228.182, 1668.66, 0.835642, 31.9095
5.151, 1579.88, 14.0836, 129.002, 232.27, 227.929, 1678.86, 0.834211, 32.1345
5.0904, 1595.59, 14.0874, 129.231, 232.15, 227.671, 1689.16, 0.832753, 32.3649
5.0298, 1611.64, 14.0912, 129.46, 232.006, 227.408, 1699.56, 0.831268, 32.6009
4.9692, 1628.02, 14.0951, 129.691, 231.836, 227.139, 1710.06, 0.829755, 32.8427
4.9086, 1644.75, 14.0989, 129.922, 231.639, 226.865, 1720.67, 0.828213, 33.0906
4.848, 1661.84, 14.1028, 130.154, 231.414, 226.586, 1731.38, 0.826641, 33.3448
4.7874, 1679.31, 14.1066, 130.386, 231.16, 226.301, 1742.2, 0.825038, 33.6055
4.7268, 1697.16, 14.1105, 130.618, 230.875, 226.01, 1753.11, 0.823404, 33.8729
4.6662, 1715.41, 14.1144, 130.851, 230.559, 225.713, 1764.14, 0.821738, 34.1475
4.6056, 1734.08, 14.1182, 131.084, 230.21, 225.41, 1775.26, 0.820039, 34.4294
4.545, 1753.18, 14.1221, 131.317, 229.826, 225.1, 1786.49, 0.818305, 34.719
4.4844, 1772.73, 14.1259, 131.55, 229.407, 224.784, 1797.81, 0.816537, 35.0166
4.4238, 1792.74, 14.1297, 131.782, 228.95, 224.461, 1809.24, 0.814733, 35.3225
4.3632, 1813.23, 14.1335, 132.014, 228.455, 224.131, 1820.76, 0.812891, 35.6372
4.3026, 1834.23, 14.1373, 132.245, 227.918, 223.794, 1832.38, 0.811011, 35.9609
4.242, 1855.74, 14.141, 132.475, 227.34, 223.449, 1844.09, 0.809092, 36.2942
4.1814, 1877.8, 14.1447, 132.703, 226.717, 223.097, 1855.9, 0.807132, 36.6374
4.1208, 1900.42, 14.1484, 132.93, 226.049, 222.736, 1867.79, 0.805131, 36.991
4.0602, 1923.63, 14.152, 133.155, 225.332, 222.368, 1879.77, 0.803086, 37.3554
3.9996, 1947.46, 14.1555, 133.377, 224.566, 221.991, 1891.83, 0.800997, 37.7313
3.939, 1971.92, 14.159, 133.596, 223.748, 221.604, 1903.96, 0.798862, 38.1192
3.8784, 1997.05, 14.1624, 133.812, 222.875, 221.209, 1916.16, 0.79668, 38.5197
3.8178, 2022.88, 14.1656, 134.025, 221.946, 220.804, 1928.42, 0.794448, 38.9333
3.7572, 2049.44, 14.1688, 134.232, 220.958, 220.39, 1940.74, 0.792166, 39.3609
3.6966, 2076.76, 14.1719, 134.435, 219.909, 219.965, 1953.1, 0.789831, 39.803
3.636, 2104.89, 14.1748, 134.632, 218.796, 219.529, 1965.49, 0.787442, 40.2606
3.5754, 2133.84, 14.1775, 134.822, 217.616, 219.083, 1977.91, 0.784997, 40.7344
3.5148, 2163.68, 14.1801, 135.004, 216.367, 218.625, 1990.34, 0.782493, 41.2252
3.4542, 2194.44, 14.1824, 135.178, 215.046, 218.155, 2002.77, 0.779929, 41.7342
3.3936, 2226.16, 14.1846, 135.342, 213.65, 217.672, 2015.17, 0.777303, 42.2623
3.333, 2258.91, 14.1865, 135.496, 212.176, 217.177, 2027.53, 0.774611, 42.8106
3.2724, 2292.73, 14.1881, 135.636, 210.62, 216.668, 2039.83, 0.771852, 43.3803
3.2118, 2327.67, 14.1893, 135.763, 208.98, 216.144, 2052.04, 0.769023, 43.9728
3.1512, 2363.81, 14.1902, 135.874, 207.252, 215.606, 2064.13, 0.76612, 44.5894
3.0906, 2401.2, 14.1907, 135.968, 205.433, 215.053, 2076.07, 0.763141, 45.2316
3.03, 2439.93, 14.1908, 136.041, 203.519, 214.483, 2087.83, 0.760083, 45.9013
2.9694, 2480.06, 14.1903, 136.093, 201.507, 213.896, 2099.36, 0.756943, 46.6
2.9088, 2521.68, 14.1893, 136.119, 199.394, 213.291, 2110.61, 0.753716, 47.3299
2.8482, 2564.89, 14.1876, 136.117, 197.175, 212.668, 2121.53, 0.750398, 48.093
2.7876, 2609.77, 14.1852, 136.083, 194.848, 212.025, 2132.07, 0.746987, 48.8917
2.727, 2656.44, 14.182, 136.013, 192.408, 211.361, 2142.14, 0.743476, 49.7286
2.6664, 2705.02, 14.1779, 135.903, 189.853, 210.675, 2151.68, 0.739863, 50.6065
2.6058, 2755.63, 14.1727, 135.748, 187.178, 209.966, 2160.58, 0.73614, 51.5286
2.5452, 2808.41, 14.1664, 135.542, 184.382, 209.232, 2168.75, 0.732304, 52.4982
2.4846, 2863.51, 14.1589, 135.278, 181.462, 208.473, 2176.08, 0.728347, 53.5192
2.424, 2921.1, 14.1498, 134.949, 178.414, 207.686, 2182.42, 0.724265, 54.5959
2.3634, 2981.37, 14.1391, 134.548, 175.236, 206.869, 2187.62, 0.72005, 55.7328
2.3028, 3044.51, 14.1266, 134.064, 171.928, 206.022, 2191.5, 0.715694, 56.9352
2.2422, 3110.76, 14.1119, 133.486, 168.489, 205.141, 2193.88, 0.711189, 58.209
2.1816, 3180.36, 14.0949, 132.803, 164.918, 204.225, 2194.5, 0.706528, 59.5608
2.121, 3253.59, 14.0752, 132.0, 161.216, 203.271, 2193.12, 0.7017, 60.9979
2.0604, 3330.75, 14.0524, 131.061, 157.386, 202.276, 2189.41, 0.696695, 62.5287
1.9998, 3412.2, 14.0262, 129.969, 153.431, 201.237, 2183.04, 0.691502, 64.1625
1.9392, 3498.32, 13.9959, 128.703, 149.357, 200.151, 2173.61, 0.686108, 65.9103
1.8786, 3589.55, 13.9612, 127.238, 145.171, 199.014, 2160.63, 0.680501, 67.7842
1.818, 3686.38, 13.9213, 125.549, 140.882, 197.821, 2143.59, 0.674663, 69.7983
1.7574, 3789.36, 13.8754, 123.605, 136.503, 196.568, 2121.85, 0.66858, 71.9689
1.6968, 3899.13, 13.8226, 121.37, 132.049, 195.249, 2094.72, 0.662233, 74.3146
1.6362, 4016.41, 13.7619, 118.806, 127.537, 193.858, 2061.36, 0.655601, 76.8572
1.5756, 4142.03, 13.692, 115.869, 122.989, 192.388, 2020.84, 0.64866, 79.6222
1.515, 4276.92, 13.6113, 112.509, 118.431, 190.83, 1972.08, 0.641386, 82.6393
1.4544, 4422.17, 13.518, 108.673, 113.89, 189.175, 1913.84, 0.633747, 85.9436
1.3938, 4579.02, 13.4096, 104.303, 109.398, 187.412, 1844.73, 0.625712, 89.5767
1.3332, 4748.86, 13.2832, 99.3361, 104.988, 185.526, 1763.24, 0.61724, 93.5878
1.2726, 4933.32, 13.1351, 93.7145, 100.695, 183.503, 1667.72, 0.608286, 98.0355
1.212, 5134.18, 12.9605, 87.3893, 96.5509, 181.322, 1556.61, 0.598799, 102.99
1.1514, 5353.46, 12.7533, 80.3429, 92.5822, 178.961, 1428.81, 0.588716, 108.534
1.0908, 5593.52, 12.507, 72.6353, 88.8084, 176.39, 1284.66, 0.577971, 114.772
1.0302, 5857.48, 12.2166, 64.4959, 85.2453, 173.581, 1127.96, 0.5665, 121.833
0.9696, 6150.77, 11.8854, 56.4287, 81.9227, 170.506, 968.632, 0.554274, 129.909
0.909, 6483.06, 11.5295, 49.1048, 78.9038, 167.149, 820.93, 0.541311, 139.293
0.8484, 6867.97, 11.1666, 42.9281, 76.2505, 163.486, 694.282, 0.527627, 150.398
0.7878, 7320.79, 10.8003, 37.8489, 73.9582, 159.469, 588.538, 0.513162, 163.745
