kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0, 200.001, 79.9999, 500.0, 3400.0, 0.999999, 100.0
6.6054, 51.8721, 20.0364, 200.577, 79.7119, 500.282, 3418.71, 0.99917, 101.055
6.5448, 53.9065, 20.0721, 201.143, 79.4366, 500.413, 3437.48, 0.998784, 102.124
6.4842, 56.1205, 20.1072, 201.699, 79.1749, 500.378, 3456.29, 0.998886, 103.206
6.4236, 58.5323, 20.1415, 202.243, 78.9278, 500.161, 3475.15, 0.999522, 104.301
6.363, 61.1618, 20.1751, 202.776, 78.6959, 499.744, 3494.05, 1.00075, 105.405
6.3024, 64.0302, 20.2078, 203.295, 78.4801, 499.11, 3512.98, 1.00261, 106.519
6.2418, 67.1603, 20.2395, 203.802, 78.2813, 498.24, 3531.95, 1.00518, 107.638
6.1812, 70.5761, 20.2703, 204.294, 78.1004, 497.113, 3550.94, 1.00851, 108.761
6.1206, 74.3025, 20.3, 204.772, 77.938, 495.711, 3569.95, 1.01267, 109.886
6.06, 78.3648, 20.3286, 205.234, 77.7949, 494.015, 3588.98, 1.01773, 111.008
5.9994, 82.7883, 20.356, 205.679, 77.6718, 492.007, 3608.01, 1.02373, 112.125
5.9388, 87.5969, 20.3821, 206.107, 77.5694, 489.672, 3627.05, 1.03076, 113.233
5.8782, 92.8125, 20.4068, 206.517, 77.4882, 486.999, 3646.08, 1.03884, 114.328
5.8176, 98.4534, 20.43, 206.908, 77.4286, 483.98, 3665.11, 1.04802, 115.405
5.757, 104.533, 20.4518, 207.278, 77.3908, 480.615, 3684.11, 1.05831, 116.46
5.6964, 111.057, 20.4719, 207.628, 77.375, 476.914, 3703.09, 1.06969, 117.489
5.6358, 118.023, 20.4903, 207.956, 77.3811, 472.892, 3722.04, 1.08212, 118.489
5.5752, 125.421, 20.507, 208.262, 77.4088, 468.578, 3740.95, 1.09551, 119.455
5.5146, 133.229, 20.5219, 208.545, 77.4575, 464.008, 3759.82, 1.10973, 120.385
5.454, 141.417, 20.5349, 208.804, 77.5266, 459.228, 3778.65, 1.12462, 121.277
5.3934, 149.947, 20.546, 209.04, 77.6148, 454.289, 3797.42, 1.13999, 122.13
5.3328, 158.779, 20.5553, 209.251, 77.7212, 449.244, 3816.15, 1.15561, 122.943
5.2722, 167.87, 20.5628, 209.44, 77.8442, 444.147, 3834.83, 1.17127, 123.719
5.2116, 177.178, 20.5684, 209.605, 77.9825, 439.046, 3853.48, 1.18677, 124.458
5.151, 186.668, 20.5722, 209.748, 78.1346, 433.982, 3872.08, 1.20191, 125.163
5.0904, 196.31, 20.5744, 209.869, 78.299, 428.99, 3890.66, 1.21654, 125.837
5.0298, 206.082, 20.5749, 209.97, 78.4744, 424.094, 3909.22, 1.23053, 126.483
4.9692, 215.969, 20.5737, 210.05, 78.6595, 419.313, 3927.76, 1.24378, 127.104
4.9086, 225.961, 20.5711, 210.11, 78.8533, 414.657, 3946.29, 1.25622, 127.703
4.848, 236.056, 20.567, 210.152, 79.0547, 410.133, 3964.81, 1.26781, 128.283
4.7874, 246.256, 20.5614, 210.175, 79.2628, 405.741, 3983.34, 1.27852, 128.847
4.7268, 256.565, 20.5544, 210.179, 79.4768, 401.481, 4001.86, 1.28835, 129.397
4.6662, 266.994, 20.546, 210.166, 79.6961, 397.348, 4020.39, 1.2973, 129.936
4.6056, 277.551, 20.5362, 210.134, 79.9199, 393.336, 4038.92, 1.30538, 130.464
4.545, 288.251, 20.525, 210.084, 80.1479, 389.44, 4057.46, 1.3126, 130.984
4.4844, 299.108, 20.5125, 210.016, 80.3795, 385.653, 4075.99, 1.31898, 131.498
4.4238, 310.137, 20.4986, 209.929, 80.6142, 381.967, 4094.53, 1.32455, 132.006
4.3632, 321.356, 20.4832, 209.824, 80.8518, 378.377, 4113.06, 1.32933, 132.51
4.3026, 332.781, 20.4664, 209.699, 81.0917, 374.875, 4131.58, 1.33334, 133.012
4.242, 344.433, 20.4482, 209.554, 81.3338, 371.455, 4150.09, 1.3366, 133.511
4.1814, 356.331, 20.4284, 209.388, 81.5777, 368.11, 4168.58, 1.33913, 134.01
4.1208, 368.496, 20.4072, 209.201, 81.8231, 364.834, 4187.03, 1.34095, 134.509
4.0602, 380.949, 20.3843, 208.992, 82.0696, 361.622, 4205.45, 1.34209, 135.009
3.9996, 393.715, 20.3598, 208.76, 82.3171, 358.469, 4223.81, 1.34255, 135.511
3.939, 406.817, 20.3336, 208.503, 82.5652, 355.369, 4242.11, 1.34236, 136.014
3.8784, 420.281, 20.3057, 208.221, 82.8138, 352.317, 4260.33, 1.34152, 136.521
3.8178, 434.135, 20.2759, 207.912, 83.0624, 349.31, 4278.47, 1.34006, 137.032
3.7572, 448.409, 20.2442, 207.575, 83.3108, 346.342, 4296.49, 1.33799, 137.547
3.6966, 463.133, 20.2105, 207.209, 83.5588, 343.41, 4314.39, 1.33531, 138.067
3.636, 478.341, 20.1748, 206.811, 83.806, 340.509, 4332.13, 1.33203, 138.593
3.5754, 494.069, 20.137, 206.38, 84.0522, 337.637, 4349.71, 1.32817, 139.125
3.5148, 510.356, 20.0968, 205.914, 84.2969, 334.79, 4367.09, 1.32373, 139.664
3.4542, 527.244, 20.0544, 205.411, 84.54, 331.963, 4384.25, 1.31872, 140.211
3.3936, 544.778, 20.0094, 204.868, 84.781, 329.155, 4401.15, 1.31315, 140.766
3.333, 563.007, 19.9619, 204.283, 85.0196, 326.361, 4417.75, 1.30701, 141.329
3.2724, 581.983, 19.9117, 203.652, 85.2553, 323.579, 4434.03, 1.30032, 141.903
3.2118, 601.767, 19.8587, 202.974, 85.4879, 320.806, 4449.94, 1.29308, 142.487
3.1512, 622.42, 19.8027, 202.245, 85.7168, 318.038, 4465.42, 1.28529, 143.082
3.0906, 644.012, 19.7436, 201.461, 85.9416, 315.273, 4480.43, 1.27695, 143.689
3.03, 666.621, 19.6812, 200.617, 86.1619, 312.507, 4494.91, 1.26806, 144.309
2.9694, 690.328, 19.6154, 199.711, 86.377, 309.738, 4508.79, 1.25863, 144.942
2.9088, 715.229, 19.5461, 198.736, 86.5866, 306.964, 4522.0, 1.24865, 145.59
2.8482, 741.423, 19.473, 197.689, 86.7899, 304.18, 4534.45, 1.23813, 146.253
2.7876, 769.026, 19.396, 196.562, 86.9865, 301.384, 4546.05, 1.22706, 146.932
2.727, 798.164, 19.3149, 195.35, 87.1757, 298.572, 4556.7, 1.21544, 147.629
2.6664, 828.976, 19.2295, 194.046, 87.3567, 295.743, 4566.28, 1.20327, 148.344
2.6058, 861.621, 19.1396, 192.642, 87.529, 292.892, 4574.65, 1.19054, 149.079
2.5452, 896.274, 19.045, 191.13, 87.6918, 290.016, 4581.67, 1.17726, 149.835
2.4846, 933.134, 18.9456, 189.5, 87.8442, 287.112, 4587.16, 1.16343, 150.614
2.424, 972.424, 18.8411, 187.743, 87.9854, 284.175, 4590.93, 1.14903, 151.417
2.3634, 1014.4, 18.7313, 185.846, 88.1147, 281.203, 4592.75, 1.13406, 152.245
2.3028, 1059.34, 18.616, 183.797, 88.231, 278.191, 4592.38, 1.11852, 153.1
2.2422, 1107.58, 18.4949, 181.582, 88.3335, 275.135, 4589.52, 1.10241, 153.985
2.1816, 1159.49, 18.368, 179.185, 88.421, 272.03, 4583.83, 1.08571, 154.901
2.121, 1215.49, 18.2349, 176.59, 88.4926, 268.871, 4574.93, 1.06843, 155.85
2.0604, 1276.08, 18.0954, 173.776, 88.5471, 265.653, 4562.37, 1.05056, 156.836
1.9998, 1341.84, 17.9492, 170.723, 88.5832, 262.371, 4545.62, 1.0321, 157.859
1.9392, 1413.41, 17.7962, 167.407, 88.5997, 259.018, 4524.09, 1.01303, 158.925
1.8786, 1491.56, 17.6361, 163.802, 88.5949, 255.588, 4497.05, 0.993359, 160.035
1.818, 1577.2, 17.4684, 159.879, 88.5674, 252.074, 4463.68, 0.97308, 161.193
1.7574, 1671.37, 17.2929, 155.606, 88.5151, 248.467, 4423.0, 0.952187, 162.403
1.6968, 1775.33, 17.109, 150.95, 88.4359, 244.759, 4373.84, 0.930678, 163.669
1.6362, 1890.53, 16.9163, 145.872, 88.3271, 240.94, 4314.82, 0.908549, 164.996
1.5756, 2018.73, 16.7141, 140.333, 88.1855, 236.999, 4244.32, 0.885801, 166.389
1.515, 2162.01, 16.5014, 134.287, 88.0072, 232.926, 4160.37, 0.862432, 167.854
1.4544, 2322.88, 16.2772, 127.692, 87.787, 228.706, 4060.62, 0.838446, 169.396
1.3938, 2504.35, 16.0398, 120.498, 87.5185, 224.325, 3942.27, 0.813847, 171.023
1.3332, 2710.06, 15.7873, 112.662, 87.1932, 219.766, 3801.94, 0.788642, 172.742
1.2726, 2944.37, 15.5171, 104.14, 86.7995, 215.011, 3635.58, 0.762844, 174.561
1.212, 3212.59, 15.2252, 94.8985, 86.3216, 210.038, 3438.39, 0.73647, 176.489
