kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9959, 20.0003, 200.002, 79.9967, 500.008, 3400.02, 0.999977, 100.001
6.6054, 53.8111, 19.9214, 199.34, 81.5067, 497.062, 3408.15, 1.00867, 100.708
6.5448, 1291.17, 14.0715, 142.414, 56.596, 232.827, 2851.24, 0.862054, 28.0407
6.4842, 1301.01, 14.0564, 142.309, 56.7493, 232.629, 2861.66, 0.860925, 28.1763
6.4236, 1311.0, 14.041, 142.2, 56.9027, 232.428, 2872.13, 0.859777, 28.3143
6.363, 1321.15, 14.0253, 142.088, 57.0563, 232.223, 2882.64, 0.85861, 28.4548
6.3024, 1331.44, 14.0092, 141.972, 57.2101, 232.015, 2893.19, 0.857423, 28.5979
6.2418, 1341.9, 13.9928, 141.852, 57.3641, 231.804, 2903.78, 0.856216, 28.7436
6.1812, 1352.52, 13.9759, 141.728, 57.5182, 231.588, 2914.41, 0.854989, 28.8921
6.1206, 1363.31, 13.9588, 141.6, 57.6725, 231.369, 2925.09, 0.853741, 29.0434
6.06, 1374.27, 13.9412, 141.468, 57.8269, 231.146, 2935.8, 0.852472, 29.1975
5.9994, 1385.41, 13.9232, 141.332, 57.9814, 230.919, 2946.55, 0.851181, 29.3547
5.9388, 1396.73, 13.9049, 141.192, 58.1359, 230.688, 2957.33, 0.849868, 29.5149
5.8782, 1408.23, 13.8861, 141.047, 58.2906, 230.453, 2968.16, 0.848533, 29.6783
5.8176, 1419.93, 13.8669, 140.898, 58.4453, 230.214, 2979.02, 0.847174, 29.845
5.757, 1431.82, 13.8473, 140.744, 58.6001, 229.97, 2989.91, 0.845792, 30.015
5.6964, 1443.91, 13.8273, 140.585, 58.7548, 229.722, 3000.84, 0.844385, 30.1885
5.6358, 1456.21, 13.8068, 140.422, 58.9096, 229.469, 3011.8, 0.842954, 30.3657
5.5752, 1468.72, 13.7858, 140.254, 59.0644, 229.212, 3022.79, 0.841498, 30.5465
5.5146, 1481.46, 13.7644, 140.08, 59.2191, 228.95, 3033.8, 0.840016, 30.7312
5.454, 1494.42, 13.7425, 139.902, 59.3737, 228.683, 3044.85, 0.838508, 30.9199
5.3934, 1507.61, 13.7201, 139.718, 59.5283, 228.412, 3055.93, 0.836973, 31.1127
5.3328, 1521.03, 13.6972, 139.529, 59.6827, 228.135, 3067.03, 0.83541, 31.3097
5.2722, 1534.71, 13.6738, 139.334, 59.837, 227.853, 3078.15, 0.833819, 31.5111
5.2116, 1548.64, 13.6499, 139.133, 59.9912, 227.565, 3089.29, 0.8322, 31.7171
5.151, 1562.83, 13.6254, 138.927, 60.1451, 227.272, 3100.46, 0.83055, 31.9279
5.0904, 1577.29, 13.6004, 138.714, 60.2988, 226.973, 3111.64, 0.828871, 32.1435
5.0298, 1592.03, 13.5749, 138.496, 60.4523, 226.669, 3122.84, 0.82716, 32.3642
4.9692, 1607.06, 13.5488, 138.271, 60.6055, 226.358, 3134.05, 0.825418, 32.5902
4.9086, 1622.38, 13.522, 138.039, 60.7584, 226.042, 3145.28, 0.823643, 32.8216
4.848, 1638.01, 13.4947, 137.801, 60.911, 225.719, 3156.51, 0.821835, 33.0588
4.7874, 1653.96, 13.4668, 137.557, 61.0632, 225.39, 3167.75, 0.819993, 33.3018
4.7268, 1670.23, 13.4383, 137.305, 61.2149, 225.054, 3179.0, 0.818116, 33.551
4.6662, 1686.85, 13.4091, 137.047, 61.3662, 224.711, 3190.24, 0.816204, 33.8066
4.6056, 1703.81, 13.3793, 136.781, 61.5171, 224.362, 3201.49, 0.814254, 34.0688
4.545, 1721.14, 13.3488, 136.507, 61.6674, 224.005, 3212.73, 0.812267, 34.3379
4.4844, 1738.85, 13.3176, 136.226, 61.8171, 223.64, 3223.97, 0.810241, 34.6143
4.4238, 1756.94, 13.2857, 135.937, 61.9662, 223.268, 3235.19, 0.808175, 34.8981
4.3632, 1775.44, 13.2531, 135.64, 62.1147, 222.889, 3246.4, 0.806069, 35.1898
4.3026, 1794.37, 13.2198, 135.335, 62.2625, 222.501, 3257.59, 0.803921, 35.4897
4.242, 1813.73, 13.1858, 135.022, 62.4095, 222.105, 3268.76, 0.80173, 35.7982
4.1814, 1833.54, 13.151, 134.7, 62.5558, 221.7, 3279.91, 0.799495, 36.1156
4.1208, 1853.83, 13.1154, 134.369, 62.7012, 221.286, 3291.02, 0.797214, 36.4424
4.0602, 1874.61, 13.0791, 134.029, 62.8457, 220.863, 3302.11, 0.794887, 36.7789
3.9996, 1895.9, 13.0419, 133.681, 62.9893, 220.431, 3313.15, 0.792512, 37.1258
3.939, 1917.73, 13.004, 133.322, 63.1319, 219.989, 3324.16, 0.790088, 37.4833
3.8784, 1940.11, 12.9652, 132.954, 63.2734, 219.537, 3335.11, 0.787612, 37.8522
3.8178, 1963.08, 12.9256, 132.576, 63.4138, 219.074, 3346.01, 0.785085, 38.233
3.7572, 1986.66, 12.8851, 132.188, 63.5531, 218.601, 3356.86, 0.782504, 38.6262
3.6966, 2010.87, 12.8437, 131.79, 63.6911, 218.116, 3367.64, 0.779868, 39.0325
3.636, 2035.75, 12.8014, 131.381, 63.8279, 217.62, 3378.35, 0.777174, 39.4526
3.5754, 2061.32, 12.7582, 130.962, 63.9633, 217.112, 3388.99, 0.774422, 39.8873
3.5148, 2087.63, 12.7141, 130.531, 64.0973, 216.592, 3399.54, 0.77161, 40.3373
3.4542, 2114.71, 12.6691, 130.09, 64.2298, 216.059, 3410.01, 0.768734, 40.8036
3.3936, 2142.59, 12.6231, 129.636, 64.3607, 215.512, 3420.38, 0.765794, 41.287
3.333, 2171.32, 12.5761, 129.171, 64.4901, 214.952, 3430.65, 0.762788, 41.7885
3.2724, 2200.95, 12.5282, 128.694, 64.6177, 214.377, 3440.81, 0.759713, 42.3093
3.2118, 2231.52, 12.4793, 128.205, 64.7436, 213.788, 3450.85, 0.756566, 42.8504
3.1512, 2263.09, 12.4293, 127.703, 64.8676, 213.183, 3460.76, 0.753346, 43.4132
3.0906, 2295.7, 12.3783, 127.188, 64.9897, 212.561, 3470.54, 0.75005, 43.9991
3.03, 2329.43, 12.3263, 126.66, 65.1098, 211.923, 3480.18, 0.746675, 44.6094
2.9694, 2364.34, 12.2732, 126.118, 65.2278, 211.267, 3489.65, 0.743219, 45.246
2.9088, 2400.5, 12.2191, 125.563, 65.3436, 210.593, 3498.97, 0.739677, 45.9104
2.8482, 2437.98, 12.1638, 124.993, 65.4571, 209.9, 3508.1, 0.736048, 46.6047
2.7876, 2476.88, 12.1075, 124.409, 65.5682, 209.186, 3517.05, 0.732327, 47.331
2.727, 2517.29, 12.05, 123.809, 65.6769, 208.452, 3525.79, 0.728512, 48.0916
2.6664, 2559.3, 11.9914, 123.195, 65.7829, 207.695, 3534.32, 0.724597, 48.8891
2.6058, 2603.04, 11.9316, 122.564, 65.8861, 206.915, 3542.61, 0.72058, 49.7263
2.5452, 2648.61, 11.8706, 121.917, 65.9865, 206.111, 3550.66, 0.716456, 50.6063
2.4846, 2696.16, 11.8084, 121.253, 66.0838, 205.281, 3558.43, 0.71222, 51.5326
2.424, 2745.83, 11.745, 120.571, 66.178, 204.424, 3565.92, 0.707867, 52.509
2.3634, 2797.79, 11.6804, 119.871, 66.2687, 203.539, 3573.09, 0.703391, 53.5397
2.3028, 2852.22, 11.6144, 119.152, 66.3558, 202.623, 3579.92, 0.698788, 54.6296
2.2422, 2909.32, 11.5471, 118.412, 66.4391, 201.675, 3586.39, 0.69405, 55.784
2.1816, 2969.31, 11.4784, 117.651, 66.5183, 200.693, 3592.45, 0.689171, 57.0088
2.121, 3032.45, 11.4083, 116.868, 66.5931, 199.675, 3598.08, 0.684144, 58.3109
2.0604, 3099.02, 11.3368, 116.061, 66.6632, 198.618, 3603.22, 0.678961, 59.6979
1.9998, 3169.33, 11.2636, 115.228, 66.7281, 197.519, 3607.84, 0.673612, 61.1785
1.9392, 3243.76, 11.1888, 114.367, 66.7874, 196.377, 3611.86, 0.668089, 62.7626
1.8786, 3322.7, 11.1124, 113.477, 66.8407, 195.187, 3615.23, 0.66238, 64.4616
1.818, 3406.63, 11.034, 112.554, 66.8872, 193.945, 3617.86, 0.656476, 66.2885
1.7574, 3496.07, 10.9538, 111.596, 66.9264, 192.648, 3619.67, 0.650362, 68.2586
1.6968, 3591.65, 10.8714, 110.598, 66.9573, 191.292, 3620.54, 0.644026, 70.3894
1.6362, 3694.07, 10.7868, 109.556, 66.9792, 189.87, 3620.33, 0.637452, 72.7015
1.5756, 3804.17, 10.6998, 108.463, 66.9908, 188.377, 3618.87, 0.630622, 75.2191
1.515, 3922.91, 10.61, 107.314, 66.9909, 186.806, 3615.98, 0.623519, 77.971
1.4544, 4051.45, 10.5174, 106.099, 66.9781, 185.15, 3611.38, 0.616121, 80.9914
1.3938, 4191.15, 10.4214, 104.806, 66.9505, 183.399, 3604.74, 0.608403, 84.3215
1.3332, 4343.64, 10.3219, 103.421, 66.9061, 181.544, 3595.64, 0.60034, 88.0115
1.2726, 4510.89, 10.2183, 101.924, 66.8424, 179.571, 3583.48, 0.591901, 92.1225
1.212, 4695.34, 10.1103, 100.286, 66.7569, 177.468, 3567.45, 0.583053, 96.7304
1.1514, 4899.97, 9.99729, 98.4655, 66.6464, 175.218, 3546.33, 0.573758, 101.93
1.0908, 5128.56, 9.87889, 96.398, 66.5082, 172.8, 3518.2, 0.563973, 107.843
1.0302, 5385.98, 9.75504, 93.968, 66.3408, 170.193, 3479.68, 0.553651, 114.626
0.9696, 5678.87, 9.62714, 90.9283, 66.1495, 167.37, 3423.47, 0.542749, 122.489
0.909, 6018.16, 9.50532, 86.4329, 65.9814, 164.315, 3324.62, 0.531261, 131.751
0.8484, 6991.86, 11.7039, 32.2642, 76.1039, 164.135, 536.843, 0.529868, 152.463
0.7878, 7388.26, 11.0563, 31.4113, 73.8384, 159.789, 490.374, 0.514213, 164.917
0.7272, 7883.89, 10.503, 30.677, 71.8574, 155.121, 452.791, 0.498121, 180.458
0.6666, 8500.0, 10.0, 29.9999, 70.0, 150.0, 419.996, 0.481331, 200.001
