kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0001, 200.003, 79.9992, 500.001, 3400.01, 0.999996, 100.0
6.6054, 51.8584, 19.998, 199.74, 80.4234, 499.765, 3414.61, 1.00069, 100.999
6.5448, 53.869, 19.992, 199.462, 80.9287, 499.34, 3428.83, 1.00194, 102.007
6.4842, 56.046, 19.9816, 199.171, 81.5267, 498.705, 3442.58, 1.00381, 103.021
6.4236, 58.4034, 19.9659, 198.863, 82.2321, 497.84, 3455.78, 1.00637, 104.038
6.363, 60.9557, 19.9442, 198.523, 83.0634, 496.721, 3468.31, 1.00968, 105.057
6.3024, 63.7171, 19.9153, 198.128, 84.0448, 495.322, 3480.01, 1.01384, 106.074
6.2418, 66.7007, 19.878, 197.648, 85.2068, 493.613, 3490.71, 1.01893, 107.083
6.1812, 69.9178, 19.8303, 197.045, 86.5892, 491.565, 3500.15, 1.02507, 108.08
6.1206, 73.3761, 19.7703, 196.277, 88.2431, 489.143, 3508.03, 1.03236, 109.06
6.06, 77.0775, 19.6954, 195.293, 90.2347, 486.314, 3513.91, 1.04093, 110.013
5.9994, 81.0161, 19.6024, 194.037, 92.6489, 483.047, 3517.25, 1.05088, 110.933
5.9388, 85.1742, 19.4878, 192.437, 95.594, 479.312, 3517.34, 1.06232, 111.808
5.8782, 89.5193, 19.3477, 190.412, 99.203, 475.091, 3513.3, 1.07534, 112.629
5.8176, 94.0023, 19.1785, 187.87, 103.631, 470.384, 3504.06, 1.08992, 113.384
5.757, 98.5594, 18.9779, 184.721, 109.042, 465.223, 3488.46, 1.10597, 114.064
5.6964, 103.121, 18.7465, 180.9, 115.573, 459.684, 3465.48, 1.12323, 114.666
5.6358, 107.629, 18.4888, 176.398, 123.29, 453.889, 3434.49, 1.14126, 115.194
5.5752, 112.055, 18.214, 171.286, 132.142, 447.996, 3395.6, 1.1595, 115.661
5.5146, 116.41, 17.9335, 165.711, 141.961, 442.163, 3349.75, 1.17737, 116.086
5.454, 120.733, 17.6579, 159.862, 152.497, 436.514, 3298.47, 1.19443, 116.491
5.3934, 125.078, 17.395, 153.925, 163.484, 431.121, 3243.51, 1.2104, 116.892
5.3328, 129.495, 17.1495, 148.053, 174.686, 426.012, 3186.47, 1.22516, 117.302
5.2722, 134.027, 16.923, 142.358, 185.91, 421.185, 3128.74, 1.23871, 117.726
5.2116, 138.706, 16.7156, 136.915, 197.008, 416.621, 3071.41, 1.25111, 118.169
5.151, 143.557, 16.5264, 131.771, 207.868, 412.294, 3015.33, 1.26242, 118.63
5.0904, 148.601, 16.3544, 126.952, 218.404, 408.176, 2961.18, 1.27274, 119.11
