kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9963, 20.0002, 200.001, 79.9999, 500.007, 3400.0, 0.99998, 100.001
6.6054, 51.2434, 20.2549, 199.976, 79.9035, 503.817, 3412.76, 0.988828, 101.433
6.5448, 52.8738, 20.4928, 199.978, 79.8181, 507.054, 3425.91, 0.979446, 102.843
6.4842, 55.3343, 20.6969, 200.036, 79.7492, 509.107, 3439.75, 0.973545, 104.164
6.4236, 1045.26, 7.54682, 102.865, 165.63, 218.45, 2356.19, 0.782442, 24.808
6.363, 1053.96, 7.54864, 102.918, 165.867, 218.297, 2366.7, 0.781605, 24.9382
6.3024, 1062.8, 7.55045, 102.971, 166.099, 218.14, 2377.31, 0.780753, 25.0708
6.2418, 1071.78, 7.55224, 103.023, 166.324, 217.981, 2387.99, 0.779886, 25.2059
6.1812, 1080.92, 7.55401, 103.076, 166.542, 217.818, 2398.77, 0.779002, 25.3436
6.1206, 1090.2, 7.55577, 103.128, 166.753, 217.653, 2409.63, 0.778102, 25.4839
6.06, 1099.65, 7.55751, 103.18, 166.957, 217.484, 2420.58, 0.777186, 25.6269
5.9994, 1109.25, 7.55923, 103.232, 167.153, 217.312, 2431.61, 0.776253, 25.7728
5.9388, 1119.03, 7.56093, 103.283, 167.34, 217.136, 2442.74, 0.775302, 25.9215
5.8782, 1128.97, 7.56261, 103.334, 167.519, 216.958, 2453.95, 0.774334, 26.0733
5.8176, 1139.09, 7.56426, 103.385, 167.689, 216.775, 2465.26, 0.773348, 26.2281
5.757, 1149.38, 7.56589, 103.435, 167.85, 216.59, 2476.66, 0.772343, 26.3861
5.6964, 1159.87, 7.56749, 103.485, 168.001, 216.4, 2488.15, 0.771319, 26.5474
5.6358, 1170.54, 7.56906, 103.535, 168.141, 216.207, 2499.74, 0.770276, 26.7121
5.5752, 1181.41, 7.57061, 103.585, 168.271, 216.01, 2511.41, 0.769212, 26.8803
5.5146, 1192.49, 7.57212, 103.633, 168.39, 215.808, 2523.19, 0.768129, 27.0522
5.454, 1203.77, 7.57359, 103.682, 168.497, 215.603, 2535.06, 0.767024, 27.2277
5.3934, 1215.27, 7.57503, 103.73, 168.592, 215.394, 2547.02, 0.765898, 27.4072
5.3328, 1226.99, 7.57643, 103.777, 168.674, 215.18, 2559.08, 0.76475, 27.5907
5.2722, 1238.93, 7.57779, 103.824, 168.743, 214.962, 2571.24, 0.76358, 27.7783
