kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9973, 20.0, 200.001, 79.9998, 500.004, 3400.01, 0.999989, 100.0
6.6054, 52.9211, 20.0275, 200.549, 79.7635, 499.274, 3418.47, 1.00214, 100.946
6.5448, 57.5617, 20.0484, 201.024, 79.6208, 497.008, 3436.45, 1.00883, 101.751
6.4842, 1204.86, 11.2382, 73.6031, 206.691, 227.845, 1836.2, 0.834047, 26.9349
6.4236, 1211.1, 11.1477, 74.2289, 206.045, 227.496, 1856.39, 0.832089, 27.027
6.363, 1217.62, 11.0623, 74.8324, 205.434, 227.153, 1876.18, 0.830168, 27.1236
6.3024, 1224.41, 10.9816, 75.4151, 204.855, 226.816, 1895.59, 0.828278, 27.2244
6.2418, 1231.47, 10.9051, 75.9785, 204.303, 226.483, 1914.68, 0.826415, 27.3294
6.1812, 1238.79, 10.8326, 76.5237, 203.777, 226.154, 1933.47, 0.824577, 27.4386
6.1206, 1246.37, 10.7636, 77.0518, 203.273, 225.828, 1952.0, 0.82276, 27.5519
6.06, 1254.2, 10.698, 77.5637, 202.788, 225.506, 1970.28, 0.82096, 27.6693
5.9994, 1262.28, 10.6354, 78.0604, 202.321, 225.186, 1988.35, 0.819176, 27.7908
5.9388, 1270.62, 10.5756, 78.5425, 201.869, 224.867, 2006.22, 0.817405, 27.9165
5.8782, 1279.21, 10.5185, 79.0108, 201.43, 224.551, 2023.92, 0.815645, 28.0462
5.8176, 1288.05, 10.4639, 79.466, 201.002, 224.236, 2041.46, 0.813893, 28.1802
5.757, 1297.15, 10.4115, 79.9085, 200.585, 223.921, 2058.85, 0.812148, 28.3184
5.6964, 1306.5, 10.3613, 80.3391, 200.175, 223.608, 2076.11, 0.810409, 28.4609
5.6358, 1316.12, 10.3132, 80.758, 199.772, 223.294, 2093.25, 0.808672, 28.6078
5.5752, 1325.99, 10.267, 81.1658, 199.375, 222.981, 2110.28, 0.806937, 28.7591
5.5146, 1336.13, 10.2225, 81.563, 198.981, 222.667, 2127.22, 0.805203, 28.915
5.454, 1346.54, 10.1798, 81.9498, 198.59, 222.352, 2144.07, 0.803467, 29.0754
5.3934, 1357.22, 10.1387, 82.3267, 198.2, 222.037, 2160.85, 0.801728, 29.2406
5.3328, 1368.19, 10.0991, 82.694, 197.81, 221.721, 2177.55, 0.799986, 29.4106
5.2722, 1379.44, 10.061, 83.0519, 197.419, 221.403, 2194.2, 0.798238, 29.5855
5.2116, 1390.97, 10.0242, 83.4008, 197.025, 221.084, 2210.79, 0.796483, 29.7655
5.151, 1402.81, 9.98876, 83.7409, 196.627, 220.763, 2227.34, 0.79472, 29.9508
5.0904, 1414.95, 9.95455, 84.0725, 196.225, 220.44, 2243.84, 0.792949, 30.1414
5.0298, 1427.4, 9.92152, 84.3957, 195.815, 220.115, 2260.31, 0.791166, 30.3376
4.9692, 1440.17, 9.88961, 84.7108, 195.399, 219.787, 2276.75, 0.789372, 30.5394
4.9086, 1453.26, 9.85878, 85.018, 194.974, 219.456, 2293.17, 0.787565, 30.7471
4.848, 1466.7, 9.82897, 85.3175, 194.538, 219.122, 2309.57, 0.785744, 30.9609
4.7874, 1480.47, 9.80013, 85.6093, 194.092, 218.785, 2325.95, 0.783908, 31.1809
4.7268, 1494.61, 9.77222, 85.8937, 193.632, 218.445, 2342.32, 0.782055, 31.4075
4.6662, 1509.11, 9.74519, 86.1707, 193.159, 218.101, 2358.69, 0.780184, 31.6407
4.6056, 1523.98, 9.719, 86.4405, 192.671, 217.752, 2375.05, 0.778294, 31.8809
4.545, 1539.25, 9.6936, 86.7032, 192.166, 217.4, 2391.41, 0.776384, 32.1283
4.4844, 1554.91, 9.66897, 86.9588, 191.642, 217.043, 2407.77, 0.774452, 32.3832
4.4238, 1571.0, 9.64505, 87.2074, 191.099, 216.681, 2424.14, 0.772497, 32.6459
