kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9964, 20.0002, 200.004, 79.9972, 500.006, 3400.02, 0.999981, 100.001
6.6054, 53.5431, 19.9524, 199.436, 81.2628, 497.714, 3408.97, 1.00674, 100.778
6.5448, 1432.54, 19.7031, 196.037, 70.0063, 239.393, 3393.38, 0.899421, 29.8184
6.4842, 1441.95, 19.6104, 194.785, 70.0273, 239.119, 3396.23, 0.897843, 29.9444
6.4236, 1451.5, 19.5181, 193.512, 70.0489, 238.842, 3398.86, 0.896249, 30.0729
6.363, 1461.2, 19.4259, 192.218, 70.0712, 238.563, 3401.24, 0.894637, 30.204
6.3024, 1471.07, 19.3341, 190.902, 70.0941, 238.28, 3403.36, 0.893007, 30.3377
6.2418, 1481.09, 19.2425, 189.564, 70.1177, 237.994, 3405.21, 0.89136, 30.4741
6.1812, 1491.27, 19.1512, 188.203, 70.1421, 237.704, 3406.78, 0.889694, 30.6134
6.1206, 1501.63, 19.0603, 186.819, 70.1673, 237.412, 3408.05, 0.88801, 30.7555
6.06, 1512.17, 18.9696, 185.41, 70.1934, 237.116, 3409.01, 0.886307, 30.9007
5.9994, 1522.88, 18.8793, 183.977, 70.2204, 236.816, 3409.64, 0.884585, 31.0489
5.9388, 1533.78, 18.7893, 182.519, 70.2483, 236.513, 3409.92, 0.882844, 31.2004
5.8782, 1544.87, 18.6998, 181.035, 70.2773, 236.206, 3409.85, 0.881083, 31.3552
5.8176, 1556.16, 18.6106, 179.526, 70.3074, 235.896, 3409.4, 0.879303, 31.5133
5.757, 1567.66, 18.5218, 177.99, 70.3387, 235.582, 3408.57, 0.877502, 31.6751
5.6964, 1579.37, 18.4334, 176.429, 70.3712, 235.265, 3407.33, 0.875681, 31.8405
5.6358, 1591.3, 18.3456, 174.841, 70.405, 234.943, 3405.68, 0.87384, 32.0097
5.5752, 1603.45, 18.2582, 173.228, 70.4403, 234.618, 3403.6, 0.871977, 32.1828
5.5146, 1615.83, 18.1713, 171.588, 70.477, 234.289, 3401.08, 0.870093, 32.3601
5.454, 1628.46, 18.085, 169.923, 70.5154, 233.956, 3398.11, 0.868187, 32.5415
5.3934, 1641.34, 17.9992, 168.234, 70.5554, 233.618, 3394.67, 0.86626, 32.7274
5.3328, 1654.48, 17.9141, 166.519, 70.5973, 233.277, 3390.76, 0.86431, 32.9178
5.2722, 1667.89, 17.8296, 164.782, 70.6411, 232.931, 3386.38, 0.862338, 33.113
5.2116, 1681.57, 17.7457, 163.022, 70.687, 232.582, 3381.5, 0.860343, 33.3131
5.151, 1695.55, 17.6626, 161.241, 70.735, 232.228, 3376.15, 0.858325, 33.5183
5.0904, 1709.82, 17.5803, 159.44, 70.7854, 231.869, 3370.31, 0.856284, 33.7289
5.0298, 1724.41, 17.4988, 157.62, 70.8383, 231.506, 3363.98, 0.854218, 33.945
4.9692, 1739.33, 17.4182, 155.785, 70.8939, 231.138, 3357.18, 0.852129, 34.1669
4.9086, 1754.58, 17.3384, 153.936, 70.9523, 230.766, 3349.92, 0.850015, 34.3948
4.848, 1770.18, 17.2597, 152.075, 71.0137, 230.389, 3342.2, 0.847877, 34.629
4.7874, 1786.15, 17.1819, 150.205, 71.0783, 230.008, 3334.05, 0.845713, 34.8697
4.7268, 1802.5, 17.1053, 148.328, 71.1463, 229.621, 3325.48, 0.843524, 35.1173
4.6662, 1819.25, 17.0298, 146.449, 71.2179, 229.229, 3316.54, 0.841309, 35.372
4.6056, 1836.41, 16.9555, 144.57, 71.2935, 228.833, 3307.24, 0.839067, 35.6342
4.545, 1854.0, 16.8825, 142.694, 71.3731, 228.431, 3297.64, 0.836799, 35.9042
4.4844, 1872.05, 16.8108, 140.826, 71.457, 228.024, 3287.76, 0.834504, 36.1824
4.4238, 1890.58, 16.7405, 138.968, 71.5455, 227.612, 3277.66, 0.832182, 36.4692
4.3632, 1909.59, 16.6718, 137.126, 71.6389, 227.194, 3267.39, 0.829831, 36.7649
4.3026, 1929.12, 16.6046, 135.303, 71.7374, 226.77, 3257.01, 0.827452, 37.07
4.242, 1949.2, 16.539, 133.503, 71.8412, 226.341, 3246.58, 0.825044, 37.3849
4.1814, 1969.84, 16.4751, 131.729, 71.9507, 225.906, 3236.16, 0.822606, 37.7101
4.1208, 1991.07, 16.4129, 129.986, 72.066, 225.465, 3225.82, 0.820137, 38.0462
4.0602, 2012.92, 16.3525, 128.277, 72.1874, 225.018, 3215.61, 0.817637, 38.3937
3.9996, 2035.42, 16.294, 126.605, 72.3151, 224.564, 3205.61, 0.815104, 38.753
3.939, 2058.59, 16.2373, 124.973, 72.4492, 224.103, 3195.86, 0.812538, 39.1249
3.8784, 2082.48, 16.1824, 123.382, 72.5899, 223.635, 3186.43, 0.809936, 39.5099
3.8178, 2107.1, 16.1294, 121.834, 72.7372, 223.16, 3177.34, 0.807298, 39.9088
3.7572, 2132.5, 16.0781, 120.33, 72.8912, 222.678, 3168.63, 0.804621, 40.3221
3.6966, 2158.71, 16.0287, 118.869, 73.0518, 222.187, 3160.33, 0.801904, 40.7507
3.636, 2185.76, 15.9808, 117.45, 73.2188, 221.687, 3152.42, 0.799145, 41.1953
3.5754, 2213.69, 15.9346, 116.071, 73.3922, 221.179, 3144.91, 0.796341, 41.6567
3.5148, 2242.55, 15.8897, 114.728, 73.5716, 220.661, 3137.76, 0.793489, 42.1358
3.4542, 2272.36, 15.8462, 113.42, 73.7568, 220.133, 3130.92, 0.790586, 42.6335
3.3936, 2303.17, 15.8037, 112.14, 73.9474, 219.593, 3124.33, 0.787631, 43.1509
3.333, 2335.03, 15.7622, 110.884, 74.1429, 219.043, 3117.93, 0.784618, 43.6889
3.2724, 2367.99, 15.7214, 109.647, 74.343, 218.479, 3111.61, 0.781545, 44.2487
3.2118, 2402.1, 15.6812, 108.423, 74.5471, 217.903, 3105.29, 0.778408, 44.8316
3.1512, 2437.41, 15.6413, 107.207, 74.7548, 217.313, 3098.86, 0.775203, 45.4389
3.0906, 2473.97, 15.6015, 105.991, 74.9656, 216.708, 3092.2, 0.771927, 46.0721
3.03, 2511.87, 15.5617, 104.772, 75.1789, 216.088, 3085.2, 0.768575, 46.7326
2.9694, 2551.17, 15.5216, 103.542, 75.3943, 215.451, 3077.74, 0.765143, 47.4223
2.9088, 2591.93, 15.481, 102.296, 75.6113, 214.796, 3069.68, 0.761627, 48.1431
2.8482, 2634.26, 15.4399, 101.029, 75.8293, 214.123, 3060.91, 0.758022, 48.897
2.7876, 2678.24, 15.3979, 99.7362, 76.0481, 213.43, 3051.28, 0.754325, 49.6863
2.727, 2723.97, 15.355, 98.4116, 76.2669, 212.717, 3040.66, 0.750529, 50.5135
2.6664, 2771.57, 15.3109, 97.0506, 76.4855, 211.981, 3028.92, 0.746631, 51.3814
2.6058, 2821.14, 15.2655, 95.6484, 76.7032, 211.222, 3015.9, 0.742624, 52.2931
2.5452, 2872.84, 15.2186, 94.2003, 76.9196, 210.439, 3001.45, 0.738504, 53.2518
2.4846, 2926.8, 15.1701, 92.7015, 77.1342, 209.629, 2985.41, 0.734263, 54.2614
2.424, 2983.19, 15.1197, 91.1472, 77.3463, 208.792, 2967.6, 0.729897, 55.3261
2.3634, 3042.18, 15.0673, 89.5326, 77.5554, 207.925, 2947.84, 0.725398, 56.4504
2.3028, 3103.98, 15.0126, 87.8527, 77.7608, 207.027, 2925.93, 0.720759, 57.6395
2.2422, 3168.81, 14.9554, 86.1024, 77.9618, 206.096, 2901.63, 0.715972, 58.8992
2.1816, 3236.91, 14.8955, 84.2764, 78.1575, 205.129, 2874.72, 0.71103, 60.2361
2.121, 3308.55, 14.8327, 82.3689, 78.347, 204.124, 2844.91, 0.705922, 61.6574
2.0604, 3384.05, 14.7666, 80.3741, 78.5292, 203.078, 2811.93, 0.70064, 63.1715
1.9998, 3463.74, 14.6968, 78.2855, 78.7029, 201.989, 2775.43, 0.695172, 64.7878
1.9392, 3548.01, 14.623, 76.0966, 78.8667, 200.852, 2735.04, 0.689507, 66.517
1.8786, 3637.29, 14.5448, 73.8002, 79.0188, 199.665, 2690.35, 0.683631, 68.3712
1.818, 3732.09, 14.4615, 71.3887, 79.1573, 198.423, 2640.89, 0.677532, 70.3647
1.7574, 3832.95, 14.3727, 68.854, 79.2797, 197.121, 2586.13, 0.671193, 72.5134
1.6968, 3940.51, 14.2775, 66.1879, 79.3833, 195.755, 2525.45, 0.664596, 74.8363
1.6362, 4055.51, 14.175, 63.3817, 79.4644, 194.317, 2458.18, 0.657722, 77.355
1.5756, 4178.76, 14.0643, 60.4269, 79.5187, 192.801, 2383.52, 0.650549, 80.095
1.515, 4311.23, 13.9439, 57.3155, 79.5409, 191.199, 2300.57, 0.643053, 83.0861
1.4544, 4454.0, 13.8122, 54.0415, 79.524, 189.502, 2208.31, 0.635203, 86.3636
1.3938, 4608.32, 13.6671, 50.6021, 79.4591, 187.698, 2105.58, 0.626969, 89.969
