kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0001, 200.001, 79.9995, 500.002, 3400.01, 0.999995, 100.0
6.6054, 51.9088, 20.1394, 201.407, 78.5586, 501.669, 3425.76, 0.995101, 101.203
6.5448, 54.008, 20.2902, 202.923, 77.1798, 503.324, 3452.56, 0.990262, 102.44
6.4842, 56.3344, 20.4706, 204.719, 75.9079, 505.18, 3481.84, 0.984863, 103.735
6.4236, 58.9453, 20.7092, 207.066, 74.7975, 507.572, 3515.83, 0.977951, 105.129
6.363, 61.9174, 21.0296, 210.186, 73.8927, 510.732, 3556.27, 0.968894, 106.651
6.3024, 65.3216, 21.4251, 214.011, 73.2019, 514.472, 3602.38, 0.958287, 108.286
6.2418, 69.1932, 21.8539, 218.144, 72.7003, 518.179, 3650.77, 0.947902, 109.968
6.1812, 73.5212, 22.261, 222.068, 72.3515, 521.13, 3697.26, 0.939725, 111.618
6.1206, 78.263, 22.6013, 225.36, 72.1206, 522.802, 3738.64, 0.935127, 113.169
6.06, 83.3715, 22.8519, 227.812, 71.9783, 522.981, 3773.47, 0.934634, 114.591
5.9994, 88.8163, 23.0106, 229.406, 71.902, 521.701, 3801.78, 0.938145, 115.879
5.9388, 94.5892, 23.0884, 230.244, 71.8746, 519.127, 3824.4, 0.945253, 117.046
5.8782, 100.699, 23.1008, 230.473, 71.884, 515.463, 3842.48, 0.955478, 118.111
5.8176, 107.162, 23.064, 230.24, 71.9212, 510.908, 3857.12, 0.968364, 119.091
5.757, 113.996, 22.9922, 229.679, 71.9802, 505.636, 3869.32, 0.983507, 120.003
5.6964, 121.21, 22.8969, 228.896, 72.0564, 499.798, 3879.85, 1.00055, 120.856
5.6358, 128.804, 22.7871, 227.974, 72.1465, 493.527, 3889.34, 1.01915, 121.66
5.5752, 136.764, 22.6692, 226.974, 72.2482, 486.94, 3898.26, 1.03899, 122.419
5.5146, 145.06, 22.5481, 225.939, 72.36, 480.147, 3906.93, 1.05972, 123.139
5.454, 153.649, 22.4267, 224.899, 72.4808, 473.252, 3915.6, 1.08098, 123.82
5.3934, 162.481, 22.3072, 223.874, 72.6102, 466.349, 3924.43, 1.10242, 124.467
5.3328, 171.502, 22.1909, 222.876, 72.7479, 459.521, 3933.52, 1.12369, 125.082
5.2722, 180.664, 22.0787, 221.914, 72.894, 452.837, 3942.96, 1.14447, 125.667
5.2116, 189.929, 21.971, 220.993, 73.0488, 446.35, 3952.79, 1.1645, 126.227
5.151, 199.267, 21.8684, 220.118, 73.2127, 440.095, 3963.06, 1.18358, 126.764
5.0904, 208.664, 21.771, 219.29, 73.386, 434.092, 3973.81, 1.20157, 127.283
5.0298, 218.116, 21.679, 218.512, 73.5692, 428.349, 3985.06, 1.21838, 127.788
4.9692, 227.627, 21.5927, 217.786, 73.7626, 422.862, 3996.85, 1.23397, 128.28
4.9086, 237.209, 21.5119, 217.112, 73.9665, 417.622, 4009.17, 1.24833, 128.764
4.848, 246.877, 21.4366, 216.489, 74.1811, 412.617, 4022.05, 1.26149, 129.241
4.7874, 256.647, 21.3667, 215.916, 74.4062, 407.83, 4035.49, 1.27348, 129.713
4.7268, 266.539, 21.302, 215.392, 74.6417, 403.246, 4049.47, 1.28433, 130.182
4.6662, 276.57, 21.242, 214.912, 74.8872, 398.846, 4063.98, 1.29411, 130.649
4.6056, 286.757, 21.1864, 214.473, 75.1422, 394.616, 4078.98, 1.30285, 131.114
4.545, 297.116, 21.1345, 214.07, 75.4059, 390.54, 4094.46, 1.31061, 131.58
4.4844, 307.664, 21.0859, 213.697, 75.6776, 386.604, 4110.35, 1.31743, 132.045
4.4238, 318.413, 21.04, 213.349, 75.9563, 382.795, 4126.62, 1.32335, 132.512
4.3632, 329.379, 20.9961, 213.021, 76.2411, 379.101, 4143.22, 1.32841, 132.979
4.3026, 340.576, 20.9536, 212.706, 76.5311, 375.512, 4160.11, 1.33265, 133.447
4.242, 352.019, 20.9122, 212.399, 76.8254, 372.017, 4177.23, 1.3361, 133.918
4.1814, 363.723, 20.8711, 212.096, 77.1232, 368.609, 4194.55, 1.33879, 134.39
4.1208, 375.706, 20.83, 211.792, 77.4237, 365.278, 4212.02, 1.34074, 134.864
4.0602, 387.983, 20.7884, 211.483, 77.7261, 362.019, 4229.61, 1.34198, 135.342
3.9996, 400.576, 20.7461, 211.165, 78.0299, 358.823, 4247.28, 1.34252, 135.822
3.939, 413.504, 20.7026, 210.835, 78.3344, 355.686, 4265.01, 1.3424, 136.307
3.8784, 426.791, 20.6576, 210.49, 78.639, 352.601, 4282.76, 1.34162, 136.795
3.8178, 440.459, 20.611, 210.128, 78.9432, 349.564, 4300.5, 1.3402, 137.288
3.7572, 454.537, 20.5623, 209.746, 79.2465, 346.569, 4318.21, 1.33816, 137.786
3.6966, 469.05, 20.5115, 209.341, 79.5485, 343.613, 4335.87, 1.3355, 138.289
3.636, 484.031, 20.4583, 208.911, 79.8486, 340.69, 4353.45, 1.33224, 138.798
3.5754, 499.511, 20.4024, 208.454, 80.1463, 337.797, 4370.91, 1.32839, 139.314
3.5148, 515.526, 20.3436, 207.969, 80.4412, 334.931, 4388.25, 1.32396, 139.837
3.4542, 532.113, 20.2818, 207.451, 80.7327, 332.087, 4405.42, 1.31894, 140.368
3.3936, 549.315, 20.2167, 206.9, 81.0203, 329.262, 4422.4, 1.31336, 140.907
3.333, 567.175, 20.148, 206.313, 81.3033, 326.452, 4439.16, 1.30721, 141.455
3.2724, 585.741, 20.0756, 205.687, 81.5812, 323.656, 4455.66, 1.30051, 142.012
3.2118, 605.066, 19.9992, 205.019, 81.8532, 320.868, 4471.87, 1.29324, 142.579
