kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0, 200.001, 79.9999, 500.0, 3400.0, 0.999999, 100.0
6.6054, 51.8721, 20.0364, 199.841, 79.7119, 500.282, 3419.45, 0.99917, 101.055
6.5448, 53.9065, 20.0721, 199.685, 79.4366, 500.413, 3438.94, 0.998784, 102.124
6.4842, 56.1205, 20.1072, 199.534, 79.1749, 500.378, 3458.46, 0.998886, 103.206
6.4236, 58.5323, 20.1415, 199.388, 78.9278, 500.161, 3478.01, 0.999522, 104.301
6.363, 61.1618, 20.1751, 199.248, 78.6959, 499.744, 3497.58, 1.00075, 105.405
6.3024, 64.0302, 20.2078, 199.114, 78.4801, 499.11, 3517.16, 1.00261, 106.519
6.2418, 67.1603, 20.2395, 198.987, 78.2813, 498.24, 3536.76, 1.00518, 107.638
6.1812, 70.5761, 20.2703, 198.866, 78.1004, 497.113, 3556.37, 1.00851, 108.761
6.1206, 74.3025, 20.3, 198.753, 77.938, 495.711, 3575.97, 1.01267, 109.886
6.06, 78.3648, 20.3286, 198.649, 77.7949, 494.015, 3595.56, 1.01773, 111.008
5.9994, 82.7883, 20.356, 198.552, 77.6718, 492.007, 3615.14, 1.02373, 112.125
5.9388, 87.5969, 20.3821, 198.465, 77.5694, 489.672, 3634.69, 1.03076, 113.233
5.8782, 92.8125, 20.4068, 198.386, 77.4882, 486.999, 3654.21, 1.03884, 114.328
5.8176, 98.4534, 20.43, 198.318, 77.4286, 483.98, 3673.7, 1.04802, 115.405
5.757, 104.533, 20.4518, 198.259, 77.3908, 480.615, 3693.13, 1.05831, 116.46
5.6964, 111.057, 20.4719, 198.212, 77.375, 476.914, 3712.51, 1.06969, 117.489
5.6358, 118.023, 20.4903, 198.175, 77.3811, 472.892, 3731.82, 1.08212, 118.489
5.5752, 125.421, 20.507, 198.15, 77.4088, 468.578, 3751.07, 1.09551, 119.455
5.5146, 133.229, 20.5219, 198.137, 77.4575, 464.008, 3770.23, 1.10973, 120.385
5.454, 141.417, 20.5349, 198.135, 77.5266, 459.228, 3789.32, 1.12462, 121.277
5.3934, 149.947, 20.546, 198.146, 77.6148, 454.289, 3808.32, 1.13999, 122.13
5.3328, 158.779, 20.5553, 198.168, 77.7212, 449.244, 3827.23, 1.15561, 122.943
5.2722, 167.87, 20.5628, 198.203, 77.8442, 444.147, 3846.07, 1.17127, 123.719
5.2116, 177.178, 20.5684, 198.249, 77.9825, 439.046, 3864.83, 1.18677, 124.458
5.151, 186.668, 20.5722, 198.307, 78.1346, 433.982, 3883.53, 1.20191, 125.163
5.0904, 196.31, 20.5744, 198.375, 78.299, 428.99, 3902.16, 1.21654, 125.837
5.0298, 206.082, 20.5749, 198.454, 78.4744, 424.094, 3920.73, 1.23053, 126.483
4.9692, 215.969, 20.5737, 198.544, 78.6595, 419.313, 3939.27, 1.24378, 127.104
4.9086, 225.961, 20.5711, 198.644, 78.8533, 414.657, 3957.76, 1.25622, 127.703
4.848, 236.056, 20.567, 198.753, 79.0547, 410.133, 3976.21, 1.26781, 128.283
4.7874, 246.256, 20.5614, 198.872, 79.2628, 405.741, 3994.64, 1.27852, 128.847
4.7268, 256.565, 20.5544, 199.0, 79.4768, 401.481, 4013.04, 1.28835, 129.397
4.6662, 266.994, 20.546, 199.138, 79.6961, 397.348, 4031.42, 1.2973, 129.936
4.6056, 277.551, 20.5362, 199.286, 79.9199, 393.336, 4049.77, 1.30538, 130.464
4.545, 288.251, 20.525, 199.442, 80.1479, 389.44, 4068.1, 1.3126, 130.984
4.4844, 299.108, 20.5125, 199.608, 80.3795, 385.653, 4086.4, 1.31898, 131.498
4.4238, 310.137, 20.4986, 199.784, 80.6142, 381.967, 4104.68, 1.32455, 132.006
4.3632, 321.356, 20.4832, 199.97, 80.8518, 378.377, 4122.92, 1.32933, 132.51
4.3026, 332.781, 20.4664, 200.167, 81.0917, 374.875, 4141.12, 1.33334, 133.012
4.242, 344.433, 20.4482, 200.373, 81.3338, 371.455, 4159.27, 1.3366, 133.511
4.1814, 356.331, 20.4284, 200.591, 81.5777, 368.11, 4177.37, 1.33913, 134.01
4.1208, 368.496, 20.4072, 200.82, 81.8231, 364.834, 4195.41, 1.34095, 134.509
4.0602, 380.949, 20.3843, 201.061, 82.0696, 361.622, 4213.38, 1.34209, 135.009
3.9996, 393.715, 20.3598, 201.315, 82.3171, 358.469, 4231.25, 1.34255, 135.511
3.939, 406.817, 20.3336, 201.581, 82.5652, 355.369, 4249.03, 1.34236, 136.014
3.8784, 420.281, 20.3057, 201.861, 82.8138, 352.317, 4266.69, 1.34152, 136.521
3.8178, 434.135, 20.2759, 202.155, 83.0624, 349.31, 4284.22, 1.34006, 137.032
3.7572, 448.409, 20.2442, 202.464, 83.3108, 346.342, 4301.6, 1.33799, 137.547
3.6966, 463.133, 20.2105, 202.789, 83.5588, 343.41, 4318.8, 1.33531, 138.067
3.636, 478.341, 20.1748, 203.131, 83.806, 340.509, 4335.81, 1.33203, 138.593
3.5754, 494.069, 20.137, 203.491, 84.0522, 337.637, 4352.6, 1.32817, 139.125
3.5148, 510.356, 20.0968, 203.869, 84.2969, 334.79, 4369.14, 1.32373, 139.664
3.4542, 527.244, 20.0544, 204.266, 84.54, 331.963, 4385.39, 1.31872, 140.211
3.3936, 544.778, 20.0094, 204.684, 84.781, 329.155, 4401.33, 1.31315, 140.766
3.333, 563.007, 19.9619, 205.124, 85.0196, 326.361, 4416.91, 1.30701, 141.329
3.2724, 581.983, 19.9117, 205.587, 85.2553, 323.579, 4432.1, 1.30032, 141.903
3.2118, 601.767, 19.8587, 206.073, 85.4879, 320.806, 4446.84, 1.29308, 142.487
3.1512, 622.42, 19.8027, 206.585, 85.7168, 318.038, 4461.08, 1.28529, 143.082
3.0906, 644.012, 19.7436, 207.124, 85.9416, 315.273, 4474.77, 1.27695, 143.689
3.03, 666.621, 19.6812, 207.69, 86.1619, 312.507, 4487.84, 1.26806, 144.309
2.9694, 690.328, 19.6154, 208.285, 86.377, 309.738, 4500.22, 1.25863, 144.942
2.9088, 715.229, 19.5461, 208.91, 86.5866, 306.964, 4511.83, 1.24865, 145.59
2.8482, 741.423, 19.473, 209.565, 86.7899, 304.18, 4522.57, 1.23813, 146.253
2.7876, 769.026, 19.396, 210.252, 86.9865, 301.384, 4532.36, 1.22706, 146.932
2.727, 798.164, 19.3149, 210.969, 87.1757, 298.572, 4541.08, 1.21544, 147.629
2.6664, 828.976, 19.2295, 211.719, 87.3567, 295.743, 4548.6, 1.20327, 148.344
2.6058, 861.621, 19.1396, 212.498, 87.529, 292.892, 4554.79, 1.19054, 149.079
2.5452, 896.274, 19.045, 213.307, 87.6918, 290.016, 4559.49, 1.17726, 149.835
2.4846, 933.134, 18.9456, 214.142, 87.8442, 287.112, 4562.52, 1.16343, 150.614
2.424, 972.424, 18.8411, 214.999, 87.9854, 284.175, 4563.67, 1.14903, 151.417
2.3634, 1014.4, 18.7313, 215.873, 88.1147, 281.203, 4562.73, 1.13406, 152.245
2.3028, 1059.34, 18.616, 216.755, 88.231, 278.191, 4559.42, 1.11852, 153.1
2.2422, 1107.58, 18.4949, 217.635, 88.3335, 275.135, 4553.47, 1.10241, 153.985
2.1816, 1159.49, 18.368, 218.498, 88.421, 272.03, 4544.52, 1.08571, 154.901
2.121, 1215.49, 18.2349, 219.326, 88.4926, 268.871, 4532.19, 1.06843, 155.85
2.0604, 1276.08, 18.0954, 220.095, 88.5471, 265.653, 4516.05, 1.05056, 156.836
1.9998, 1341.84, 17.9492, 220.773, 88.5832, 262.371, 4495.57, 1.0321, 157.859
1.9392, 1413.41, 17.7962, 221.323, 88.5997, 259.018, 4470.17, 1.01303, 158.925
1.8786, 1491.56, 17.6361, 221.693, 88.5949, 255.588, 4439.16, 0.993359, 160.035
1.818, 1577.2, 17.4684, 221.823, 88.5674, 252.074, 4401.74, 0.97308, 161.193
1.7574, 1671.37, 17.2929, 221.638, 88.5151, 248.467, 4356.96, 0.952187, 162.403
1.6968, 1775.33, 17.109, 221.042, 88.4359, 244.759, 4303.74, 0.930678, 163.669
1.6362, 1890.53, 16.9163, 219.923, 88.3271, 240.94, 4240.77, 0.908549, 164.996
1.5756, 2018.73, 16.7141, 218.143, 88.1855, 236.999, 4166.51, 0.885801, 166.389
1.515, 2162.01, 16.5014, 215.538, 88.0072, 232.926, 4079.12, 0.862432, 167.854
1.4544, 2322.88, 16.2772, 211.913, 87.787, 228.706, 3976.4, 0.838446, 169.396
1.3938, 2504.35, 16.0398, 207.046, 87.5185, 224.325, 3855.73, 0.813847, 171.023
1.3332, 2710.06, 15.7873, 200.68, 87.1932, 219.766, 3713.92, 0.788642, 172.742
1.2726, 2944.37, 15.5171, 192.537, 86.7995, 215.011, 3547.18, 0.762844, 174.561
1.212, 3212.59, 15.2252, 182.327, 86.3216, 210.038, 3350.96, 0.73647, 176.489
1.1514, 3521.03, 14.9065, 169.768, 85.7374, 204.823, 3119.93, 0.709542, 178.536
1.0908, 3877.15, 14.5533, 154.632, 85.014, 199.338, 2848.1, 0.682091, 180.71
1.0302, 4289.38, 14.1542, 136.816, 84.1022, 193.552, 2529.36, 0.654158, 183.02
0.9696, 4766.57, 13.692, 116.459, 82.9249, 187.427, 2159.38, 0.625796, 185.47
0.909, 5316.27, 13.1404, 94.1834, 81.3603, 180.918, 1740.62, 0.597072, 188.058
0.8484, 5942.32, 12.4659, 71.5484, 79.2347, 173.972, 1295.3, 0.568079, 190.771
0.7878, 6649.68, 11.6578, 51.6481, 76.4288, 166.533, 885.804, 0.53896, 193.602
0.7272, 7476.18, 10.7991, 37.8519, 73.1994, 158.556, 592.383, 0.509948, 196.631
0.6666, 8500.01, 9.99998, 30.0002, 69.9999, 150.0, 419.998, 0.481331, 200.0
