kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9981, 19.9999, 199.999, 80.0019, 500.001, 3399.99, 0.999997, 100.0
6.6054, 52.0549, 20.1403, 201.415, 78.4139, 501.557, 3425.83, 0.995428, 101.192
6.5448, 54.6437, 20.2941, 202.959, 76.6354, 502.837, 3452.86, 0.991682, 102.387
6.4842, 58.3332, 20.4744, 204.755, 74.4778, 503.538, 3482.14, 0.989637, 103.555
6.4236, 1315.85, 14.1993, 143.798, 53.1787, 232.659, 2890.9, 0.86108, 28.3759
6.363, 1325.96, 14.1813, 143.664, 53.3585, 232.451, 2901.25, 0.859894, 28.5159
6.3024, 1336.24, 14.1629, 143.526, 53.5388, 232.239, 2911.63, 0.858688, 28.6585
6.2418, 1346.66, 14.1442, 143.385, 53.7198, 232.024, 2922.06, 0.857461, 28.8037
6.1812, 1357.26, 14.1252, 143.239, 53.9014, 231.806, 2932.52, 0.856215, 28.9517
6.1206, 1368.02, 14.1057, 143.09, 54.0836, 231.583, 2943.02, 0.854947, 29.1025
6.06, 1378.95, 14.0858, 142.936, 54.2664, 231.357, 2953.56, 0.853659, 29.2561
5.9994, 1390.05, 14.0656, 142.778, 54.4498, 231.126, 2964.13, 0.852348, 29.4127
5.9388, 1401.34, 14.0449, 142.615, 54.6338, 230.892, 2974.74, 0.851015, 29.5724
5.8782, 1412.81, 14.0238, 142.448, 54.8183, 230.654, 2985.38, 0.84966, 29.7353
5.8176, 1424.47, 14.0023, 142.276, 55.0033, 230.411, 2996.05, 0.848281, 29.9014
5.757, 1436.33, 13.9803, 142.1, 55.1889, 230.164, 3006.75, 0.846879, 30.0709
5.6964, 1448.39, 13.9579, 141.919, 55.3749, 229.912, 3017.48, 0.845453, 30.2439
5.6358, 1460.65, 13.9351, 141.732, 55.5615, 229.656, 3028.24, 0.844002, 30.4205
5.5752, 1473.13, 13.9117, 141.541, 55.7484, 229.396, 3039.03, 0.842526, 30.6007
5.5146, 1485.82, 13.8879, 141.345, 55.9359, 229.13, 3049.85, 0.841024, 30.7848
5.454, 1498.74, 13.8637, 141.143, 56.1237, 228.86, 3060.69, 0.839495, 30.9729
5.3934, 1511.89, 13.8389, 140.936, 56.3119, 228.585, 3071.56, 0.83794, 31.1651
5.3328, 1525.28, 13.8136, 140.723, 56.5005, 228.304, 3082.44, 0.836357, 31.3615
5.2722, 1538.91, 13.7878, 140.505, 56.6894, 228.019, 3093.35, 0.834746, 31.5624
5.2116, 1552.8, 13.7615, 140.281, 56.8786, 227.728, 3104.28, 0.833106, 31.7677
5.151, 1566.95, 13.7346, 140.051, 57.0681, 227.431, 3115.22, 0.831437, 31.9778
5.0904, 1581.36, 13.7072, 139.815, 57.2578, 227.129, 3126.18, 0.829737, 32.1928
5.0298, 1596.06, 13.6793, 139.573, 57.4477, 226.821, 3137.15, 0.828007, 32.4129
4.9692, 1611.04, 13.6507, 139.324, 57.6379, 226.507, 3148.13, 0.826244, 32.6382
4.9086, 1626.31, 13.6216, 139.069, 57.8281, 226.187, 3159.12, 0.82445, 32.869
4.848, 1641.89, 13.5919, 138.808, 58.0185, 225.861, 3170.12, 0.822622, 33.1055
4.7874, 1657.79, 13.5616, 138.539, 58.2089, 225.528, 3181.12, 0.82076, 33.3478
4.7268, 1674.01, 13.5306, 138.264, 58.3994, 225.189, 3192.12, 0.818863, 33.5963
4.6662, 1690.58, 13.499, 137.982, 58.5899, 224.843, 3203.13, 0.81693, 33.8512
