kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0064, 20.0026, 199.996, 79.9988, 499.992, 3399.99, 1.00002, 100.01
6.6054, 60.3182, 24.2172, 193.309, 78.6668, 523.875, 3358.39, 0.932203, 111.498
6.5448, 45.7375, 17.6215, 205.145, 81.4221, 478.619, 3474.38, 1.06448, 95.404
6.4842, 55.9035, 22.4761, 197.858, 79.1835, 546.832, 3391.77, 0.872121, 106.269
6.4236, 57.7519, 22.4748, 196.747, 79.1274, 507.283, 3446.94, 0.978783, 111.392
6.363, 52.3906, 20.5263, 201.452, 79.8557, 526.211, 3466.65, 0.925858, 104.313
6.3024, 58.2519, 22.5606, 198.06, 79.1496, 529.632, 3464.11, 0.916647, 111.664
6.2418, 58.4747, 22.5362, 198.681, 79.174, 537.18, 3476.92, 0.896744, 111.982
6.1812, 60.2274, 22.9734, 198.359, 79.0574, 541.821, 3487.94, 0.884786, 114.019
6.1206, 62.5021, 23.5381, 197.876, 78.9155, 548.113, 3496.13, 0.868918, 116.238
6.06, 1665.96, 27.2671, 110.255, 75.7535, 243.254, 2386.17, 0.921424, 32.746
5.9994, 1676.28, 27.0193, 110.359, 75.7797, 242.886, 2399.99, 0.919299, 32.886
5.9388, 1686.78, 26.7738, 110.458, 75.8058, 242.515, 2413.81, 0.917154, 33.0292
5.8782, 1697.46, 26.5306, 110.551, 75.8318, 242.14, 2427.63, 0.914987, 33.1756
5.8176, 1708.33, 26.2898, 110.637, 75.8578, 241.761, 2441.45, 0.912798, 33.3254
5.757, 1719.4, 26.0512, 110.718, 75.8838, 241.378, 2455.25, 0.910588, 33.4787
5.6964, 1730.66, 25.8148, 110.791, 75.9096, 240.992, 2469.05, 0.908355, 33.6355
5.6358, 1742.13, 25.5807, 110.858, 75.9355, 240.601, 2482.83, 0.906099, 33.7961
5.5752, 1753.8, 25.3487, 110.918, 75.9612, 240.206, 2496.6, 0.90382, 33.9604
5.5146, 1765.7, 25.1188, 110.971, 75.9869, 239.806, 2510.34, 0.901517, 34.1288
5.454, 1777.82, 24.891, 111.016, 76.0126, 239.403, 2524.07, 0.89919, 34.3012
5.3934, 1790.17, 24.6653, 111.054, 76.0381, 238.995, 2537.76, 0.896837, 34.4779
5.3328, 1802.76, 24.4416, 111.084, 76.0635, 238.582, 2551.43, 0.89446, 34.659
5.2722, 1815.59, 24.22, 111.106, 76.0889, 238.164, 2565.06, 0.892057, 34.8446
5.2116, 1828.68, 24.0002, 111.12, 76.1141, 237.742, 2578.65, 0.889627, 35.0349
5.151, 1842.03, 23.7825, 111.124, 76.1393, 237.314, 2592.19, 0.88717, 35.2301
5.0904, 1855.66, 23.5666, 111.12, 76.1643, 236.882, 2605.69, 0.884685, 35.4305
5.0298, 1869.56, 23.3526, 111.107, 76.1891, 236.444, 2619.13, 0.882172, 35.636
4.9692, 1883.75, 23.1405, 111.084, 76.2139, 236.001, 2632.51, 0.87963, 35.847
4.9086, 1898.25, 22.9302, 111.051, 76.2385, 235.553, 2645.82, 0.877059, 36.0638
4.848, 1913.05, 22.7217, 111.008, 76.2629, 235.098, 2659.06, 0.874457, 36.2864
4.7874, 1928.18, 22.5149, 110.954, 76.2871, 234.638, 2672.22, 0.871824, 36.5151
4.7268, 1943.64, 22.3099, 110.889, 76.3112, 234.172, 2685.28, 0.86916, 36.7502
4.6662, 1959.45, 22.1066, 110.813, 76.335, 233.7, 2698.25, 0.866462, 36.992
4.6056, 1975.61, 21.905, 110.725, 76.3587, 233.222, 2711.12, 0.863732, 37.2407
4.545, 1992.15, 21.705, 110.624, 76.382, 232.737, 2723.87, 0.860967, 37.4966
4.4844, 2009.07, 21.5067, 110.511, 76.4052, 232.245, 2736.5, 0.858167, 37.76
4.4238, 2026.39, 21.3099, 110.385, 76.428, 231.747, 2748.99, 0.855331, 38.0312
4.3632, 2044.14, 21.1147, 110.245, 76.4506, 231.241, 2761.34, 0.852458, 38.3106
4.3026, 2062.31, 20.921, 110.091, 76.4729, 230.728, 2773.52, 0.849547, 38.5986
4.242, 2080.94, 20.7289, 109.922, 76.4948, 230.207, 2785.54, 0.846597, 38.8955
4.1814, 2100.03, 20.5382, 109.738, 76.5163, 229.679, 2797.38, 0.843606, 39.2017
4.1208, 2119.61, 20.349, 109.538, 76.5375, 229.142, 2809.01, 0.840575, 39.5178
4.0602, 2139.71, 20.1612, 109.321, 76.5582, 228.598, 2820.43, 0.837501, 39.844
3.9996, 2160.34, 19.9748, 109.087, 76.5784, 228.044, 2831.63, 0.834384, 40.181
3.939, 2181.52, 19.7897, 108.835, 76.5982, 227.482, 2842.57, 0.831221, 40.5292
3.8784, 2203.28, 19.6061, 108.564, 76.6175, 226.911, 2853.24, 0.828012, 40.8893
3.8178, 2225.65, 19.4237, 108.274, 76.6362, 226.33, 2863.63, 0.824756, 41.2617
3.7572, 2248.65, 19.2426, 107.964, 76.6543, 225.739, 2873.71, 0.82145, 41.6472
3.6966, 2272.32, 19.0627, 107.632, 76.6717, 225.138, 2883.46, 0.818094, 42.0465
3.636, 2296.68, 18.8841, 107.278, 76.6884, 224.526, 2892.85, 0.814685, 42.4602
3.5754, 2321.78, 18.7067, 106.902, 76.7044, 223.904, 2901.86, 0.811223, 42.8891
3.5148, 2347.64, 18.5304, 106.501, 76.7196, 223.269, 2910.45, 0.807704, 43.3341
3.4542, 2374.31, 18.3553, 106.075, 76.7339, 222.623, 2918.6, 0.804128, 43.7961
3.3936, 2401.82, 18.1812, 105.623, 76.7473, 221.965, 2926.27, 0.800492, 44.276
3.333, 2430.22, 18.0082, 105.144, 76.7597, 221.294, 2933.43, 0.796795, 44.775
3.2724, 2459.57, 17.8363, 104.636, 76.771, 220.609, 2940.04, 0.793033, 45.2941
3.2118, 2489.9, 17.6653, 104.098, 76.7812, 219.911, 2946.06, 0.789205, 45.8346
3.1512, 2521.28, 17.4954, 103.529, 76.7901, 219.198, 2951.43, 0.785309, 46.3977
3.0906, 2553.77, 17.3263, 102.927, 76.7977, 218.469, 2956.12, 0.781341, 46.985
3.03, 2587.42, 17.1581, 102.291, 76.8039, 217.725, 2960.07, 0.777299, 47.598
2.9694, 2622.32, 16.9908, 101.618, 76.8085, 216.964, 2963.23, 0.77318, 48.2384
2.9088, 2658.54, 16.8243, 100.908, 76.8114, 216.186, 2965.53, 0.768981, 48.908
2.8482, 2696.15, 16.6585, 100.158, 76.8126, 215.389, 2966.9, 0.764698, 49.6089
2.7876, 2735.26, 16.4935, 99.3668, 76.8118, 214.573, 2967.27, 0.760329, 50.3433
2.727, 2775.95, 16.3292, 98.5318, 76.8089, 213.737, 2966.57, 0.755869, 51.1137
2.6664, 2818.33, 16.1655, 97.6509, 76.8039, 212.88, 2964.71, 0.751315, 51.9227
2.6058, 2862.53, 16.0023, 96.7218, 76.7963, 212.001, 2961.59, 0.746661, 52.7732
2.5452, 2908.66, 15.8397, 95.7419, 76.7862, 211.098, 2957.11, 0.741905, 53.6686
2.4846, 2956.88, 15.6776, 94.7087, 76.7732, 210.17, 2951.16, 0.737041, 54.6125
2.424, 3007.33, 15.5159, 93.6194, 76.7572, 209.216, 2943.62, 0.732063, 55.6088
