kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 50.0006, 20.0, 200.001, 79.9999, 500.001, 3400.0, 0.999999, 100.0
6.6054, 51.9399, 20.2274, 200.017, 79.9148, 502.848, 3413.21, 0.991652, 101.33
6.5448, 54.0801, 20.4459, 200.048, 79.8367, 505.389, 3426.68, 0.984261, 102.663
6.4842, 56.4425, 20.6545, 200.098, 79.7654, 507.588, 3440.45, 0.977905, 103.999
6.4236, 59.0493, 20.8519, 200.168, 79.7008, 509.412, 3454.53, 0.972667, 105.333
6.363, 61.924, 21.0371, 200.259, 79.6429, 510.826, 3468.97, 0.968625, 106.661
6.3024, 65.0905, 21.209, 200.373, 79.5914, 511.798, 3483.77, 0.965856, 107.981
6.2418, 68.5733, 21.3666, 200.512, 79.5463, 512.297, 3498.95, 0.964437, 109.287
6.1812, 72.3971, 21.5093, 200.675, 79.5075, 512.294, 3514.54, 0.964443, 110.577
6.1206, 76.5867, 21.6363, 200.864, 79.4747, 511.764, 3530.55, 0.965945, 111.845
6.06, 81.1656, 21.7471, 201.079, 79.4479, 510.685, 3546.98, 0.969015, 113.087
5.9994, 86.1563, 21.8415, 201.32, 79.4269, 509.04, 3563.84, 0.973718, 114.299
5.9388, 91.5788, 21.9192, 201.587, 79.4115, 506.815, 3581.14, 0.980112, 115.477
5.8782, 97.4492, 21.9803, 201.878, 79.4015, 504.007, 3598.86, 0.988245, 116.617
5.8176, 103.778, 22.0248, 202.192, 79.3969, 500.619, 3617.01, 0.998146, 117.714
5.757, 110.57, 22.0531, 202.529, 79.3973, 496.665, 3635.58, 1.00981, 118.765
5.6964, 117.816, 22.0654, 202.885, 79.4026, 492.173, 3654.54, 1.02321, 119.767
5.6358, 125.5, 22.0624, 203.26, 79.4126, 487.186, 3673.88, 1.03825, 120.717
5.5752, 133.587, 22.0446, 203.65, 79.4271, 481.763, 3693.58, 1.05477, 121.613
5.5146, 142.031, 22.0129, 204.052, 79.4459, 475.98, 3713.61, 1.07255, 122.453
5.454, 150.774, 21.9682, 204.463, 79.4685, 469.925, 3733.94, 1.0913, 123.239
5.3934, 159.746, 21.9116, 204.881, 79.4948, 463.696, 3754.55, 1.11068, 123.971
5.3328, 168.877, 21.8444, 205.302, 79.5245, 457.389, 3775.39, 1.13033, 124.653
5.2722, 178.103, 21.7679, 205.723, 79.5571, 451.093, 3796.44, 1.14988, 125.288
5.2116, 187.368, 21.6832, 206.142, 79.5924, 444.884, 3817.67, 1.169, 125.881
5.151, 196.628, 21.5917, 206.556, 79.63, 438.819, 3839.06, 1.18744, 126.438
5.0904, 205.857, 21.4945, 206.964, 79.6696, 432.939, 3860.6, 1.20498, 126.963
5.0298, 215.04, 21.3926, 207.364, 79.7111, 427.269, 3882.26, 1.22149, 127.462
4.9692, 224.174, 21.2869, 207.755, 79.7541, 421.818, 3904.03, 1.23688, 127.939
4.9086, 233.263, 21.1781, 208.135, 79.7985, 416.59, 3925.9, 1.2511, 128.398
4.848, 242.318, 21.0669, 208.505, 79.8442, 411.578, 3947.86, 1.26415, 128.843
4.7874, 251.356, 20.9537, 208.862, 79.8909, 406.774, 3969.91, 1.27604, 129.277
4.7268, 260.395, 20.839, 209.207, 79.9386, 402.164, 3992.03, 1.28681, 129.703
4.6662, 269.455, 20.7231, 209.539, 79.9873, 397.737, 4014.23, 1.29648, 130.122
4.6056, 278.555, 20.6063, 209.856, 80.0367, 393.477, 4036.48, 1.3051, 130.536
