kisu,MP,FC,F2,CIA,FS,F3,O2,FM
6.666, 49.9963, 20.0002, 199.998, 79.9999, 500.007, 3400.01, 0.99998, 100.001
6.6054, 51.2434, 20.2549, 194.919, 79.9035, 503.817, 3417.81, 0.988828, 101.433
6.5448, 52.8738, 20.4928, 190.559, 79.8181, 507.054, 3435.33, 0.979446, 102.843
6.4842, 55.3343, 20.6969, 187.12, 79.7492, 509.107, 3452.67, 0.973545, 104.164
6.4236, 1049.72, 7.62832, 1420.62, 166.701, 218.71, 1057.66, 0.783843, 24.8692
6.363, 1058.34, 7.62813, 1425.98, 166.912, 218.549, 1062.47, 0.782969, 24.9982
6.3024, 1067.11, 7.62796, 1431.39, 167.117, 218.386, 1067.32, 0.782079, 25.1296
6.2418, 1076.01, 7.6278, 1436.84, 167.317, 218.22, 1072.22, 0.781175, 25.2635
6.1812, 1085.07, 7.62766, 1442.33, 167.51, 218.051, 1077.17, 0.780256, 25.4
6.1206, 1094.28, 7.62753, 1447.87, 167.696, 217.879, 1082.16, 0.779322, 25.5392
6.06, 1103.65, 7.62742, 1453.46, 167.874, 217.704, 1087.19, 0.778371, 25.6811
5.9994, 1113.19, 7.62732, 1459.1, 168.046, 217.526, 1092.28, 0.777404, 25.8258
5.9388, 1122.89, 7.62722, 1464.78, 168.21, 217.345, 1097.41, 0.776421, 25.9735
5.8782, 1132.76, 7.62714, 1470.51, 168.365, 217.16, 1102.58, 0.77542, 26.1241
5.8176, 1142.8, 7.62707, 1476.28, 168.512, 216.972, 1107.8, 0.774402, 26.2779
5.757, 1153.03, 7.627, 1482.11, 168.65, 216.781, 1113.07, 0.773366, 26.4349
5.6964, 1163.45, 7.62694, 1487.98, 168.778, 216.586, 1118.39, 0.772311, 26.5951
5.6358, 1174.05, 7.62687, 1493.91, 168.897, 216.387, 1123.76, 0.771238, 26.7588
5.5752, 1184.86, 7.62681, 1499.89, 169.005, 216.185, 1129.17, 0.770145, 26.926
5.5146, 1195.86, 7.62675, 1505.91, 169.102, 215.978, 1134.63, 0.769033, 27.0968
5.454, 1207.08, 7.62668, 1512.0, 169.188, 215.768, 1140.13, 0.7679, 27.2714
5.3934, 1218.51, 7.62661, 1518.13, 169.263, 215.553, 1145.69, 0.766747, 27.4499
5.3328, 1230.16, 7.62653, 1524.31, 169.325, 215.335, 1151.29, 0.765572, 27.6324
5.2722, 1242.05, 7.62644, 1530.56, 169.373, 215.112, 1156.95, 0.764376, 27.8191
5.2116, 1254.17, 7.62633, 1536.85, 169.409, 214.885, 1162.65, 0.763157, 28.0101
5.151, 1266.53, 7.62621, 1543.2, 169.43, 214.653, 1168.39, 0.761915, 28.2055
5.0904, 1279.14, 7.62606, 1549.61, 169.436, 214.416, 1174.19, 0.760649, 28.4056
5.0298, 1292.02, 7.62589, 1556.08, 169.427, 214.175, 1180.03, 0.759359, 28.6105
4.9692, 1305.16, 7.6257, 1562.6, 169.401, 213.929, 1185.92, 0.758044, 28.8204
4.9086, 1318.58, 7.62547, 1569.18, 169.358, 213.677, 1191.85, 0.756703, 29.0354
4.848, 1332.28, 7.6252, 1575.82, 169.298, 213.42, 1197.83, 0.755336, 29.2558
4.7874, 1346.29, 7.6249, 1582.52, 169.218, 213.158, 1203.86, 0.753942, 29.4818
4.7268, 1360.59, 7.62455, 1589.29, 169.12, 212.891, 1209.93, 0.75252, 29.7135
4.6662, 1375.22, 7.62415, 1596.11, 169.001, 212.617, 1216.05, 0.751069, 29.9513
4.6056, 1390.17, 7.62369, 1603.0, 168.86, 212.338, 1222.21, 0.749589, 30.1954
4.545, 1405.46, 7.62316, 1609.95, 168.697, 212.052, 1228.41, 0.748078, 30.4459
4.4844, 1421.11, 7.62257, 1616.97, 168.511, 211.76, 1234.65, 0.746536, 30.7033
4.4238, 1437.12, 7.6219, 1624.05, 168.3, 211.461, 1240.93, 0.744962, 30.9677
4.3632, 1453.51, 7.62114, 1631.19, 168.063, 211.156, 1247.25, 0.743354, 31.2395
4.3026, 1470.29, 7.62029, 1638.41, 167.799, 210.844, 1253.6, 0.741712, 31.519
4.242, 1487.48, 7.61934, 1645.69, 167.508, 210.524, 1259.99, 0.740035, 31.8066
4.1814, 1505.1, 7.61827, 1653.04, 167.187, 210.197, 1266.41, 0.738321, 32.1025
4.1208, 1523.15, 7.61707, 1660.47, 166.835, 209.862, 1272.86, 0.73657, 32.4072
4.0602, 1541.67, 7.61574, 1667.96, 166.45, 209.519, 1279.33, 0.73478, 32.7211
